      0,0          137.312          4       34.328,0       32.976,0       32.704       38.656      2.890,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.936          3       41.312,0       40.736,0       38.816       44.384      2.828,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.624          3        7.541,0        8.000,0        6.496        8.128        907,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.768          4       34.192,0       32.976,0       32.736       38.080      2.600,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.936          3       38.645,0       37.888,0       36.640       41.408      2.472,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.232          3        7.744,0        8.320,0        6.400        8.512      1.167,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.696          4       32.424,0       31.280,0       31.136       36.000      2.386,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.224          3       36.074,0       35.328,0       34.528       38.368      2.026,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.320          3        5.440,0        5.376,0        4.224        6.720      1.249,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.744          4       32.936,0       32.208,0       31.136       36.192      2.239,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.672          3       36.224,0       35.744,0       34.368       38.560      2.136,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.320          3        5.440,0        5.536,0        3.936        6.848      1.458,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.544          4       34.136,0       32.768,0       32.736       38.272      2.757,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.968          3       38.656,0       37.280,0       37.024       41.664      2.608,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.464          3        7.488,0        8.096,0        6.240        8.128      1.080,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.760          4       32.440,0       31.472,0       31.168       35.648      2.157,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.312          3       36.437,0       35.520,0       34.560       39.232      2.467,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.608          3        5.536,0        5.536,0        4.224        6.848      1.312,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.920          4       34.480,0       33.776,0       33.120       37.248      1.871,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          116.416          3       38.805,0       37.952,0       36.992       41.472      2.358,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.624          3        7.541,0        8.032,0        6.432        8.160        962,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          145.696          4       36.424,0       34.960,0       34.752       41.024      3.068,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          124.160          3       41.386,0       40.192,0       39.456       44.512      2.731,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.200          3        7.733,0        8.160,0        6.624        8.416        969,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          147.744          4       36.936,0       35.840,0       35.680       40.384      2.300,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.872          3       41.290,0       40.832,0       39.424       43.616      2.133,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.784          3        7.594,0        8.128,0        6.272        8.384      1.152,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          139.520          4       34.880,0       33.872,0       33.088       38.688      2.571,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          116.384          3       38.794,0       37.632,0       36.672       42.080      2.885,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.104          3        7.701,0        8.128,0        6.048        8.928      1.486,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.304          4       32.576,0       31.616,0       31.136       35.936      2.280,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.856          3       36.618,0       35.936,0       34.400       39.520      2.627,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           17.184          3        5.728,0        5.600,0        4.448        7.136      1.348,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.688          4       32.672,0       32.048,0       31.168       35.424      1.882,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.992          3       36.330,0       35.552,0       34.432       39.008      2.385,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           15.872          3        5.290,0        5.344,0        4.032        6.496      1.232,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.312          4       34.328,0       32.912,0       32.736       38.752      2.952,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.104          3       38.368,0       37.376,0       37.120       40.608      1.944,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.368          3        7.456,0        7.968,0        6.240        8.160      1.057,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.200          4       32.800,0       32.096,0       31.168       35.840      2.073,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.728          3       36.576,0       36.000,0       34.816       38.912      2.107,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.160          3        5.386,0        5.344,0        4.064        6.752      1.344,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.080          4       32.520,0       31.584,0       31.168       35.744      2.184,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.096          3       36.032,0       35.232,0       34.528       38.336      2.026,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           15.584          3        5.194,0        5.216,0        4.192        6.176        992,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          145.600          4       36.400,0       35.552,0       34.528       39.968      2.427,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          122.720          3       40.906,0       40.192,0       38.592       43.936      2.742,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.592          3        7.530,0        8.032,0        6.432        8.128        952,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.752          4       32.688,0       31.888,0       31.200       35.776      2.084,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.472          3       36.490,0       36.288,0       34.464       38.720      2.135,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.288          3        5.429,0        5.376,0        4.256        6.656      1.200,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.632          4       34.408,0       33.376,0       32.864       38.016      2.420,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.104          3       38.368,0       37.600,0       36.096       41.408      2.738,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.400          3        7.466,0        7.904,0        6.336        8.160        987,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          147.200          4       36.800,0       35.568,0       35.040       41.024      2.832,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.936          3       41.312,0       40.800,0       38.688       44.448      2.913,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.592          3        7.530,0        7.904,0        6.176        8.512      1.211,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.688          4       32.672,0       31.952,0       31.168       35.616      2.006,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.120          3       36.373,0       35.616,0       34.848       38.656      2.013,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.192          3        5.397,0        5.536,0        3.968        6.688      1.365,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          147.232          4       36.808,0       35.776,0       35.040       40.640      2.584,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.104          3       41.034,0       39.616,0       39.104       44.384      2.911,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.232          3        7.744,0        8.096,0        6.208        8.928      1.393,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.224          4       34.056,0       33.056,0       32.704       37.408      2.246,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.784          3       38.261,0       37.696,0       36.224       40.864      2.371,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.368          3        7.456,0        7.680,0        6.080        8.608      1.278,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.688          4       32.672,0       32.128,0       31.136       35.296      1.813,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.120          3       36.373,0       36.128,0       34.656       38.336      1.852,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.288          3        5.429,0        5.472,0        4.128        6.688      1.280,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.472          4       32.368,0       31.680,0       31.136       34.976      1.806,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.152          3       36.384,0       35.552,0       34.496       39.104      2.414,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.704          3        5.568,0        5.728,0        4.192        6.784      1.303,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.040          4       32.760,0       31.968,0       31.168       35.936      2.154,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.536          3       36.512,0       35.904,0       34.336       39.296      2.535,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.320          3        5.440,0        5.248,0        4.384        6.688      1.163,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          139.424          4       34.856,0       33.936,0       33.184       38.368      2.381,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          116.800          3       38.933,0       37.664,0       37.376       41.760      2.452,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.752          3        7.584,0        8.096,0        6.336        8.320      1.086,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.080          4       32.520,0       31.776,0       31.136       35.392      1.944,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          110.432          3       36.810,0       36.352,0       34.976       39.104      2.101,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.352          3        5.450,0        5.312,0        3.872        7.168      1.652,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.456          4       32.864,0       32.096,0       31.584       35.680      1.899,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          111.360          3       37.120,0       36.032,0       35.808       39.520      2.081,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.352          3        5.450,0        5.504,0        4.096        6.752      1.328,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.496          4       32.624,0       31.648,0       31.200       36.000      2.282,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          110.048          3       36.682,0       36.352,0       34.720       38.976      2.147,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.256          3        5.418,0        5.536,0        4.096        6.624      1.268,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.024          4       34.256,0       33.008,0       32.704       38.304      2.709,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.200          3       38.400,0       37.376,0       36.064       41.760      2.982,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.688          3        7.562,0        8.128,0        6.336        8.224      1.063,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.840          4       32.960,0       32.112,0       31.168       36.448      2.369,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.696          3       36.565,0       36.320,0       35.136       38.240      1.566,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.640          3        5.546,0        5.504,0        4.320        6.816      1.248,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          146.848          4       36.712,0       35.616,0       34.848       40.768      2.732,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.808          3       41.269,0       40.512,0       39.008       44.288      2.720,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.592          3        7.530,0        7.936,0        6.400        8.256        992,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.824          4       34.456,0       33.424,0       32.800       38.176      2.503,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          116.672          3       38.890,0       38.336,0       36.832       41.504      2.384,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.440          3        7.146,0        6.720,0        6.400        8.320      1.028,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          143.456          4       35.864,0       34.864,0       33.952       39.776      2.644,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          120.224          3       40.074,0       39.744,0       38.048       42.432      2.210,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.488          3        7.829,0        8.288,0        6.208        8.992      1.447,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          255.232          4       63.808,0       62.688,0       62.336       67.520      2.485,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          215.104          3       71.701,0       71.008,0       69.280       74.816      2.832,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.512          3        9.504,0        9.440,0        8.096       10.976      1.441,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          133.600          4       33.400,0       32.448,0       32.288       36.416      2.012,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          111.072          3       37.024,0       36.032,0       35.424       39.616      2.265,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           17.056          3        5.685,0        5.376,0        4.480        7.200      1.386,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          145.216          4       36.304,0       34.992,0       34.688       40.544      2.839,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          121.024          3       40.341,0       39.648,0       38.144       43.232      2.613,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.592          3        7.530,0        7.808,0        6.304        8.480      1.114,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          135.584          4       33.896,0       32.816,0       32.768       37.184      2.192,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.080          3       38.026,0       37.504,0       36.096       40.480      2.238,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.912          3        7.637,0        7.936,0        6.336        8.640      1.180,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.728          4       32.432,0       31.232,0       31.168       36.096      2.443,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.184          3       36.394,0       36.288,0       34.336       38.560      2.114,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           17.312          3        5.770,0        5.984,0        4.448        6.880      1.230,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.160          4       34.040,0       33.200,0       32.768       36.992      2.009,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.016          3       38.005,0       37.120,0       36.096       40.800      2.473,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.008          3        7.669,0        8.256,0        6.432        8.320      1.072,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.624          4       32.656,0       31.904,0       31.200       35.616      2.009,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.600          3       36.533,0       35.840,0       35.296       38.464      1.694,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.704          3        5.568,0        5.536,0        4.256        6.912      1.328,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.584          4       32.896,0       32.016,0       31.808       35.744      1.901,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.992          3       36.330,0       35.872,0       34.816       38.304      1.788,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.160          3        5.386,0        5.312,0        3.904        6.944      1.521,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          144.416          4       36.104,0       35.408,0       34.656       38.944      1.926,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          122.336          3       40.778,0       39.808,0       38.912       43.616      2.497,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.360          3        7.786,0        8.224,0        6.272        8.864      1.350,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          144.672          4       36.168,0       34.800,0       34.432       40.640      2.987,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          121.344          3       40.448,0       38.912,0       38.752       43.680      2.800,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.784          3        7.594,0        8.192,0        6.272        8.320      1.147,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.128          4       34.032,0       32.896,0       32.800       37.536      2.336,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.912          3       38.304,0       37.536,0       36.128       41.248      2.645,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.552          3        7.850,0        7.968,0        6.656        8.928      1.140,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.352          4       34.088,0       33.264,0       33.056       36.768      1.789,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          113.792          3       37.930,0       37.120,0       35.840       40.832      2.592,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.224          3        5.408,0        5.504,0        4.032        6.688      1.330,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.976          4       32.744,0       32.112,0       31.168       35.584      1.946,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.768          3       36.256,0       35.840,0       34.592       38.336      1.906,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.192          3        5.397,0        5.376,0        4.096        6.720      1.312,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.784          4       32.696,0       31.872,0       31.264       35.776      2.075,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          110.144          3       36.714,0       36.224,0       34.624       39.296      2.374,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.384          3        5.461,0        5.472,0        4.384        6.528      1.072,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          139.296          4       34.824,0       34.032,0       33.088       38.144      2.258,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          117.248          3       39.082,0       38.560,0       36.960       41.728      2.426,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.720          3        7.573,0        7.904,0        6.240        8.576      1.202,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          143.584          4       35.896,0       34.448,0       34.240       40.448      3.037,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          120.960          3       40.320,0       39.136,0       38.752       43.072      2.391,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.216          3        7.072,0        6.848,0        6.368        8.000        838,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.048          4       32.512,0       31.552,0       31.360       35.584      2.051,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          108.736          3       36.245,0       36.096,0       34.304       38.336      2.020,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           15.904          3        5.301,0        5.280,0        4.032        6.592      1.280,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.000          4       34.000,0       32.944,0       32.800       37.312      2.210,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.720          3       38.240,0       37.632,0       36.128       40.960      2.472,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.560          3        7.520,0        7.968,0        6.368        8.224      1.005,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.600          4       32.400,0       31.456,0       31.136       35.552      2.112,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.504          3       36.501,0       35.616,0       34.432       39.456      2.626,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.832          3        5.610,0        5.536,0        4.576        6.720      1.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          138.752          4       34.688,0       33.680,0       33.152       38.240      2.382,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.424          3       38.474,0       37.664,0       36.896       40.864      2.104,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.496          3        7.498,0        8.000,0        6.272        8.224      1.068,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.664          4       32.416,0       31.552,0       31.168       35.392      1.992,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.408          3       36.469,0       35.616,0       35.072       38.720      1.968,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.768          3        5.589,0        5.696,0        4.032        7.040      1.506,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.824          4       32.456,0       31.552,0       31.136       35.584      2.117,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.792          3       36.597,0       35.840,0       34.560       39.392      2.503,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.736          3        5.578,0        5.472,0        4.288        6.976      1.347,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          146.560          4       36.640,0       35.472,0       35.456       40.160      2.346,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          122.144          3       40.714,0       39.200,0       39.040       43.904      2.763,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.912          3        7.637,0        8.192,0        6.528        8.192        960,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.304          4       32.576,0       31.648,0       31.136       35.872      2.249,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.088          3       36.362,0       36.000,0       34.592       38.496      1.977,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.416          3        5.472,0        5.632,0        4.160        6.624      1.239,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          134.912          4       33.728,0       32.720,0       32.288       37.184      2.326,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          113.408          3       37.802,0       37.088,0       35.520       40.800      2.711,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.128          3        5.376,0        5.184,0        4.160        6.784      1.322,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          147.808          4       36.952,0       35.872,0       35.648       40.416      2.313,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          123.648          3       41.216,0       40.768,0       39.072       43.808      2.399,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.400          3        7.466,0        8.000,0        6.336        8.064        979,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.472          4       32.368,0       31.568,0       31.136       35.200      1.918,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          110.016          3       36.672,0       35.872,0       35.200       38.944      1.996,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.288          3        5.429,0        5.504,0        4.640        6.144        754,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          135.744          4       33.936,0       32.752,0       32.736       37.504      2.378,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.208          3       38.069,0       37.504,0       36.000       40.704      2.402,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.816          3        7.605,0        8.064,0        6.592        8.160        878,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          136.544          4       34.136,0       33.056,0       32.832       37.600      2.317,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.200          3       38.400,0       38.112,0       36.096       40.992      2.460,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.232          3        7.744,0        8.256,0        6.304        8.672      1.264,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.552          4       32.888,0       31.968,0       31.456       36.160      2.195,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.888          3       36.629,0       35.936,0       34.432       39.520      2.613,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.832          3        5.610,0        5.856,0        4.032        6.944      1.471,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          133.984          4       33.496,0       32.608,0       32.096       36.672      2.144,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          112.320          3       37.440,0       36.704,0       35.648       39.968      2.252,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           15.776          3        5.258,0        4.992,0        4.000        6.784      1.411,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          131.104          4       32.776,0       32.112,0       31.136       35.744      2.032,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.120          3       36.373,0       35.360,0       35.200       38.560      1.895,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.320          3        5.440,0        5.216,0        4.128        6.976      1.437,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          143.008          4       35.752,0       34.864,0       34.432       38.848      2.079,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          121.024          3       40.341,0       39.296,0       37.984       43.744      3.018,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.816          3        7.605,0        8.064,0        6.496        8.256        965,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          129.472          4       32.368,0       31.472,0       31.232       35.296      1.958,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.472          3       36.490,0       35.456,0       35.360       38.656      1.875,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
