9,0 28.239.168 100 282.391,0 337.216,0 216.480 341.056 59.411,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.939.616 100 339.396,0 339.360,0 338.176 340.992 683,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.163.840 100 251.638,0 222.272,0 179.872 340.896 64.921,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 22.021.728 100 220.217,0 185.392,0 172.320 344.032 59.223,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.690.496 100 306.905,0 339.120,0 218.912 340.896 52.396,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.530.080 100 275.300,0 225.632,0 204.576 340.288 61.943,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.511.520 100 245.115,0 220.752,0 205.088 341.088 54.911,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.931.008 100 339.310,0 339.312,0 336.864 341.312 795,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.732.896 100 297.329,0 338.608,0 217.504 340.544 56.332,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.552.800 100 265.528,0 223.536,0 180.736 340.928 65.392,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.230.240 100 262.302,0 221.696,0 210.592 341.600 58.456,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.744.512 100 257.445,0 222.448,0 179.744 340.704 64.240,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.308.576 100 263.085,0 223.168,0 180.704 340.320 66.297,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.404.160 100 274.041,0 225.232,0 180.224 340.864 62.511,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.171.328 100 241.713,0 222.160,0 180.992 340.384 63.126,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.202.304 100 252.023,0 222.496,0 179.968 340.544 64.494,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.027.392 100 310.273,0 338.912,0 218.592 341.056 50.563,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 21.464.288 100 214.642,0 216.144,0 201.408 229.952 7.705,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.490.816 100 294.908,0 338.272,0 203.296 340.704 57.169,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.295.840 100 242.958,0 221.808,0 180.608 341.248 62.397,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.451.776 100 304.517,0 338.720,0 210.976 341.184 55.817,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.601.696 100 266.017,0 223.264,0 181.024 340.704 65.049,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.801.952 100 258.019,0 223.232,0 181.376 340.672 65.510,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.595.712 100 295.957,0 338.656,0 219.424 341.184 56.842,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.926.048 100 339.260,0 339.216,0 337.344 340.928 765,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.085.152 100 250.851,0 220.800,0 203.360 341.056 55.768,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.282.240 100 262.822,0 224.640,0 180.864 341.376 63.353,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.421.152 100 244.211,0 221.632,0 179.968 340.448 62.902,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.963.104 100 259.631,0 223.744,0 181.120 340.736 63.889,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.777.280 100 257.772,0 221.936,0 180.512 341.152 64.303,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.848.160 100 308.481,0 338.944,0 221.152 341.312 51.055,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.699.840 100 246.998,0 222.384,0 181.024 340.768 62.381,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.586.400 100 255.864,0 222.992,0 181.408 340.896 59.903,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 32.165.600 100 321.656,0 338.848,0 220.000 341.120 41.932,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.049.184 100 260.491,0 223.520,0 180.672 340.640 65.656,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.368.512 100 243.685,0 222.608,0 180.384 341.024 58.942,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.760.704 100 297.607,0 338.512,0 218.816 341.088 55.682,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.815.776 100 258.157,0 223.248,0 203.616 340.736 55.873,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.163.488 100 251.634,0 222.752,0 179.936 341.408 64.968,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 23.839.936 100 238.399,0 222.384,0 180.096 340.704 60.818,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 20.487.168 100 204.871,0 213.424,0 180.608 216.768 14.045,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 18.953.728 100 189.537,0 183.904,0 180.384 209.472 10.625,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.359.136 100 173.591,0 173.552,0 172.320 175.872 665,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.560.800 100 255.608,0 223.408,0 204.160 340.672 56.613,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.406.368 100 264.063,0 223.584,0 205.632 340.992 57.404,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
8,0 23.998.464 100 239.984,0 253.712,0 218.048 256.544 16.708,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.818.336 100 278.183,0 228.128,0 203.296 341.920 58.857,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 18.014.464 100 180.144,0 182.288,0 171.232 186.560 4.572,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 18.696.768 100 186.967,0 182.576,0 173.312 216.512 10.683,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.339.776 100 173.397,0 173.392,0 171.712 175.136 621,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 20.526.720 100 205.267,0 205.088,0 200.928 217.920 2.690,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.654.848 100 176.548,0 173.856,0 171.520 183.904 4.410,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.120.736 100 171.207,0 171.232,0 169.952 172.672 594,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.035.936 100 240.359,0 221.392,0 179.552 340.448 61.027,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.739.712 100 257.397,0 223.920,0 181.568 340.800 64.522,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.713.696 100 277.137,0 227.744,0 180.736 341.216 60.001,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.354.880 100 173.548,0 173.552,0 172.032 174.912 635,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.327.488 100 173.274,0 173.152,0 171.840 174.848 623,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 21.656.832 100 216.568,0 185.104,0 180.864 255.488 35.695,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.363.360 100 173.633,0 173.600,0 172.480 176.128 675,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 17.343.104 100 173.431,0 173.472,0 171.104 175.552 680,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.343.040 100 173.430,0 173.424,0 172.096 174.720 586,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 20.724.832 100 207.248,0 206.768,0 203.264 216.512 2.652,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.322.784 100 173.227,0 173.248,0 171.616 174.528 625,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 22.500.672 100 225.006,0 187.344,0 180.736 342.336 59.853,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 24.910.208 100 249.102,0 255.216,0 182.048 343.328 59.000,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.351.264 100 173.512,0 173.456,0 172.160 175.104 659,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 19.446.656 100 194.466,0 183.648,0 180.704 223.808 16.901,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 18.813.600 100 188.136,0 183.264,0 173.536 217.024 12.111,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.345.184 100 173.451,0 173.408,0 171.840 174.912 631,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 17.172.320 100 171.723,0 171.648,0 170.208 173.824 698,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
8,0 17.392.608 100 173.926,0 173.616,0 172.000 177.152 1.247,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 21.188.128 100 211.881,0 220.272,0 180.608 225.568 15.439,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
