8,0 26.085.184 200 130.425,0 113.760,0 45.760 240.672 75.705,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 31.352.928 200 156.764,0 155.680,0 67.104 241.056 82.436,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.338.048 200 156.690,0 156.128,0 72.832 240.384 82.498,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.738.752 200 128.693,0 109.280,0 42.048 240.288 74.632,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.271.456 200 156.357,0 153.824,0 58.016 240.512 82.560,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.152.672 200 110.763,0 101.360,0 40.352 240.192 66.417,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.846.720 200 114.233,0 101.120,0 40.096 241.088 68.998,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.949.888 200 124.749,0 100.912,0 40.384 240.416 74.256,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.280.576 200 126.402,0 100.640,0 40.032 240.704 74.536,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 29.296.416 200 146.482,0 114.976,0 46.784 240.096 79.768,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.807.040 200 144.035,0 114.112,0 46.528 241.504 79.709,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 30.625.568 200 153.127,0 115.376,0 46.944 241.184 81.258,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.127.296 200 80.636,0 80.560,0 39.296 122.816 41.000,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.589.888 200 117.949,0 109.968,0 40.768 240.096 70.405,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.952.544 200 129.762,0 109.856,0 44.768 240.768 74.977,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.140.992 200 80.705,0 80.336,0 39.168 122.848 40.991,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 25.595.232 200 127.976,0 101.056,0 40.608 240.608 75.057,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 23.478.496 200 117.392,0 102.272,0 41.024 240.384 69.781,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.599.200 200 122.996,0 116.080,0 44.736 240.032 71.292,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.053.024 200 125.265,0 109.104,0 40.288 240.672 73.390,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.606.176 200 113.030,0 101.344,0 39.936 240.512 68.835,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.480.736 200 112.403,0 101.392,0 40.800 240.224 66.572,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.417.856 200 157.089,0 156.720,0 73.472 243.872 82.196,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.038.592 200 120.193,0 114.240,0 46.208 240.192 70.169,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.046.752 200 135.233,0 127.088,0 51.648 240.672 75.250,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.121.440 200 80.607,0 80.336,0 38.784 122.752 41.187,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 23.045.728 200 115.228,0 102.000,0 40.544 240.288 69.027,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.864.256 200 114.321,0 101.552,0 40.384 240.416 68.729,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.913.824 200 89.569,0 86.528,0 39.648 155.776 48.176,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.468.768 200 157.343,0 157.232,0 74.336 240.608 81.800,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.371.392 200 116.857,0 101.392,0 40.288 239.936 69.991,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 20.334.048 200 101.670,0 97.216,0 39.136 242.464 61.946,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.507.680 200 142.538,0 114.288,0 46.176 240.672 79.372,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.490.208 200 127.451,0 110.128,0 44.608 240.416 74.269,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.600.128 200 113.000,0 108.976,0 43.968 239.840 66.555,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.436.480 200 157.182,0 156.800,0 73.728 240.544 82.096,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.508.160 200 137.540,0 113.888,0 46.048 240.576 78.231,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.595.008 200 122.975,0 100.864,0 40.352 240.512 73.276,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 24.182.656 200 120.913,0 111.024,0 45.024 240.544 70.911,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.938.848 200 119.694,0 101.680,0 40.736 240.576 71.292,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.301.024 200 121.505,0 99.952,0 40.160 240.128 73.207,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.424.800 200 127.124,0 101.552,0 40.576 240.352 74.337,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.287.776 200 111.438,0 100.544,0 39.904 240.224 67.939,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.220.128 200 116.100,0 101.056,0 40.160 240.512 69.844,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.741.664 200 143.708,0 114.288,0 46.144 240.288 79.929,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.254.400 200 86.272,0 86.224,0 47.776 125.600 37.812,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.274.144 200 136.370,0 109.088,0 43.168 240.800 78.138,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.487.424 200 112.437,0 101.008,0 40.320 240.672 67.812,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.167.200 200 140.836,0 111.616,0 44.960 241.056 79.740,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.653.472 200 123.267,0 101.040,0 40.416 240.096 73.193,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.852.288 200 119.261,0 100.816,0 40.032 241.504 72.012,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 27.416.768 200 137.083,0 114.272,0 46.560 240.448 78.080,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.324.768 200 156.623,0 156.336,0 73.440 240.768 82.607,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.097.920 200 115.489,0 108.432,0 42.560 240.768 68.519,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.334.304 200 121.671,0 110.944,0 40.672 240.288 71.697,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 22.580.256 200 112.901,0 100.576,0 40.064 240.128 68.125,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 23.951.456 200 119.757,0 100.816,0 40.320 240.224 71.410,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.714.944 200 118.574,0 100.672,0 40.064 240.000 71.049,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.593.472 200 142.967,0 115.152,0 46.656 240.832 79.666,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.748.928 200 113.744,0 100.240,0 39.616 240.032 69.191,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.606.624 200 118.033,0 101.120,0 40.640 240.928 70.094,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.624.096 200 148.120,0 113.968,0 45.856 273.408 82.346,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.964.928 200 119.824,0 100.480,0 40.064 241.184 72.072,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.509.856 200 112.549,0 100.784,0 39.744 241.120 67.668,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 27.474.496 200 137.372,0 119.296,0 45.760 240.544 78.465,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.830.144 200 119.150,0 108.912,0 43.520 240.544 69.992,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.130.496 200 115.652,0 100.464,0 39.936 240.864 70.163,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.021.120 200 110.105,0 100.000,0 39.680 240.768 67.002,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.743.488 200 93.717,0 86.768,0 40.192 152.928 50.429,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.453.568 200 87.267,0 85.872,0 39.808 146.688 46.098,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.157.056 200 80.785,0 80.624,0 39.392 123.168 41.013,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.455.360 200 117.276,0 108.624,0 43.424 240.288 69.721,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.319.328 200 121.596,0 111.312,0 45.216 241.152 71.172,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.751.168 200 108.755,0 102.528,0 46.144 179.168 59.982,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.622.368 200 128.111,0 109.456,0 43.776 240.416 74.620,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.670.720 200 83.353,0 80.816,0 39.328 129.632 42.953,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 17.252.032 200 86.260,0 86.128,0 40.448 150.688 45.199,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.101.152 200 80.505,0 80.240,0 38.944 122.528 41.224,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.417.088 200 87.085,0 87.280,0 47.840 126.976 38.578,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.387.808 200 81.939,0 80.640,0 39.296 130.368 41.994,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 15.936.992 200 79.685,0 79.504,0 39.008 121.536 40.546,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.184.192 200 110.921,0 100.128,0 39.840 240.256 66.952,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.775.392 200 118.877,0 100.656,0 40.320 240.736 71.339,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.720.512 200 128.602,0 114.336,0 43.616 240.288 74.316,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.110.624 200 80.553,0 80.288,0 39.008 122.688 41.108,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.120.416 200 80.602,0 80.448,0 39.104 122.784 41.122,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 19.765.312 200 98.826,0 89.280,0 40.032 178.784 56.047,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.094.944 200 80.474,0 80.272,0 38.912 122.560 41.228,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.172.544 200 80.862,0 80.608,0 39.616 122.912 40.831,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.088.160 200 80.440,0 80.240,0 38.752 123.296 41.251,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.451.584 200 87.257,0 87.136,0 48.448 127.072 38.276,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.086.368 200 80.431,0 80.384,0 39.040 122.592 41.263,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 20.657.632 200 103.288,0 100.752,0 40.192 240.864 62.706,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 22.761.824 200 113.809,0 100.640,0 40.384 240.640 68.251,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.159.616 200 80.798,0 80.720,0 39.456 122.560 40.973,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.858.784 200 89.293,0 86.272,0 39.776 156.960 47.944,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.389.216 200 86.946,0 84.256,0 39.488 153.024 45.766,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.105.568 200 80.527,0 80.496,0 39.040 122.496 41.166,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 15.964.928 200 79.824,0 79.664,0 38.720 122.848 40.736,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.144.032 200 80.720,0 81.904,0 39.072 124.928 41.119,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.343.552 200 96.717,0 86.912,0 40.384 158.080 52.255,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.416.512 200 122.082,0 100.992,0 40.416 240.352 72.323,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 26.588.320 200 132.941,0 116.544,0 42.464 240.320 77.018,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.405.728 200 122.028,0 111.056,0 45.056 240.480 71.472,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.433.984 200 147.169,0 113.584,0 45.856 240.544 81.622,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.796.960 200 128.984,0 109.072,0 43.168 241.536 75.043,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.333.152 200 121.665,0 108.912,0 43.296 240.320 71.192,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.561.312 200 117.806,0 100.512,0 39.968 240.928 70.940,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.326.240 200 126.631,0 100.464,0 40.096 240.576 74.853,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.085.216 200 80.426,0 80.432,0 38.880 122.624 41.356,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.718.976 200 83.594,0 81.200,0 39.232 130.464 43.196,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.415.008 200 117.075,0 102.912,0 44.448 241.184 67.942,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.154.272 200 80.771,0 80.608,0 39.584 123.008 40.958,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.100.640 200 110.503,0 100.064,0 39.904 240.544 66.955,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.482.592 200 117.413,0 100.832,0 40.096 241.408 71.584,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.749.216 200 118.746,0 101.536,0 40.704 240.832 70.950,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.167.968 200 80.839,0 80.752,0 39.648 123.072 41.036,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.922.624 200 114.613,0 102.096,0 40.832 240.864 67.958,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.230.848 200 131.154,0 108.704,0 42.976 241.088 76.308,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.675.104 200 118.375,0 100.560,0 39.808 240.832 71.454,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 25.262.496 200 126.312,0 103.552,0 43.776 279.712 74.225,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 17.835.200 200 89.176,0 85.856,0 40.384 144.480 46.854,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 26.196.128 200 130.980,0 103.024,0 48.224 240.608 75.289,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.038.144 200 95.190,0 91.216,0 45.696 198.048 43.827,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.781.216 200 128.906,0 102.624,0 40.960 240.864 75.363,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.207.776 200 131.038,0 109.024,0 43.360 240.704 76.106,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.317.632 200 131.588,0 108.448,0 42.720 240.640 76.217,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.150.368 200 80.751,0 80.928,0 39.456 123.072 41.072,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.136.608 200 80.683,0 80.576,0 39.200 123.360 41.214,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.272.416 200 91.362,0 86.016,0 39.968 146.400 48.766,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.112.832 200 80.564,0 80.256,0 38.912 123.072 41.239,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.418.112 200 132.090,0 105.424,0 45.664 241.696 76.199,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.772.032 200 118.860,0 103.344,0 46.464 240.352 68.661,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.114.016 200 90.570,0 87.024,0 40.096 158.688 48.520,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 16.124.960 200 80.624,0 80.320,0 39.360 122.560 41.008,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.863.008 200 119.315,0 101.168,0 40.448 241.088 71.036,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.769.056 200 98.845,0 93.456,0 52.128 182.368 45.764,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.605.344 200 118.026,0 101.696,0 40.416 241.216 71.164,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 15.955.456 200 79.777,0 79.728,0 38.592 121.696 40.749,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.187.424 200 80.937,0 81.168,0 39.392 124.736 41.125,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 17.548.256 200 87.741,0 88.064,0 48.000 128.000 38.706,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 15.961.984 200 79.809,0 79.488,0 38.848 121.152 40.602,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.100.736 200 80.503,0 80.576,0 38.944 122.848 41.344,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.719.584 200 118.597,0 101.072,0 40.512 240.928 71.997,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.022.816 200 95.114,0 86.304,0 38.848 178.880 54.038,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 15.957.600 200 79.788,0 79.664,0 38.976 121.408 40.591,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 19.673.632 200 98.368,0 89.936,0 40.704 178.592 55.299,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.448.800 200 112.244,0 100.384,0 39.776 240.704 68.137,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.788.064 200 108.940,0 103.280,0 46.592 240.416 61.576,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.269.056 200 116.345,0 100.912,0 40.160 240.992 69.987,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.648.096 200 123.240,0 101.328,0 40.448 240.896 73.653,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.453.408 200 112.267,0 100.656,0 40.000 240.736 68.043,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.487.040 200 117.435,0 100.160,0 39.840 240.032 71.033,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.153.952 200 80.769,0 80.512,0 39.296 123.488 41.225,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.127.168 200 80.635,0 80.560,0 39.264 122.560 41.064,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
