7,0 13.527.936 2 6.763.968,0 6.763.968,0 5.715.072 7.812.864 1.483.362,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 8.455.488 2 4.227.744,0 4.227.744,0 4.225.184 4.230.304 3.620,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.448.160 2 4.224.080,0 4.224.080,0 4.215.296 4.232.864 12.422,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 22.736.544 2 11.368.272,0 11.368.272,0 9.936.128 12.800.416 2.025.357,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 10.376.608 2 5.188.304,0 5.188.304,0 5.187.712 5.188.896 837,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.582.656 2 4.291.328,0 4.291.328,0 4.273.088 4.309.568 25.795,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.400.672 2 4.200.336,0 4.200.336,0 4.199.776 4.200.896 792,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 22.688.096 2 11.344.048,0 11.344.048,0 9.971.968 12.716.128 1.940.414,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 19.732.512 2 9.866.256,0 9.866.256,0 9.848.448 9.884.064 25.184,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 13.292.896 2 6.646.448,0 6.646.448,0 6.217.504 7.075.392 606.618,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 9.911.936 2 4.955.968,0 4.955.968,0 4.255.072 5.656.864 991.216,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.495.040 2 4.247.520,0 4.247.520,0 4.242.912 4.252.128 6.516,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.428.288 2 4.214.144,0 4.214.144,0 4.210.336 4.217.952 5.385,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.568.416 2 4.284.208,0 4.284.208,0 4.282.880 4.285.536 1.878,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 14.441.312 2 7.220.656,0 7.220.656,0 4.212.736 10.228.576 4.253.841,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 26.390.272 2 13.195.136,0 13.195.136,0 12.420.832 13.969.440 1.095.031,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.257.984 2 5.128.992,0 5.128.992,0 5.124.160 5.133.824 6.833,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.425.856 2 4.212.928,0 4.212.928,0 4.212.576 4.213.280 497,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.494.176 2 4.247.088,0 4.247.088,0 4.241.024 4.253.152 8.575,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.298.848 2 5.149.424,0 5.149.424,0 5.051.232 5.247.616 138.864,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 16.628.192 2 8.314.096,0 8.314.096,0 8.305.312 8.322.880 12.422,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.495.424 2 4.247.712,0 4.247.712,0 4.246.848 4.248.576 1.221,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 32.617.920 2 16.308.960,0 16.308.960,0 13.660.864 18.957.056 3.744.973,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.509.568 2 4.254.784,0 4.254.784,0 4.251.456 4.258.112 4.706,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.420.224 2 8.210.112,0 8.210.112,0 8.206.976 8.213.248 4.435,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 10.440.512 2 5.220.256,0 5.220.256,0 5.194.848 5.245.664 35.932,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.510.208 2 8.255.104,0 8.255.104,0 8.253.536 8.256.672 2.217,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 8.506.912 2 4.253.456,0 4.253.456,0 4.250.080 4.256.832 4.774,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.536.384 2 8.268.192,0 8.268.192,0 8.265.408 8.270.976 3.937,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.446.432 2 4.223.216,0 4.223.216,0 4.222.304 4.224.128 1.289,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
9,0 11.317.792 2 5.658.896,0 5.658.896,0 5.633.856 5.683.936 35.411,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.462.752 2 4.231.376,0 4.231.376,0 4.228.864 4.233.888 3.552,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.534.656 2 4.267.328,0 4.267.328,0 4.264.608 4.270.048 3.846,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 28.351.264 2 14.175.632,0 14.175.632,0 14.154.208 14.197.056 30.298,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.448.256 2 4.224.128,0 4.224.128,0 4.220.448 4.227.808 5.204,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.519.648 2 8.259.824,0 8.259.824,0 8.248.864 8.270.784 15.499,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.457.568 2 5.228.784,0 5.228.784,0 5.199.520 5.258.048 41.385,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.524.448 2 4.262.224,0 4.262.224,0 4.253.696 4.270.752 12.060,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.452.160 2 4.226.080,0 4.226.080,0 4.218.752 4.233.408 10.363,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.507.264 2 4.253.632,0 4.253.632,0 4.252.704 4.254.560 1.312,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.501.504 2 4.250.752,0 4.250.752,0 4.249.408 4.252.096 1.900,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.504.320 2 4.252.160,0 4.252.160,0 4.249.536 4.254.784 3.710,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 17.568.384 2 8.784.192,0 8.784.192,0 7.744.448 9.823.936 1.470.420,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.468.864 2 5.234.432,0 5.234.432,0 5.079.776 5.389.088 218.716,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.573.248 2 8.286.624,0 8.286.624,0 8.278.720 8.294.528 11.177,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
12,0 23.284.160 2 11.642.080,0 11.642.080,0 9.138.720 14.145.440 3.540.285,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.350.592 2 5.175.296,0 5.175.296,0 5.054.752 5.295.840 170.475,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 16.510.080 2 8.255.040,0 8.255.040,0 8.251.072 8.259.008 5.611,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.354.016 2 8.177.008,0 8.177.008,0 8.165.920 8.188.096 15.680,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 8.525.568 2 4.262.784,0 4.262.784,0 4.259.904 4.265.664 4.072,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.498.176 2 4.249.088,0 4.249.088,0 4.245.376 4.252.800 5.249,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.512.800 2 4.256.400,0 4.256.400,0 4.250.944 4.261.856 7.715,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 17.603.008 2 8.801.504,0 8.801.504,0 7.735.360 9.867.648 1.507.755,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.535.936 2 8.267.968,0 8.267.968,0 8.262.080 8.273.856 8.326,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.509.824 2 4.254.912,0 4.254.912,0 4.252.416 4.257.408 3.529,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.535.680 2 4.267.840,0 4.267.840,0 4.263.552 4.272.128 6.064,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.440.352 2 4.220.176,0 4.220.176,0 4.217.856 4.222.496 3.281,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.467.392 2 4.233.696,0 4.233.696,0 4.219.776 4.247.616 19.685,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
11,0 19.727.168 2 9.863.584,0 9.863.584,0 9.861.408 9.865.760 3.077,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.548.800 2 4.274.400,0 4.274.400,0 4.267.936 4.280.864 9.141,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.433.440 2 4.216.720,0 4.216.720,0 4.216.352 4.217.088 520,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.494.720 2 8.247.360,0 8.247.360,0 8.234.080 8.260.640 18.780,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.408.928 2 4.204.464,0 4.204.464,0 4.198.112 4.210.816 8.983,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.474.464 2 4.237.232,0 4.237.232,0 4.230.880 4.243.584 8.983,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
14,0 33.672.384 2 16.836.192,0 16.836.192,0 13.596.096 20.076.288 4.582.187,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.453.472 2 4.226.736,0 4.226.736,0 4.208.576 4.244.896 25.682,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.425.120 2 4.212.560,0 4.212.560,0 4.209.760 4.215.360 3.959,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 13.465.920 2 6.732.960,0 6.732.960,0 6.311.488 7.154.432 596.051,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 10.496.832 2 5.248.416,0 5.248.416,0 5.235.648 5.261.184 18.056,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 10.442.976 2 5.221.488,0 5.221.488,0 5.215.904 5.227.072 7.897,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
11,0 24.029.472 2 12.014.736,0 12.014.736,0 10.185.760 13.843.712 2.586.562,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.516.096 2 4.258.048,0 4.258.048,0 4.256.320 4.259.776 2.443,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.550.816 2 8.275.408,0 8.275.408,0 8.265.856 8.284.960 13.508,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 9.957.856 2 4.978.928,0 4.978.928,0 4.972.480 4.985.376 9.118,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.541.152 2 4.270.576,0 4.270.576,0 4.267.264 4.273.888 4.683,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.509.472 2 8.254.736,0 8.254.736,0 8.253.984 8.255.488 1.063,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.422.464 2 4.211.232,0 4.211.232,0 4.201.920 4.220.544 13.169,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 13.011.456 2 6.505.728,0 6.505.728,0 5.217.152 7.794.304 1.822.321,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 12.624.960 2 6.312.480,0 6.312.480,0 5.161.312 7.463.648 1.627.997,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.529.760 2 4.264.880,0 4.264.880,0 4.249.376 4.280.384 21.926,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 17.828.224 2 8.914.112,0 8.914.112,0 8.239.008 9.589.216 954.741,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.441.376 2 8.220.688,0 8.220.688,0 8.220.512 8.220.864 248,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.507.104 2 4.253.552,0 4.253.552,0 4.252.704 4.254.400 1.199,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.499.328 2 4.249.664,0 4.249.664,0 4.243.296 4.256.032 9.005,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 22.094.112 2 11.047.056,0 11.047.056,0 7.978.464 14.115.648 4.339.644,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.429.056 2 4.214.528,0 4.214.528,0 4.210.592 4.218.464 5.566,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
11,0 22.204.768 2 11.102.384,0 11.102.384,0 8.513.664 13.691.104 3.661.002,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.022.816 2 5.011.408,0 5.011.408,0 5.004.096 5.018.720 10.340,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.205.472 2 8.102.736,0 8.102.736,0 8.102.688 8.102.784 67,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 8.443.552 2 4.221.776,0 4.221.776,0 4.214.016 4.229.536 10.974,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 16.792.928 2 8.396.464,0 8.396.464,0 6.902.944 9.889.984 2.112.156,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.456.160 2 4.228.080,0 4.228.080,0 4.224.608 4.231.552 4.910,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.443.552 2 4.221.776,0 4.221.776,0 4.219.232 4.224.320 3.597,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.508.544 2 4.254.272,0 4.254.272,0 4.248.640 4.259.904 7.964,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.547.808 2 4.273.904,0 4.273.904,0 4.266.400 4.281.408 10.612,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.463.200 2 4.231.600,0 4.231.600,0 4.207.680 4.255.520 33.828,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.509.376 2 4.254.688,0 4.254.688,0 4.251.520 4.257.856 4.480,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 13.771.680 2 6.885.840,0 6.885.840,0 5.568.288 8.203.392 1.863.299,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.175.616 2 5.087.808,0 5.087.808,0 5.081.248 5.094.368 9.277,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.425.632 2 4.212.816,0 4.212.816,0 4.212.544 4.213.088 384,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.273.984 2 8.136.992,0 8.136.992,0 8.068.544 8.205.440 96.800,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.532.768 2 4.266.384,0 4.266.384,0 4.264.416 4.268.352 2.783,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.529.248 2 4.264.624,0 4.264.624,0 4.261.440 4.267.808 4.502,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.093.184 2 5.046.592,0 5.046.592,0 5.004.160 5.089.024 60.007,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.505.248 2 4.252.624,0 4.252.624,0 4.250.784 4.254.464 2.602,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 25.604.768 2 12.802.384,0 12.802.384,0 11.136.992 14.467.776 2.355.220,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.403.840 2 4.201.920,0 4.201.920,0 4.194.176 4.209.664 10.951,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.608.832 2 8.304.416,0 8.304.416,0 8.299.392 8.309.440 7.105,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.942.816 2 5.471.408,0 5.471.408,0 5.216.384 5.726.432 360.658,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.321.312 2 5.160.656,0 5.160.656,0 5.152.288 5.169.024 11.834,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.412.768 2 4.206.384,0 4.206.384,0 4.201.952 4.210.816 6.267,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.535.136 2 4.267.568,0 4.267.568,0 4.266.496 4.268.640 1.516,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 9.183.200 2 4.591.600,0 4.591.600,0 4.427.104 4.756.096 232.632,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 13.793.056 2 6.896.528,0 6.896.528,0 5.555.296 8.237.760 1.896.788,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.440.128 2 4.220.064,0 4.220.064,0 4.208.736 4.231.392 16.020,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
9,0 19.771.232 2 9.885.616,0 9.885.616,0 8.231.584 11.539.648 2.339.154,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.539.904 2 4.269.952,0 4.269.952,0 4.263.680 4.276.224 8.869,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 8.461.088 2 4.230.544,0 4.230.544,0 4.229.600 4.231.488 1.335,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 14.760.672 2 7.380.336,0 7.380.336,0 4.896.096 9.864.576 3.513.245,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.420.384 2 4.210.192,0 4.210.192,0 4.207.424 4.212.960 3.914,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 11.722.688 2 5.861.344,0 5.861.344,0 5.859.392 5.863.296 2.760,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.559.200 2 4.279.600,0 4.279.600,0 4.261.504 4.297.696 25.591,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
10,0 23.721.760 2 11.860.880,0 11.860.880,0 11.022.880 12.698.880 1.185.111,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.497.568 2 4.248.784,0 4.248.784,0 4.245.376 4.252.192 4.819,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.471.232 2 8.235.616,0 8.235.616,0 8.227.936 8.243.296 10.861,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
