19,0 2.426.272 1 2.426.272,0 2.426.272,0 2.426.272 2.426.272 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.927.456 1 2.927.456,0 2.927.456,0 2.927.456 2.927.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.089.312 1 2.089.312,0 2.089.312,0 2.089.312 2.089.312 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.972.640 1 1.972.640,0 1.972.640,0 1.972.640 1.972.640 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 1.956.864 1 1.956.864,0 1.956.864,0 1.956.864 1.956.864 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.904.096 1 2.904.096,0 2.904.096,0 2.904.096 2.904.096 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.966.048 1 1.966.048,0 1.966.048,0 1.966.048 1.966.048 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.973.600 1 1.973.600,0 1.973.600,0 1.973.600 1.973.600 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.971.072 1 1.971.072,0 1.971.072,0 1.971.072 1.971.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.958.144 1 3.958.144,0 3.958.144,0 3.958.144 3.958.144 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.977.440 1 1.977.440,0 1.977.440,0 1.977.440 1.977.440 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.950.528 1 1.950.528,0 1.950.528,0 1.950.528 1.950.528 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.967.072 1 1.967.072,0 1.967.072,0 1.967.072 1.967.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.982.368 1 1.982.368,0 1.982.368,0 1.982.368 1.982.368 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.984.832 1 1.984.832,0 1.984.832,0 1.984.832 1.984.832 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
11,0 1.977.248 1 1.977.248,0 1.977.248,0 1.977.248 1.977.248 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.972.704 1 1.972.704,0 1.972.704,0 1.972.704 1.972.704 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.965.472 1 1.965.472,0 1.965.472,0 1.965.472 1.965.472 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.963.936 1 1.963.936,0 1.963.936,0 1.963.936 1.963.936 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.870.400 1 3.870.400,0 3.870.400,0 3.870.400 3.870.400 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.980.480 1 1.980.480,0 1.980.480,0 1.980.480 1.980.480 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.865.632 1 3.865.632,0 3.865.632,0 3.865.632 3.865.632 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.960.704 1 1.960.704,0 1.960.704,0 1.960.704 1.960.704 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.460.544 1 2.460.544,0 2.460.544,0 2.460.544 2.460.544 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.968.864 1 1.968.864,0 1.968.864,0 1.968.864 1.968.864 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.984.768 1 1.984.768,0 1.984.768,0 1.984.768 1.984.768 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.927.456 1 2.927.456,0 2.927.456,0 2.927.456 2.927.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.905.248 1 2.905.248,0 2.905.248,0 2.905.248 2.905.248 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 2.319.776 1 2.319.776,0 2.319.776,0 2.319.776 2.319.776 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 5.372.736 1 5.372.736,0 5.372.736,0 5.372.736 5.372.736 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.863.904 1 3.863.904,0 3.863.904,0 3.863.904 3.863.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.971.104 1 1.971.104,0 1.971.104,0 1.971.104 1.971.104 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.959.264 1 1.959.264,0 1.959.264,0 1.959.264 1.959.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.967.872 1 1.967.872,0 1.967.872,0 1.967.872 1.967.872 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 1.981.120 1 1.981.120,0 1.981.120,0 1.981.120 1.981.120 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.892.256 1 3.892.256,0 3.892.256,0 3.892.256 3.892.256 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.965.760 1 1.965.760,0 1.965.760,0 1.965.760 1.965.760 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.956.256 1 1.956.256,0 1.956.256,0 1.956.256 1.956.256 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.352.640 1 2.352.640,0 2.352.640,0 2.352.640 2.352.640 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.937.696 1 2.937.696,0 2.937.696,0 2.937.696 2.937.696 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.971.584 1 1.971.584,0 1.971.584,0 1.971.584 1.971.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.971.456 1 1.971.456,0 1.971.456,0 1.971.456 1.971.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.449.344 1 3.449.344,0 3.449.344,0 3.449.344 3.449.344 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.962.912 1 1.962.912,0 1.962.912,0 1.962.912 1.962.912 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.908.288 1 2.908.288,0 2.908.288,0 2.908.288 2.908.288 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.971.808 1 1.971.808,0 1.971.808,0 1.971.808 1.971.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.977.888 1 1.977.888,0 1.977.888,0 1.977.888 1.977.888 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.961.952 1 1.961.952,0 1.961.952,0 1.961.952 1.961.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 2.365.280 1 2.365.280,0 2.365.280,0 2.365.280 2.365.280 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.096.928 1 2.096.928,0 2.096.928,0 2.096.928 2.096.928 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.968.320 1 1.968.320,0 1.968.320,0 1.968.320 1.968.320 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.975.808 1 1.975.808,0 1.975.808,0 1.975.808 1.975.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.977.152 1 1.977.152,0 1.977.152,0 1.977.152 1.977.152 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.453.120 1 2.453.120,0 2.453.120,0 2.453.120 2.453.120 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 1.970.912 1 1.970.912,0 1.970.912,0 1.970.912 1.970.912 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 1.982.912 1 1.982.912,0 1.982.912,0 1.982.912 1.982.912 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.979.968 1 1.979.968,0 1.979.968,0 1.979.968 1.979.968 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.982.624 1 1.982.624,0 1.982.624,0 1.982.624 1.982.624 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.376.448 1 3.376.448,0 3.376.448,0 3.376.448 3.376.448 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.982.144 1 1.982.144,0 1.982.144,0 1.982.144 1.982.144 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.980.000 1 1.980.000,0 1.980.000,0 1.980.000 1.980.000 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.362.176 1 2.362.176,0 2.362.176,0 2.362.176 2.362.176 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.982.784 1 1.982.784,0 1.982.784,0 1.982.784 1.982.784 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
7,0 3.859.712 1 3.859.712,0 3.859.712,0 3.859.712 3.859.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 2.912.224 1 2.912.224,0 2.912.224,0 2.912.224 2.912.224 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.975.904 1 1.975.904,0 1.975.904,0 1.975.904 1.975.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.964.608 1 1.964.608,0 1.964.608,0 1.964.608 1.964.608 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 2.907.808 1 2.907.808,0 2.907.808,0 2.907.808 2.907.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.414.304 1 2.414.304,0 2.414.304,0 2.414.304 2.414.304 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.965.440 1 1.965.440,0 1.965.440,0 1.965.440 1.965.440 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.423.712 1 2.423.712,0 2.423.712,0 2.423.712 2.423.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 1.963.104 1 1.963.104,0 1.963.104,0 1.963.104 1.963.104 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.001.056 1 2.001.056,0 2.001.056,0 2.001.056 2.001.056 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.971.328 1 1.971.328,0 1.971.328,0 1.971.328 1.971.328 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.914.496 1 2.914.496,0 2.914.496,0 2.914.496 2.914.496 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.859.616 1 3.859.616,0 3.859.616,0 3.859.616 3.859.616 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.902.496 1 3.902.496,0 3.902.496,0 3.902.496 3.902.496 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 1.965.664 1 1.965.664,0 1.965.664,0 1.965.664 1.965.664 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.980.256 1 1.980.256,0 1.980.256,0 1.980.256 1.980.256 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.967.552 1 1.967.552,0 1.967.552,0 1.967.552 1.967.552 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
29,0 3.856.128 1 3.856.128,0 3.856.128,0 3.856.128 3.856.128 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.546.400 1 2.546.400,0 2.546.400,0 2.546.400 2.546.400 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 6.048.320 1 6.048.320,0 6.048.320,0 6.048.320 6.048.320 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.998.272 1 1.998.272,0 1.998.272,0 1.998.272 1.998.272 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 3.915.776 1 3.915.776,0 3.915.776,0 3.915.776 3.915.776 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.893.408 1 2.893.408,0 2.893.408,0 2.893.408 2.893.408 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.902.336 1 3.902.336,0 3.902.336,0 3.902.336 3.902.336 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.966.240 1 1.966.240,0 1.966.240,0 1.966.240 1.966.240 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 2.367.936 1 2.367.936,0 2.367.936,0 2.367.936 2.367.936 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 3.855.648 1 3.855.648,0 3.855.648,0 3.855.648 3.855.648 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.980.384 1 1.980.384,0 1.980.384,0 1.980.384 1.980.384 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.919.488 1 2.919.488,0 2.919.488,0 2.919.488 2.919.488 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 5.540.544 1 5.540.544,0 5.540.544,0 5.540.544 5.540.544 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.959.712 1 1.959.712,0 1.959.712,0 1.959.712 1.959.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 1.947.584 1 1.947.584,0 1.947.584,0 1.947.584 1.947.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 2.368.608 1 2.368.608,0 2.368.608,0 2.368.608 2.368.608 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 2.017.824 1 2.017.824,0 2.017.824,0 2.017.824 2.017.824 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.958.496 1 1.958.496,0 1.958.496,0 1.958.496 1.958.496 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.993.024 1 1.993.024,0 1.993.024,0 1.993.024 1.993.024 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.914.464 1 2.914.464,0 2.914.464,0 2.914.464 2.914.464 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.951.776 1 1.951.776,0 1.951.776,0 1.951.776 1.951.776 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.969.600 1 1.969.600,0 1.969.600,0 1.969.600 1.969.600 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.960.544 1 1.960.544,0 1.960.544,0 1.960.544 1.960.544 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.982.752 1 1.982.752,0 1.982.752,0 1.982.752 1.982.752 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
