6,0 161.056 3 53.685,0 52.000,0 51.552 57.504 3.314,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.600 3 72.533,0 70.432,0 69.728 77.440 4.263,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.152 3 72.384,0 70.880,0 68.768 77.504 4.558,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 69.920,0 68.704 77.184 4.585,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 70.464,0 68.864 77.024 4.323,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.744 3 71.914,0 69.856,0 68.672 77.216 4.629,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 70.336,0 68.768 77.376 4.584,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.400,0 69.056 77.440 4.503,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.576 3 72.192,0 70.208,0 69.184 77.184 4.353,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.128 3 72.042,0 70.080,0 68.640 77.408 4.702,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 69.696,0 69.152 76.768 4.248,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 69.664,0 69.472 76.736 4.139,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 70.080,0 69.472 77.376 4.398,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 69.600,0 69.504 77.280 4.462,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 69.888,0 68.576 77.760 4.967,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.936 3 71.978,0 70.656,0 68.864 76.416 3.945,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 70.752,0 68.672 76.544 4.079,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.048,0 68.736 76.992 4.436,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.560,0 68.736 76.896 4.282,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.304,0 69.696 76.896 3.993,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 70.368,0 68.672 76.352 4.034,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.816 3 71.605,0 69.856,0 68.736 76.224 4.038,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 70.784,0 68.640 77.056 4.373,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 70.016,0 68.992 77.312 4.536,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 69.792,0 68.736 77.664 4.878,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 161.856 3 53.952,0 52.032,0 51.968 57.856 3.381,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 70.208,0 68.672 76.768 4.300,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.816,0 68.736 77.248 4.437,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.520 3 71.840,0 69.632,0 69.056 76.832 4.332,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.120 3 72.373,0 70.432,0 68.704 77.984 4.935,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 70.464,0 68.640 76.192 3.940,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 70.368,0 68.608 76.896 4.366,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.440,0 68.640 77.056 4.645,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 70.592,0 68.672 76.160 3.889,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 69.824,0 69.280 76.128 3.806,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.936 3 71.978,0 70.112,0 68.768 77.056 4.448,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.992 3 72.330,0 70.464,0 69.216 77.312 4.358,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.416 3 72.138,0 70.944,0 68.704 76.768 4.162,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 70.464,0 68.704 76.320 3.987,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 69.760,0 68.640 77.088 4.588,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.048,0 69.184 76.544 4.023,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 69.760,0 68.640 77.312 4.716,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.784 3 71.594,0 69.728,0 68.736 76.320 4.122,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.992 3 72.330,0 70.944,0 69.120 76.928 4.084,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.672 3 72.224,0 69.792,0 69.504 77.376 4.464,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.312 3 72.437,0 70.784,0 69.088 77.440 4.414,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 69.888,0 68.672 76.864 4.420,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.176 3 71.392,0 69.600,0 68.608 75.968 3.993,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.336 3 71.445,0 69.344,0 68.640 76.352 4.263,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.848 3 71.616,0 69.856,0 68.800 76.192 3.998,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.256 3 72.085,0 70.496,0 69.344 76.416 3.794,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 69.504,0 69.408 76.736 4.203,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.576 3 72.192,0 70.848,0 69.472 76.256 3.586,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.920,0 69.120 76.352 3.964,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 70.432,0 68.736 76.448 4.052,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.128 3 72.042,0 70.208,0 69.312 76.608 3.979,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.576 3 72.192,0 69.952,0 69.472 77.152 4.302,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 70.336,0 69.600 76.416 3.740,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.536 3 72.512,0 70.784,0 69.472 77.280 4.181,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.056 3 72.352,0 70.400,0 69.504 77.152 4.181,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.280 3 72.426,0 70.720,0 69.376 77.184 4.174,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 70.592,0 69.568 76.224 3.584,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.912,0 68.640 76.992 4.318,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 70.400,0 68.640 76.576 4.167,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.432,0 69.504 76.256 3.659,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.752,0 68.800 76.640 4.081,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.984,0 68.640 76.448 4.174,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 69.632,0 69.504 76.768 4.157,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.720 3 71.573,0 69.856,0 68.672 76.192 4.043,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.432 3 71.477,0 69.408,0 68.832 76.192 4.093,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.520 3 71.840,0 69.600,0 69.344 76.576 4.103,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.824,0 69.344 76.864 4.210,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 70.368,0 68.832 76.608 4.118,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 70.112,0 68.960 76.896 4.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.176,0 69.408 77.312 4.358,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.824,0 68.672 76.576 4.269,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 69.376,0 69.120 77.184 4.583,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.264 3 71.754,0 69.760,0 68.832 76.672 4.283,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.432,0 68.672 77.696 4.783,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.200 3 71.733,0 70.432,0 68.576 76.192 3.971,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 69.856,0 69.344 76.576 4.035,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 69.984,0 68.672 76.512 4.199,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 69.824,0 68.800 77.568 4.794,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.200 3 71.733,0 69.760,0 68.736 76.704 4.335,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.240,0 68.736 76.800 4.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.064 3 72.021,0 69.888,0 69.376 76.800 4.146,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.496,0 69.088 76.960 4.197,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 70.752,0 68.704 76.928 4.281,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 70.816,0 68.672 76.224 3.891,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 69.792,0 68.640 76.736 4.379,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 69.312,0 68.704 77.344 4.822,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.952,0 68.704 76.480 4.176,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.448 3 72.149,0 70.112,0 69.632 76.704 3.951,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.504 3 72.501,0 70.816,0 69.216 77.472 4.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.920,0 68.800 76.352 4.075,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.496,0 68.672 77.024 4.391,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 70.336,0 68.736 76.640 4.178,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 69.888,0 68.736 77.344 4.672,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.736 3 72.245,0 70.624,0 68.640 77.472 4.633,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.744 3 71.914,0 70.336,0 69.184 76.224 3.776,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 70.528,0 69.184 76.672 3.992,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.256 3 72.085,0 69.792,0 69.536 76.928 4.195,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.568,0 68.704 76.864 4.482,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.600 3 72.533,0 70.816,0 69.408 77.376 4.252,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.104 3 71.701,0 70.112,0 68.640 76.352 4.094,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.736 3 72.245,0 70.880,0 68.960 76.896 4.140,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.408,0 69.216 76.512 4.158,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 70.848,0 68.736 76.064 3.772,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 70.048,0 68.672 76.736 4.313,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.752 3 71.584,0 69.312,0 68.704 76.736 4.472,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.784 3 71.594,0 69.280,0 68.672 76.832 4.545,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.096 3 72.032,0 69.952,0 69.312 76.832 4.169,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 69.344,0 69.344 77.536 4.729,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 70.368,0 68.640 76.160 3.938,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 70.432,0 69.280 76.160 3.684,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.264 3 71.754,0 69.888,0 68.608 76.768 4.388,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.640 3 72.213,0 70.432,0 68.768 77.440 4.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 69.952,0 68.672 77.280 4.644,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.208,0 69.312 77.280 4.364,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.664 3 72.554,0 70.880,0 69.536 77.248 4.119,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.304,0 69.184 76.288 3.819,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 70.400,0 69.088 76.192 3.780,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 70.304,0 68.672 76.704 4.245,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.096 3 72.032,0 69.632,0 69.088 77.376 4.636,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.248 3 72.416,0 70.816,0 69.408 77.024 4.052,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 217.088 3 72.362,0 70.272,0 69.568 77.248 4.245,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 70.592,0 68.640 76.640 4.171,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.824 3 72.608,0 70.912,0 69.440 77.472 4.276,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.280 3 72.426,0 70.720,0 68.672 77.888 4.839,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.496,0 68.736 77.568 4.674,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.608 3 72.202,0 70.592,0 68.640 77.376 4.585,0 CUDA_KERNEL lud_perimeter(float *, int, int)
