8,0 191.840 4 47.960,0 47.040,0 46.752 51.008 2.047,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 192.192 4 48.048,0 47.120,0 46.976 50.976 1.953,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.648 4 47.912,0 46.960,0 46.720 51.008 2.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
13,0 191.872 4 47.968,0 46.736,0 46.720 51.680 2.474,0 CUDA_KERNEL lud_diagonal(float *, int, int)
10,0 192.544 4 48.136,0 46.832,0 46.784 52.096 2.640,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.432 4 64.608,0 63.104,0 62.464 69.760 3.447,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.352 4 64.088,0 62.528,0 62.336 68.960 3.250,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 63.168,0 62.336 69.600 3.379,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.824 4 64.456,0 62.864,0 62.784 69.312 3.237,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 63.104,0 62.400 69.120 3.143,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 62.800,0 62.432 70.016 3.675,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.784,0 62.336 69.280 3.346,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.464,0 62.336 69.728 3.654,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.352,0 62.336 69.888 3.770,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 62.608,0 62.304 70.336 3.917,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.752 4 64.688,0 63.136,0 62.688 69.792 3.409,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.120 4 64.280,0 62.448,0 62.240 69.984 3.804,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.544 4 64.136,0 62.656,0 62.304 68.928 3.207,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.352 4 64.088,0 62.416,0 62.304 69.216 3.419,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.416 4 64.104,0 62.384,0 62.272 69.376 3.515,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.496 4 64.624,0 63.232,0 62.400 69.632 3.362,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.576 4 64.144,0 62.400,0 62.304 69.472 3.552,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 62.656,0 62.368 70.368 3.908,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.920 4 64.480,0 63.104,0 62.304 69.408 3.307,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.752,0 62.240 69.056 3.269,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.376 4 64.344,0 62.704,0 62.368 69.600 3.514,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.120 4 64.280,0 62.400,0 62.368 69.952 3.781,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.480 4 64.120,0 62.640,0 62.336 68.864 3.170,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.888 4 64.472,0 62.848,0 62.400 69.792 3.569,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.336 4 64.584,0 62.848,0 62.336 70.304 3.821,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 62.704,0 62.240 69.664 3.574,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 62.800,0 62.400 69.856 3.614,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 63.056,0 62.400 69.280 3.237,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.664 4 64.416,0 63.152,0 62.336 69.024 3.096,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.776 4 47.944,0 47.040,0 46.720 50.976 2.037,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.496 4 64.624,0 63.024,0 62.560 69.888 3.524,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.640,0 62.240 69.344 3.431,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.736,0 62.368 69.088 3.253,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 62.992,0 62.304 69.760 3.522,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.760 4 64.440,0 63.120,0 62.304 69.216 3.207,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.120 4 64.280,0 62.752,0 62.304 69.312 3.381,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.688,0 62.336 69.728 3.592,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.816,0 62.336 69.312 3.335,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.512,0 62.336 69.440 3.496,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 62.656,0 62.304 69.984 3.737,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.496,0 62.400 70.048 3.792,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 62.912,0 62.336 69.888 3.594,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.496 4 64.624,0 62.768,0 62.336 70.624 4.005,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.408 4 64.352,0 62.544,0 62.432 69.888 3.692,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.576 4 64.144,0 62.720,0 62.272 68.864 3.164,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 62.640,0 62.336 70.016 3.741,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.736 4 64.184,0 62.400,0 62.336 69.600 3.611,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.824 4 64.456,0 62.800,0 62.368 69.856 3.620,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.840 4 63.960,0 62.464,0 62.272 68.640 3.123,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.304 4 64.576,0 62.912,0 62.336 70.144 3.727,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 62.944,0 62.752 69.216 3.169,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.320,0 62.304 69.952 3.818,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.528 4 64.632,0 63.488,0 62.816 68.736 2.754,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.704 4 64.176,0 62.720,0 62.272 68.992 3.228,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.816 4 64.704,0 62.896,0 62.304 70.720 4.046,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.704 4 64.176,0 62.352,0 62.336 69.664 3.658,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.000 4 64.000,0 62.432,0 62.304 68.832 3.222,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.240 4 64.560,0 62.752,0 62.304 70.432 3.932,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 63.056,0 62.272 69.248 3.249,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.144 4 64.536,0 62.992,0 62.336 69.824 3.544,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.512 4 64.128,0 62.768,0 62.336 68.640 3.019,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.536 4 64.384,0 62.592,0 62.304 70.048 3.778,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.416 4 64.104,0 62.448,0 62.336 69.184 3.387,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.968 4 63.992,0 62.368,0 62.272 68.960 3.312,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 63.056,0 62.304 69.184 3.209,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.400 4 64.600,0 63.056,0 62.368 69.920 3.561,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.768,0 62.240 69.504 3.480,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 62.752,0 62.304 70.144 3.787,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.408 4 64.352,0 62.800,0 62.336 69.472 3.433,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.736 4 48.184,0 46.960,0 46.784 52.032 2.570,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.400,0 62.368 69.696 3.653,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.768 4 64.192,0 62.848,0 62.432 68.640 2.972,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.784,0 62.336 69.824 3.616,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 63.232,0 62.400 68.928 3.014,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.512 4 64.128,0 62.272,0 62.240 69.728 3.733,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.504 4 64.376,0 62.416,0 62.336 70.336 3.974,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.944,0 62.336 68.800 3.043,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 63.120,0 62.304 69.728 3.461,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.888 4 64.472,0 63.104,0 62.336 69.344 3.268,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.768 4 64.192,0 62.384,0 62.336 69.664 3.648,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.384 4 64.096,0 62.320,0 62.272 69.472 3.584,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 258.624 4 64.656,0 62.784,0 62.304 70.752 4.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.088 4 64.272,0 62.864,0 62.272 69.088 3.239,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 63.008,0 62.272 69.760 3.518,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.512 4 64.128,0 62.368,0 62.336 69.440 3.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.464 4 64.616,0 63.088,0 62.656 69.632 3.351,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.640,0 62.368 69.280 3.370,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.208 4 64.552,0 62.736,0 62.336 70.400 3.903,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.560 4 64.640,0 62.864,0 62.688 70.144 3.671,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.280 4 64.320,0 62.944,0 62.272 69.120 3.228,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.472 4 64.368,0 62.736,0 62.368 69.632 3.524,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 62.800,0 62.336 69.664 3.533,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.688,0 62.336 69.440 3.448,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.608 4 64.152,0 62.432,0 62.400 69.344 3.461,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.248 4 64.312,0 62.400,0 62.272 70.176 3.909,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.304 4 64.576,0 63.008,0 62.336 69.952 3.598,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.624,0 62.336 69.856 3.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.976,0 62.368 68.576 2.918,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.352 4 64.088,0 62.688,0 62.336 68.640 3.044,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.216 4 64.304,0 62.576,0 62.464 69.600 3.531,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.752 4 64.688,0 63.040,0 62.304 70.368 3.804,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 63.296,0 62.272 68.416 2.773,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.608 4 64.152,0 62.688,0 62.304 68.928 3.190,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 63.184,0 62.336 68.896 3.025,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.440 4 64.360,0 63.008,0 62.368 69.056 3.146,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.336 4 64.584,0 62.992,0 62.304 70.048 3.657,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.904 4 63.976,0 62.336,0 62.336 68.896 3.280,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.472 4 64.368,0 62.512,0 62.336 70.112 3.832,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.592,0 62.272 69.376 3.455,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 62.368,0 62.336 69.888 3.765,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.336 4 64.584,0 62.976,0 62.368 70.016 3.636,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.696 4 64.424,0 62.736,0 62.336 69.888 3.659,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 62.368,0 62.304 70.752 4.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.600 4 64.400,0 63.056,0 62.816 68.672 2.853,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.640,0 62.336 69.728 3.606,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.528 4 64.632,0 63.024,0 62.336 70.144 3.689,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.400,0 62.336 69.728 3.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.832,0 62.336 68.896 3.146,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.400,0 62.304 69.792 3.712,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.816,0 62.368 68.832 3.105,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 62.512,0 62.304 70.272 3.919,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 63.120,0 62.336 68.608 2.899,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.912,0 62.368 68.736 3.027,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.576 4 64.144,0 62.864,0 62.336 68.512 2.933,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.592 4 64.648,0 63.040,0 62.432 70.080 3.638,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.736 4 64.184,0 62.448,0 62.336 69.504 3.547,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.832,0 62.368 68.992 3.165,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.736 4 64.184,0 62.576,0 62.304 69.280 3.404,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.752,0 62.272 69.504 3.482,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.496 4 64.624,0 62.960,0 62.688 69.888 3.511,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.096 4 64.024,0 62.528,0 62.304 68.736 3.147,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.848,0 62.400 68.928 3.130,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.712 4 63.928,0 62.368,0 62.336 68.640 3.141,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.376 4 64.344,0 62.352,0 62.304 70.368 4.016,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 259.328 4 64.832,0 62.960,0 62.688 70.720 3.928,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.512 4 64.128,0 62.384,0 62.304 69.440 3.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.440 4 64.360,0 62.832,0 62.400 69.376 3.357,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.480 4 64.120,0 62.592,0 62.336 68.960 3.232,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.256 4 64.064,0 62.384,0 62.368 69.120 3.370,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.832 4 64.208,0 62.560,0 62.368 69.344 3.428,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.920 4 64.480,0 63.136,0 62.368 69.280 3.220,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.160 4 64.040,0 62.384,0 62.368 69.024 3.322,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.608 4 64.152,0 62.976,0 62.304 68.352 2.819,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.768 4 64.192,0 62.720,0 62.368 68.960 3.193,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.696 4 64.424,0 62.896,0 62.624 69.280 3.239,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.336 4 64.584,0 62.848,0 62.272 70.368 3.867,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.240 4 64.560,0 63.088,0 62.336 69.728 3.463,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.768 4 64.192,0 62.368,0 62.304 69.728 3.690,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.816,0 62.272 68.960 3.188,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.480 4 64.120,0 62.736,0 62.336 68.672 3.055,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.304 4 64.576,0 63.024,0 62.336 69.920 3.579,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.856 4 64.464,0 62.496,0 62.368 70.496 4.023,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.504 4 64.376,0 62.752,0 62.304 69.696 3.566,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.800,0 62.400 69.216 3.280,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.768,0 62.304 68.992 3.213,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.400 4 64.600,0 62.976,0 62.400 70.048 3.642,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 63.168,0 62.272 68.672 2.936,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.448 4 64.112,0 62.528,0 62.272 69.120 3.343,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.016 4 64.504,0 62.864,0 62.368 69.920 3.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 63.008,0 62.304 69.952 3.605,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.112 4 64.528,0 63.200,0 62.336 69.376 3.257,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.920 4 64.480,0 62.768,0 62.368 70.016 3.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.432,0 62.400 69.888 3.733,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.192 4 64.048,0 62.496,0 62.368 68.832 3.190,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.248 4 64.312,0 62.848,0 62.400 69.152 3.238,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.336,0 62.272 69.856 3.770,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.352,0 62.304 69.824 3.744,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.992,0 62.464 69.280 3.241,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.472 4 64.368,0 62.832,0 62.304 69.504 3.433,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.992 4 64.248,0 62.432,0 62.336 69.792 3.696,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 63.152,0 62.368 68.896 3.026,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.752,0 62.432 69.504 3.435,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.600 4 64.400,0 63.200,0 62.368 68.832 2.981,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.768,0 62.336 69.152 3.289,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 63.456,0 62.336 68.608 2.812,0 CUDA_KERNEL lud_diagonal(float *, int, int)
