22,0 3.846.016 1 3.846.016,0 3.846.016,0 3.846.016 3.846.016 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.981.472 1 1.981.472,0 1.981.472,0 1.981.472 1.981.472 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.974.016 1 1.974.016,0 1.974.016,0 1.974.016 1.974.016 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 1.943.264 1 1.943.264,0 1.943.264,0 1.943.264 1.943.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
31,0 2.890.112 1 2.890.112,0 2.890.112,0 2.890.112 2.890.112 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.897.248 1 3.897.248,0 3.897.248,0 3.897.248 3.897.248 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.905.984 1 3.905.984,0 3.905.984,0 3.905.984 3.905.984 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.351.264 1 2.351.264,0 2.351.264,0 2.351.264 2.351.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.898.848 1 3.898.848,0 3.898.848,0 3.898.848 3.898.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 2.073.024 1 2.073.024,0 2.073.024,0 2.073.024 2.073.024 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.962.784 1 1.962.784,0 1.962.784,0 1.962.784 1.962.784 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 1.951.456 1 1.951.456,0 1.951.456,0 1.951.456 1.951.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.945.408 1 1.945.408,0 1.945.408,0 1.945.408 1.945.408 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
10,0 1.985.600 1 1.985.600,0 1.985.600,0 1.985.600 1.985.600 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.956.768 1 1.956.768,0 1.956.768,0 1.956.768 1.956.768 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.910.624 1 2.910.624,0 2.910.624,0 2.910.624 2.910.624 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.871.904 1 3.871.904,0 3.871.904,0 3.871.904 3.871.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.969.472 1 1.969.472,0 1.969.472,0 1.969.472 1.969.472 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.106.464 1 2.106.464,0 2.106.464,0 2.106.464 2.106.464 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.046.336 1 2.046.336,0 2.046.336,0 2.046.336 2.046.336 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.877.056 1 3.877.056,0 3.877.056,0 3.877.056 3.877.056 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.962.048 1 1.962.048,0 1.962.048,0 1.962.048 1.962.048 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.054.624 1 2.054.624,0 2.054.624,0 2.054.624 2.054.624 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.974.912 1 1.974.912,0 1.974.912,0 1.974.912 1.974.912 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
29,0 1.977.280 1 1.977.280,0 1.977.280,0 1.977.280 1.977.280 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.867.744 1 3.867.744,0 3.867.744,0 3.867.744 3.867.744 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.823.456 1 2.823.456,0 2.823.456,0 2.823.456 2.823.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.963.712 1 1.963.712,0 1.963.712,0 1.963.712 1.963.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.880.960 1 3.880.960,0 3.880.960,0 3.880.960 3.880.960 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 2.916.800 1 2.916.800,0 2.916.800,0 2.916.800 2.916.800 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.964.832 1 1.964.832,0 1.964.832,0 1.964.832 1.964.832 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.865.824 1 3.865.824,0 3.865.824,0 3.865.824 3.865.824 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.976.800 1 1.976.800,0 1.976.800,0 1.976.800 1.976.800 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.973.952 1 1.973.952,0 1.973.952,0 1.973.952 1.973.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 1.984.640 1 1.984.640,0 1.984.640,0 1.984.640 1.984.640 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.963.840 1 1.963.840,0 1.963.840,0 1.963.840 1.963.840 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.972.256 1 1.972.256,0 1.972.256,0 1.972.256 1.972.256 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.908.736 1 3.908.736,0 3.908.736,0 3.908.736 3.908.736 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.965.152 1 1.965.152,0 1.965.152,0 1.965.152 1.965.152 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.979.488 1 1.979.488,0 1.979.488,0 1.979.488 1.979.488 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.355.712 1 2.355.712,0 2.355.712,0 2.355.712 2.355.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.897.152 1 3.897.152,0 3.897.152,0 3.897.152 3.897.152 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 1.953.088 1 1.953.088,0 1.953.088,0 1.953.088 1.953.088 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.980.032 1 1.980.032,0 1.980.032,0 1.980.032 1.980.032 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.968.992 1 1.968.992,0 1.968.992,0 1.968.992 1.968.992 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.927.776 1 3.927.776,0 3.927.776,0 3.927.776 3.927.776 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 1.968.768 1 1.968.768,0 1.968.768,0 1.968.768 1.968.768 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.884.864 1 2.884.864,0 2.884.864,0 2.884.864 2.884.864 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.954.432 1 1.954.432,0 1.954.432,0 1.954.432 1.954.432 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.355.808 1 2.355.808,0 2.355.808,0 2.355.808 2.355.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.894.112 1 3.894.112,0 3.894.112,0 3.894.112 3.894.112 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
29,0 3.926.144 1 3.926.144,0 3.926.144,0 3.926.144 3.926.144 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.958.592 1 1.958.592,0 1.958.592,0 1.958.592 1.958.592 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.970.496 1 1.970.496,0 1.970.496,0 1.970.496 1.970.496 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.355.712 1 2.355.712,0 2.355.712,0 2.355.712 2.355.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.906.304 1 2.906.304,0 2.906.304,0 2.906.304 2.906.304 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.878.208 1 3.878.208,0 3.878.208,0 3.878.208 3.878.208 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 3.882.528 1 3.882.528,0 3.882.528,0 3.882.528 3.882.528 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.507.232 1 2.507.232,0 2.507.232,0 2.507.232 2.507.232 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.509.152 1 2.509.152,0 2.509.152,0 2.509.152 2.509.152 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 1.972.192 1 1.972.192,0 1.972.192,0 1.972.192 1.972.192 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.959.296 1 1.959.296,0 1.959.296,0 1.959.296 1.959.296 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.962.848 1 1.962.848,0 1.962.848,0 1.962.848 1.962.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 1.975.904 1 1.975.904,0 1.975.904,0 1.975.904 1.975.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.972.864 1 1.972.864,0 1.972.864,0 1.972.864 1.972.864 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
29,0 2.453.248 1 2.453.248,0 2.453.248,0 2.453.248 2.453.248 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.872.576 1 3.872.576,0 3.872.576,0 3.872.576 3.872.576 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.979.296 1 1.979.296,0 1.979.296,0 1.979.296 1.979.296 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.933.312 1 2.933.312,0 2.933.312,0 2.933.312 2.933.312 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
11,0 2.911.200 1 2.911.200,0 2.911.200,0 2.911.200 2.911.200 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.879.232 1 3.879.232,0 3.879.232,0 3.879.232 3.879.232 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.884.224 1 2.884.224,0 2.884.224,0 2.884.224 2.884.224 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
28,0 3.859.264 1 3.859.264,0 3.859.264,0 3.859.264 3.859.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
31,0 3.485.504 1 3.485.504,0 3.485.504,0 3.485.504 3.485.504 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.101.120 1 2.101.120,0 2.101.120,0 2.101.120 2.101.120 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.892.256 1 3.892.256,0 3.892.256,0 3.892.256 3.892.256 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.865.856 1 3.865.856,0 3.865.856,0 3.865.856 3.865.856 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.969.120 1 1.969.120,0 1.969.120,0 1.969.120 1.969.120 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.971.680 1 1.971.680,0 1.971.680,0 1.971.680 1.971.680 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.867.424 1 3.867.424,0 3.867.424,0 3.867.424 3.867.424 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.891.712 1 3.891.712,0 3.891.712,0 3.891.712 3.891.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.974.208 1 1.974.208,0 1.974.208,0 1.974.208 1.974.208 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.913.312 1 3.913.312,0 3.913.312,0 3.913.312 3.913.312 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 2.092.960 1 2.092.960,0 2.092.960,0 2.092.960 2.092.960 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.876.800 1 3.876.800,0 3.876.800,0 3.876.800 3.876.800 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 2.074.720 1 2.074.720,0 2.074.720,0 2.074.720 2.074.720 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.970.848 1 1.970.848,0 1.970.848,0 1.970.848 1.970.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.961.152 1 1.961.152,0 1.961.152,0 1.961.152 1.961.152 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.904.960 1 2.904.960,0 2.904.960,0 2.904.960 2.904.960 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.989.472 1 1.989.472,0 1.989.472,0 1.989.472 1.989.472 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.967.744 1 1.967.744,0 1.967.744,0 1.967.744 1.967.744 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.934.176 1 2.934.176,0 2.934.176,0 2.934.176 2.934.176 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 2.083.904 1 2.083.904,0 2.083.904,0 2.083.904 2.083.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.066.368 1 2.066.368,0 2.066.368,0 2.066.368 2.066.368 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 2.077.504 1 2.077.504,0 2.077.504,0 2.077.504 2.077.504 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.968.384 1 1.968.384,0 1.968.384,0 1.968.384 1.968.384 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.838.784 1 3.838.784,0 3.838.784,0 3.838.784 3.838.784 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 2.099.200 1 2.099.200,0 2.099.200,0 2.099.200 2.099.200 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.909.632 1 2.909.632,0 2.909.632,0 2.909.632 2.909.632 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 2.917.824 1 2.917.824,0 2.917.824,0 2.917.824 2.917.824 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.958.528 1 1.958.528,0 1.958.528,0 1.958.528 1.958.528 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.869.856 1 3.869.856,0 3.869.856,0 3.869.856 3.869.856 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.907.008 1 2.907.008,0 2.907.008,0 2.907.008 2.907.008 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 2.900.992 1 2.900.992,0 2.900.992,0 2.900.992 2.900.992 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 2.453.792 1 2.453.792,0 2.453.792,0 2.453.792 2.453.792 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 1.970.048 1 1.970.048,0 1.970.048,0 1.970.048 1.970.048 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 1.962.848 1 1.962.848,0 1.962.848,0 1.962.848 1.962.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.974.688 1 1.974.688,0 1.974.688,0 1.974.688 1.974.688 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.955.520 1 1.955.520,0 1.955.520,0 1.955.520 1.955.520 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.859.232 1 3.859.232,0 3.859.232,0 3.859.232 3.859.232 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.075.808 1 2.075.808,0 2.075.808,0 2.075.808 2.075.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.850.784 1 3.850.784,0 3.850.784,0 3.850.784 3.850.784 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.899.392 1 3.899.392,0 3.899.392,0 3.899.392 3.899.392 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 1.948.000 1 1.948.000,0 1.948.000,0 1.948.000 1.948.000 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.879.584 1 3.879.584,0 3.879.584,0 3.879.584 3.879.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 3.890.112 1 3.890.112,0 3.890.112,0 3.890.112 3.890.112 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.869.952 1 3.869.952,0 3.869.952,0 3.869.952 3.869.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.972.928 1 1.972.928,0 1.972.928,0 1.972.928 1.972.928 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.973.344 1 1.973.344,0 1.973.344,0 1.973.344 1.973.344 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.994.240 1 1.994.240,0 1.994.240,0 1.994.240 1.994.240 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.971.072 1 1.971.072,0 1.971.072,0 1.971.072 1.971.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.961.856 1 1.961.856,0 1.961.856,0 1.961.856 1.961.856 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.968.416 1 1.968.416,0 1.968.416,0 1.968.416 1.968.416 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.983.808 1 1.983.808,0 1.983.808,0 1.983.808 1.983.808 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.916.512 1 2.916.512,0 2.916.512,0 2.916.512 2.916.512 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.921.792 1 2.921.792,0 2.921.792,0 2.921.792 2.921.792 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.916.192 1 2.916.192,0 2.916.192,0 2.916.192 2.916.192 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.894.112 1 3.894.112,0 3.894.112,0 3.894.112 3.894.112 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.860.544 1 3.860.544,0 3.860.544,0 3.860.544 3.860.544 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.886.976 1 3.886.976,0 3.886.976,0 3.886.976 3.886.976 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 2.079.072 1 2.079.072,0 2.079.072,0 2.079.072 2.079.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 1.967.360 1 1.967.360,0 1.967.360,0 1.967.360 1.967.360 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 7.514.880 1 7.514.880,0 7.514.880,0 7.514.880 7.514.880 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.899.488 1 3.899.488,0 3.899.488,0 3.899.488 3.899.488 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.924.640 1 3.924.640,0 3.924.640,0 3.924.640 3.924.640 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.891.840 1 3.891.840,0 3.891.840,0 3.891.840 3.891.840 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 2.912.960 1 2.912.960,0 2.912.960,0 2.912.960 2.912.960 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.405.536 1 2.405.536,0 2.405.536,0 2.405.536 2.405.536 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.977.728 1 1.977.728,0 1.977.728,0 1.977.728 1.977.728 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 3.882.912 1 3.882.912,0 3.882.912,0 3.882.912 3.882.912 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.514.432 1 2.514.432,0 2.514.432,0 2.514.432 2.514.432 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
10,0 2.095.456 1 2.095.456,0 2.095.456,0 2.095.456 2.095.456 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 2.109.184 1 2.109.184,0 2.109.184,0 2.109.184 2.109.184 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.979.712 1 1.979.712,0 1.979.712,0 1.979.712 1.979.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.952.864 1 1.952.864,0 1.952.864,0 1.952.864 1.952.864 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.854.240 1 3.854.240,0 3.854.240,0 3.854.240 3.854.240 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
9,0 2.093.056 1 2.093.056,0 2.093.056,0 2.093.056 2.093.056 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
