0,0 1.777.312 9 197.479,0 197.504,0 196.224 201.376 1.581,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.536 9 197.504,0 197.600,0 196.736 198.880 674,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.861.056 9 206.784,0 197.376,0 196.416 227.616 13.793,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.176 9 197.130,0 196.928,0 196.480 199.616 963,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.882.144 9 209.127,0 215.680,0 196.960 219.680 10.607,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.921.952 9 213.550,0 224.608,0 197.152 226.496 14.397,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.085.888 9 342.876,0 378.176,0 203.712 395.072 79.118,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.956.288 9 217.365,0 225.536,0 195.968 227.552 13.342,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.733.312 9 303.701,0 378.144,0 200.128 394.496 95.957,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.771.104 9 196.789,0 196.544,0 196.288 198.848 781,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.688 9 197.187,0 196.768,0 196.448 199.328 904,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.888 9 197.098,0 197.056,0 196.480 198.848 731,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.939.904 9 215.544,0 222.176,0 196.352 227.872 13.820,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.856 9 197.095,0 196.832,0 196.416 198.560 623,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.925.792 9 325.088,0 377.952,0 207.776 394.080 87.389,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.048 9 197.116,0 196.960,0 196.512 198.336 570,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.376 9 197.041,0 197.056,0 196.320 198.624 749,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.776.864 9 197.429,0 196.576,0 196.320 201.440 1.718,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.216 9 197.024,0 196.416,0 196.288 198.880 884,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.672 9 196.963,0 196.736,0 196.352 198.944 809,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.830.816 9 203.424,0 200.192,0 199.552 214.784 6.436,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.912.672 9 323.630,0 378.368,0 199.232 396.512 90.521,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.992 9 196.999,0 196.640,0 196.320 199.200 953,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.720 9 197.191,0 196.928,0 196.512 199.008 774,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.076.864 9 341.873,0 378.176,0 198.752 395.232 81.281,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.016 9 197.112,0 197.120,0 196.288 198.784 822,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.846.496 9 205.166,0 199.136,0 196.352 216.864 9.743,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.128 9 196.903,0 196.352,0 196.224 200.064 1.266,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.696 9 197.077,0 196.864,0 196.256 199.072 936,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.884.640 9 209.404,0 217.984,0 196.768 220.352 11.491,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.884.960 9 320.551,0 378.112,0 198.912 394.912 90.712,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.120 9 197.013,0 196.384,0 196.320 198.880 903,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.192 9 197.799,0 196.832,0 196.352 201.696 1.858,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.664 9 197.073,0 196.832,0 196.416 198.848 782,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.728 9 197.525,0 196.512,0 196.256 201.280 1.807,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.960 9 196.995,0 196.832,0 196.288 198.944 808,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.919.744 9 213.304,0 225.088,0 196.320 226.624 14.844,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.917.600 9 213.066,0 224.128,0 196.288 225.568 14.254,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.048 9 197.116,0 197.120,0 196.320 199.040 835,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.184 9 197.020,0 196.288,0 196.128 202.752 2.151,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.576 9 197.841,0 197.056,0 196.320 199.968 1.567,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.888.032 9 209.781,0 218.976,0 196.352 220.224 11.556,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.960 9 196.995,0 196.544,0 196.320 199.072 874,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.800.512 9 200.056,0 196.544,0 196.288 225.792 9.688,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.885.792 9 209.532,0 201.568,0 199.328 227.808 11.596,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.925.248 9 213.916,0 223.904,0 196.352 226.848 13.769,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.712 9 197.745,0 196.832,0 196.384 202.528 2.058,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.552 9 197.728,0 196.576,0 196.160 201.376 2.084,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.825.152 9 313.905,0 377.984,0 200.000 395.840 88.674,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.770.976 9 196.775,0 196.384,0 196.320 198.880 879,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.208 9 197.134,0 196.960,0 196.544 198.368 556,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.096 9 196.899,0 196.416,0 196.224 198.816 869,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.802.720 9 200.302,0 197.120,0 196.352 225.024 9.316,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.256 9 196.917,0 196.384,0 196.224 198.880 877,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.775.392 9 197.265,0 197.088,0 196.640 199.008 704,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.913.024 9 212.558,0 224.064,0 196.544 225.920 14.341,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.472 9 197.052,0 196.736,0 196.384 199.232 868,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.911.456 9 212.384,0 224.032,0 196.224 225.600 14.607,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.906.944 9 211.882,0 222.688,0 196.288 224.320 13.579,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.688 9 198.076,0 196.736,0 196.352 200.256 1.841,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.776.032 9 197.336,0 197.248,0 196.896 198.720 559,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.076.736 9 341.859,0 378.304,0 198.912 394.912 81.285,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
1,0 3.614.560 9 401.617,0 197.568,0 196.480 2.028.864 610.219,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.716.544 9 301.838,0 377.760,0 203.840 387.232 92.665,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.936.544 9 215.171,0 224.160,0 196.288 224.896 13.504,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.304 9 197.144,0 196.736,0 196.416 199.008 844,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.783.904 9 198.211,0 197.472,0 196.576 201.312 1.781,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.256 9 196.917,0 196.768,0 196.352 198.624 708,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.882.080 9 209.120,0 216.480,0 196.352 219.328 11.223,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.240 9 197.137,0 196.896,0 196.224 199.008 833,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.885.600 9 209.511,0 199.168,0 196.416 225.856 14.034,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.730.720 9 303.413,0 378.144,0 198.944 394.080 96.197,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.886.688 9 320.743,0 377.728,0 199.840 394.944 90.678,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.872 9 197.763,0 197.312,0 196.224 201.344 1.837,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.776.512 9 197.390,0 197.536,0 196.512 198.912 725,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.924.896 9 213.877,0 225.248,0 197.376 226.368 14.080,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.592 9 198.065,0 197.216,0 196.416 201.504 1.968,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.344 9 197.038,0 196.768,0 196.352 199.296 929,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.926.144 9 325.127,0 377.952,0 212.640 392.416 79.818,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.400 9 198.044,0 196.832,0 196.352 201.440 2.059,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.770.656 9 196.739,0 196.352,0 196.224 199.136 926,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.056 9 197.450,0 196.864,0 196.512 201.632 1.621,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.255.232 9 361.692,0 378.272,0 198.880 394.816 61.412,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.778.432 9 197.603,0 196.576,0 196.288 200.224 1.680,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.811.744 9 201.304,0 199.360,0 199.072 215.040 5.190,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.749.472 9 305.496,0 378.272,0 210.176 395.232 90.504,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.784.192 9 198.243,0 197.312,0 196.576 201.856 1.942,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.769.760 9 196.640,0 196.352,0 196.256 199.040 900,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.922.848 9 324.760,0 378.112,0 203.968 396.992 90.669,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.883.872 9 209.319,0 215.776,0 197.376 219.488 10.819,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.890.048 9 210.005,0 198.944,0 196.288 226.592 15.536,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.064 9 196.896,0 196.352,0 196.288 199.136 957,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.769.216 9 307.690,0 378.208,0 210.272 394.784 91.105,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.736 9 196.970,0 196.544,0 196.192 199.104 932,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.828.224 9 203.136,0 197.184,0 196.256 224.576 12.049,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.775.328 9 197.258,0 196.928,0 196.544 199.424 915,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.328 9 197.703,0 197.472,0 196.288 201.184 1.788,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.520 9 197.724,0 196.736,0 196.224 200.416 1.670,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.176 9 197.130,0 196.928,0 196.352 199.232 831,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.101.664 9 344.629,0 380.800,0 199.328 395.040 79.231,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.096 9 196.899,0 196.480,0 196.320 198.816 819,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.887.136 9 209.681,0 199.200,0 196.736 227.296 14.622,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.915.392 9 212.821,0 222.560,0 196.896 227.072 14.554,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.918.944 9 213.216,0 225.088,0 196.128 225.952 14.736,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.760.480 9 306.720,0 378.080,0 209.056 395.200 92.402,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.528 9 198.058,0 197.056,0 196.288 202.624 2.079,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.776.640 9 197.404,0 196.384,0 196.256 201.376 1.954,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.000 9 197.777,0 196.928,0 196.192 202.720 2.181,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.312 9 197.034,0 196.768,0 196.352 198.944 839,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.771.936 9 196.881,0 196.576,0 196.320 199.264 928,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.900.576 9 322.286,0 378.080,0 199.008 394.944 92.043,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.915.616 9 212.846,0 223.936,0 196.736 227.104 14.651,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.766.112 9 307.345,0 378.176,0 210.208 394.784 91.708,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.900.768 9 322.307,0 378.240,0 199.040 396.224 88.693,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.771.936 9 196.881,0 196.480,0 196.320 199.072 895,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.778.560 9 197.617,0 197.056,0 196.480 202.624 1.930,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.775.904 9 197.322,0 196.960,0 196.384 201.440 1.584,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.510.720 9 278.968,0 225.728,0 215.296 393.056 85.237,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.921.760 9 213.528,0 224.736,0 197.184 226.528 14.360,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.771.648 9 196.849,0 196.576,0 196.320 198.880 811,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.824 9 197.091,0 196.992,0 196.320 198.816 721,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.928.640 9 214.293,0 217.600,0 200.064 219.392 7.553,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.504 9 197.056,0 196.768,0 196.512 198.688 652,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.872.384 9 208.042,0 200.608,0 196.320 219.968 10.453,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.771.776 9 196.864,0 196.384,0 196.288 198.912 876,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.783.360 9 198.151,0 197.408,0 196.256 201.856 2.035,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.850.944 9 205.660,0 211.872,0 196.288 213.536 8.196,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.768 9 197.863,0 197.120,0 196.672 202.336 1.899,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
