1.4 2355936 1 2355936.0 2355936.0 2355936 2355936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3856640 1 3856640.0 3856640.0 3856640 3856640 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3890880 1 3890880.0 3890880.0 3890880 3890880 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878176 1 3878176.0 3878176.0 3878176 3878176 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3867008 1 3867008.0 3867008.0 3867008 3867008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3885824 1 3885824.0 3885824.0 3885824 3885824 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3857344 1 3857344.0 3857344.0 3857344 3857344 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3889472 1 3889472.0 3889472.0 3889472 3889472 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.3 5785856 1 5785856.0 5785856.0 5785856 5785856 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3854816 1 3854816.0 3854816.0 3854816 3854816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.9 7239232 1 7239232.0 7239232.0 7239232 7239232 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3873824 1 3873824.0 3873824.0 3873824 3873824 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3868480 1 3868480.0 3868480.0 3868480 3868480 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879808 1 3879808.0 3879808.0 3879808 3879808 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3867936 1 3867936.0 3867936.0 3867936 3867936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3862848 1 3862848.0 3862848.0 3862848 3862848 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2924640 1 2924640.0 2924640.0 2924640 2924640 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3881184 1 3881184.0 3881184.0 3881184 3881184 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2894784 1 2894784.0 2894784.0 2894784 2894784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3857568 1 3857568.0 3857568.0 3857568 3857568 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3888896 1 3888896.0 3888896.0 3888896 3888896 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3889504 1 3889504.0 3889504.0 3889504 3889504 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3908064 1 3908064.0 3908064.0 3908064 3908064 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.3 3881216 1 3881216.0 3881216.0 3881216 3881216 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3855136 1 3855136.0 3855136.0 3855136 3855136 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2902528 1 2902528.0 2902528.0 2902528 2902528 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3863072 1 3863072.0 3863072.0 3863072 3863072 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3899936 1 3899936.0 3899936.0 3899936 3899936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3838752 1 3838752.0 3838752.0 3838752 3838752 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3881984 1 3881984.0 3881984.0 3881984 3881984 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3881984 1 3881984.0 3881984.0 3881984 3881984 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2905280 1 2905280.0 2905280.0 2905280 2905280 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2905920 1 2905920.0 2905920.0 2905920 2905920 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3887776 1 3887776.0 3887776.0 3887776 3887776 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1966112 1 1966112.0 1966112.0 1966112 1966112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3906976 1 3906976.0 3906976.0 3906976 3906976 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3903008 1 3903008.0 3903008.0 3903008 3903008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869984 1 3869984.0 3869984.0 3869984 3869984 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3866432 1 3866432.0 3866432.0 3866432 3866432 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3863456 1 3863456.0 3863456.0 3863456 3863456 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3890880 1 3890880.0 3890880.0 3890880 3890880 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3842080 1 3842080.0 3842080.0 3842080 3842080 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3860928 1 3860928.0 3860928.0 3860928 3860928 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2907808 1 2907808.0 2907808.0 2907808 2907808 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3860448 1 3860448.0 3860448.0 3860448 3860448 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875584 1 3875584.0 3875584.0 3875584 3875584 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3859744 1 3859744.0 3859744.0 3859744 3859744 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3865728 1 3865728.0 3865728.0 3865728 3865728 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3880800 1 3880800.0 3880800.0 3880800 3880800 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3853024 1 3853024.0 3853024.0 3853024 3853024 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3865088 1 3865088.0 3865088.0 3865088 3865088 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3844352 1 3844352.0 3844352.0 3844352 3844352 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2899360 1 2899360.0 2899360.0 2899360 2899360 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3892480 1 3892480.0 3892480.0 3892480 3892480 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3886240 1 3886240.0 3886240.0 3886240 3886240 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3873024 1 3873024.0 3873024.0 3873024 3873024 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3849856 1 3849856.0 3849856.0 3849856 3849856 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3898816 1 3898816.0 3898816.0 3898816 3898816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3875136 1 3875136.0 3875136.0 3875136 3875136 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1983456 1 1983456.0 1983456.0 1983456 1983456 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3888704 1 3888704.0 3888704.0 3888704 3888704 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3870560 1 3870560.0 3870560.0 3870560 3870560 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879136 1 3879136.0 3879136.0 3879136 3879136 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2916576 1 2916576.0 2916576.0 2916576 2916576 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3886304 1 3886304.0 3886304.0 3886304 3886304 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1970848 1 1970848.0 1970848.0 1970848 1970848 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3880256 1 3880256.0 3880256.0 3880256 3880256 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3907808 1 3907808.0 3907808.0 3907808 3907808 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3890272 1 3890272.0 3890272.0 3890272 3890272 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3839072 1 3839072.0 3839072.0 3839072 3839072 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3854976 1 3854976.0 3854976.0 3854976 3854976 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878240 1 3878240.0 3878240.0 3878240 3878240 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3899552 1 3899552.0 3899552.0 3899552 3899552 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3877536 1 3877536.0 3877536.0 3877536 3877536 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3881536 1 3881536.0 3881536.0 3881536 3881536 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3892000 1 3892000.0 3892000.0 3892000 3892000 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3890176 1 3890176.0 3890176.0 3890176 3890176 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3883328 1 3883328.0 3883328.0 3883328 3883328 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3908224 1 3908224.0 3908224.0 3908224 3908224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3884000 1 3884000.0 3884000.0 3884000 3884000 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3880800 1 3880800.0 3880800.0 3880800 3880800 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3872608 1 3872608.0 3872608.0 3872608 3872608 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3875456 1 3875456.0 3875456.0 3875456 3875456 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3894176 1 3894176.0 3894176.0 3894176 3894176 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2905760 1 2905760.0 2905760.0 2905760 2905760 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3866016 1 3866016.0 3866016.0 3866016 3866016 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3857024 1 3857024.0 3857024.0 3857024 3857024 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3894496 1 3894496.0 3894496.0 3894496 3894496 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2907232 1 2907232.0 2907232.0 2907232 2907232 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3866848 1 3866848.0 3866848.0 3866848 3866848 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3877056 1 3877056.0 3877056.0 3877056 3877056 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3840000 1 3840000.0 3840000.0 3840000 3840000 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3874112 1 3874112.0 3874112.0 3874112 3874112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3865344 1 3865344.0 3865344.0 3865344 3865344 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3829696 1 3829696.0 3829696.0 3829696 3829696 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3878912 1 3878912.0 3878912.0 3878912 3878912 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3878752 1 3878752.0 3878752.0 3878752 3878752 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3880608 1 3880608.0 3880608.0 3880608 3880608 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3876736 1 3876736.0 3876736.0 3876736 3876736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3898272 1 3898272.0 3898272.0 3898272 3898272 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3868000 1 3868000.0 3868000.0 3868000 3868000 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3883328 1 3883328.0 3883328.0 3883328 3883328 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3864032 1 3864032.0 3864032.0 3864032 3864032 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2913888 1 2913888.0 2913888.0 2913888 2913888 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3859328 1 3859328.0 3859328.0 3859328 3859328 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.5 4377568 1 4377568.0 4377568.0 4377568 4377568 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3907072 1 3907072.0 3907072.0 3907072 3907072 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3868224 1 3868224.0 3868224.0 3868224 3868224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3887616 1 3887616.0 3887616.0 3887616 3887616 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3856480 1 3856480.0 3856480.0 3856480 3856480 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878880 1 3878880.0 3878880.0 3878880 3878880 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3900416 1 3900416.0 3900416.0 3900416 3900416 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2907840 1 2907840.0 2907840.0 2907840 2907840 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3886784 1 3886784.0 3886784.0 3886784 3886784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3873472 1 3873472.0 3873472.0 3873472 3873472 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3884832 1 3884832.0 3884832.0 3884832 3884832 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3874816 1 3874816.0 3874816.0 3874816 3874816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3877184 1 3877184.0 3877184.0 3877184 3877184 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3881664 1 3881664.0 3881664.0 3881664 3881664 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3882848 1 3882848.0 3882848.0 3882848 3882848 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2906208 1 2906208.0 2906208.0 2906208 2906208 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1967392 1 1967392.0 1967392.0 1967392 1967392 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3836864 1 3836864.0 3836864.0 3836864 3836864 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3858464 1 3858464.0 3858464.0 3858464 3858464 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3892704 1 3892704.0 3892704.0 3892704 3892704 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3878464 1 3878464.0 3878464.0 3878464 3878464 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2913088 1 2913088.0 2913088.0 2913088 2913088 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3891104 1 3891104.0 3891104.0 3891104 3891104 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3850112 1 3850112.0 3850112.0 3850112 3850112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3868608 1 3868608.0 3868608.0 3868608 3868608 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3879488 1 3879488.0 3879488.0 3879488 3879488 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3882752 1 3882752.0 3882752.0 3882752 3882752 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3880384 1 3880384.0 3880384.0 3880384 3880384 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3844160 1 3844160.0 3844160.0 3844160 3844160 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3874304 1 3874304.0 3874304.0 3874304 3874304 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2896256 1 2896256.0 2896256.0 2896256 2896256 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3848544 1 3848544.0 3848544.0 3848544 3848544 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3868960 1 3868960.0 3868960.0 3868960 3868960 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2900064 1 2900064.0 2900064.0 2900064 2900064 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3850464 1 3850464.0 3850464.0 3850464 3850464 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3891008 1 3891008.0 3891008.0 3891008 3891008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2915136 1 2915136.0 2915136.0 2915136 2915136 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3880160 1 3880160.0 3880160.0 3880160 3880160 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2909856 1 2909856.0 2909856.0 2909856 2909856 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
