0.0 30144 3 10048.0 10144.0 8608 11392 1394.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9568.0 8576 11264 1359.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9440.0 7840 11872 2030.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30144 3 10048.0 9536.0 8736 11872 1629.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9568.0 8032 11296 1632.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9632.0 8608 11008 1204.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28640 3 9546.7 9920.0 8128 10592 1273.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9824.0 8096 11456 1680.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9696.0 7616 11776 2080.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29984 3 9994.7 9792.0 8544 11648 1561.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 10048.0 8576 11072 1254.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 9344.0 7904 11680 1905.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9344.0 8704 11104 1242.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9536.0 7840 11776 1974.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21280 3 7093.3 7424.0 6336 7520 657.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 9440.0 8608 11712 1606.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 8832.0 8672 11424 1544.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29536 3 9845.3 9920.0 8448 11168 1361.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9440.0 8000 11680 1854.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9760.0 8000 11328 1664.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30016 3 10005.3 10080.0 8128 11808 1841.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 10080.0 8032 11296 1649.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9536.0 8000 11456 1731.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9472.0 7936 11680 1882.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9312.0 8384 11200 1435.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 8608.0 8192 11424 1758.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28800 3 9600.0 9504.0 8512 10784 1139.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9632.0 7904 11168 1632.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9568.0 8640 11200 1296.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9216.0 8672 11520 1511.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 9600.0 8672 11296 1330.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28480 3 9493.3 9504.0 8000 10976 1488.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9600.0 8544 11232 1354.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 9728.0 7968 11232 1633.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9568.0 8576 11584 1532.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9760.0 7840 11680 1920.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9600.0 8608 11264 1342.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9568.0 7936 11552 1810.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9504.0 8608 11168 1299.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9664.0 7904 11680 1889.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 10080.0 8160 11168 1523.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9600.0 8288 11712 1727.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28128 3 9376.0 8768.0 8064 11296 1699.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9504.0 8640 11040 1215.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9632.0 8064 11072 1504.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9664.0 8640 11008 1187.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 8832.0 8352 11840 1890.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9600.0 7744 11168 1714.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 10400.0 8000 11200 1665.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9664.0 8064 11136 1536.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28800 3 9600.0 9600.0 8064 11136 1536.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9664.0 8576 11392 1420.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 10080.0 8544 11104 1288.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9568.0 7648 11680 2016.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 10048.0 8032 11264 1632.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16352 3 5450.7 5344.0 4128 6880 1379.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9376.0 8160 11360 1615.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9760.0 7936 11072 1575.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9536.0 8000 11328 1665.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10112.0 8640 11072 1224.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9376.0 8256 11360 1571.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9408.0 8320 11968 1872.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9568.0 8608 11200 1310.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 10016.0 8000 11744 1873.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 10176.0 7936 11200 1669.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9440.0 8608 11616 1553.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9792.0 8064 11648 1792.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9440.0 8064 11392 1672.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9536.0 8064 11648 1801.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9600.0 8096 11168 1536.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30112 3 10037.3 10304.0 7968 11840 1949.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29792 3 9930.7 10208.0 8448 11136 1365.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 9664.0 8192 12032 1937.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9504.0 8544 11648 1589.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 9632.0 7680 11616 1968.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9376.0 8128 11584 1750.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 10048.0 7840 10880 1571.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27776 3 9258.7 8672.0 8000 11104 1633.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28736 3 9578.7 9664.0 7968 11104 1569.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28448 3 9482.7 8800.0 7968 11680 1947.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9472.0 8288 11712 1738.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 10176.0 7648 11328 1882.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9664.0 8640 11072 1221.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9536.0 7968 11168 1600.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21792 3 7264.0 7232.0 6208 8352 1072.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27744 3 9248.0 8800.0 7936 11008 1584.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9472.0 7968 11328 1683.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 15936 3 5312.0 5312.0 4032 6592 1280.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9952.0 7968 11072 1571.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 10048.0 8064 11200 1586.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 10144.0 7968 11072 1593.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9504.0 8064 11616 1786.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28832 3 9610.7 9664.0 8032 11136 1552.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9728.0 8000 11136 1570.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9376.0 8736 11616 1512.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10432.0 8064 11328 1686.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 10144.0 8032 11296 1655.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9984.0 7904 11488 1799.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9536.0 7648 11712 2033.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10176.0 8224 11424 1612.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9760.0 7936 11648 1856.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 10016.0 8160 11072 1474.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 10208.0 7840 11424 1822.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 10016.0 7968 11520 1782.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9376.0 8672 11328 1376.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 10176.0 7968 11616 1837.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28448 3 9482.7 9824.0 7648 10976 1690.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 10080.0 7904 11232 1690.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 10080.0 8640 11040 1208.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 10016.0 7904 11360 1742.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9600.0 8224 11040 1408.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16896 3 5632.0 5856.0 4160 6880 1373.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9568.0 7904 11040 1569.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16416 3 5472.0 5280.0 4288 6848 1290.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9472.0 8544 11072 1278.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9856.0 8160 11040 1447.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28416 3 9472.0 9504.0 7840 11072 1616.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9504.0 7936 11808 1947.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28448 3 9482.7 9600.0 7936 10912 1491.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9952.0 7904 11648 1874.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 10176.0 7904 11104 1646.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9696.0 7968 11200 1617.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 20800 3 6933.3 7520.0 5760 7520 1016.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9696.0 8480 11232 1379.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29440 3 9813.3 10048.0 7936 11456 1771.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29792 3 9930.7 9536.0 8640 11616 1526.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 8928.0 7968 11616 1891.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 9984.0 8512 11264 1377.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29440 3 9813.3 9664.0 8512 11264 1382.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9984.0 8000 11840 1920.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9696.0 8000 11616 1809.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 10176.0 7904 11136 1659.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9600.0 8320 11808 1764.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9664.0 8000 11008 1506.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30432 3 10144.0 10304.0 8608 11520 1462.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 9536.0 8512 11840 1704.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9504.0 8704 11424 1397.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28480 3 9493.3 9504.0 7968 11008 1520.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 10016.0 8128 11264 1578.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29920 3 9973.3 9728.0 8512 11680 1598.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21088 3 7029.3 7392.0 6240 7456 684.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28480 3 9493.3 9472.0 7872 11136 1632.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9536.0 8288 11072 1394.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9984.0 8000 11616 1810.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9600.0 7648 11264 1809.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28960 3 9653.3 9600.0 8256 11104 1424.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9600.0 8160 11360 1602.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28608 3 9536.0 9600.0 7872 11136 1632.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9632.0 8512 11104 1300.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9824.0 7808 11360 1781.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29984 3 9994.7 10176.0 8064 11744 1846.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21408 3 7136.0 7392.0 6240 7776 799.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 10080.0 8480 11072 1307.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9504.0 8000 11584 1799.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30016 3 10005.3 10080.0 8672 11264 1297.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9568.0 7840 11136 1648.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9728.0 8064 11296 1616.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29984 3 9994.7 10144.0 8640 11200 1286.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30272 3 10090.7 10336.0 8608 11328 1376.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27840 3 9280.0 8768.0 7872 11200 1722.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9344.0 8352 11200 1445.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30304 3 10101.3 9696.0 8640 11968 1700.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9952.0 8544 10848 1161.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9664.0 8192 11168 1488.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30336 3 10112.0 9920.0 8640 11776 1576.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9376.0 7872 11264 1699.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 8640.0 8512 11712 1811.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 10080.0 8000 11264 1652.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 10048.0 7616 11360 1899.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28384 3 9461.3 9568.0 8512 10304 900.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28192 3 9397.3 9376.0 7776 11040 1632.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9568.0 7904 11712 1909.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27648 3 9216.0 9600.0 7648 10400 1415.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30208 3 10069.3 10080.0 8544 11584 1520.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 10048.0 8000 11104 1578.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9472.0 8576 11616 1562.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9600.0 7808 11264 1728.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9568.0 7840 11136 1648.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9536.0 8512 11232 1373.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30272 3 10090.7 9792.0 8576 11904 1684.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28416 3 9472.0 9632.0 8064 10720 1335.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28416 3 9472.0 9312.0 8128 10976 1430.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 10176.0 7968 11744 1897.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30016 3 10005.3 10176.0 8704 11136 1224.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16352 3 5450.7 5472.0 4032 6848 1408.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9888.0 7840 11360 1767.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 9504.0 8768 11616 1478.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9728.0 7680 11584 1952.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9728.0 8000 11616 1808.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 10144.0 7904 11136 1655.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9504.0 8096 11648 1788.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16352 3 5450.7 5344.0 4192 6816 1315.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29952 3 9984.0 9536.0 8736 11680 1522.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 10080.0 7872 11104 1651.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9792.0 8672 11168 1250.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 10112.0 7680 11392 1885.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28320 3 9440.0 8800.0 8384 11136 1483.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9376.0 8608 11680 1598.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28576 3 9525.3 9504.0 8032 11040 1504.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9728.0 8576 11392 1415.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 10112.0 8064 11168 1578.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 10080.0 8832 10368 816.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28320 3 9440.0 9600.0 7904 10816 1462.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9824.0 7936 11136 1608.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 20896 3 6965.3 7360.0 6048 7488 797.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9792.0 8224 11232 1504.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9024.0 8064 11424 1730.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27840 3 9280.0 9568.0 8000 10272 1163.1 CUDA_KERNEL lud_internal(float *, int, int)
