43,0 64.214.475.232 6.000 10.702.412,0 10.589.568,0 10.561.504 24.390.048 765.630,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.678.068.288 6.000 10.613.011,0 10.598.224,0 10.560.960 32.052.928 400.144,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.456.414.272 6.000 10.742.735,0 10.730.624,0 10.708.864 26.106.912 335.632,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.492.495.552 6.000 10.748.749,0 10.735.584,0 10.712.640 26.107.104 314.666,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.463.285.792 6.000 10.743.881,0 10.731.168,0 10.708.416 26.104.448 355.688,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.494.090.240 6.000 10.749.015,0 10.734.368,0 10.710.240 26.110.048 360.140,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.513.646.976 6.000 10.752.274,0 10.737.824,0 10.714.496 33.490.560 412.343,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.540.423.232 6.000 10.756.737,0 10.740.032,0 10.711.168 26.116.224 404.317,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.482.672.480 6.000 10.747.112,0 10.729.728,0 10.703.904 29.098.272 443.614,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.407.338.496 6.000 10.734.556,0 10.725.664,0 10.701.728 26.111.808 297.794,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.441.061.824 6.000 10.740.177,0 10.727.328,0 10.706.688 26.111.584 355.689,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.469.989.600 6.000 10.744.998,0 10.731.504,0 10.710.112 27.216.256 390.733,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.509.149.888 6.000 10.751.525,0 10.732.448,0 10.711.296 28.061.344 370.669,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.491.916.800 6.000 10.748.652,0 10.731.776,0 10.708.480 26.112.512 426.668,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.454.413.536 6.000 10.742.402,0 10.728.320,0 10.701.792 26.108.000 395.107,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.473.032.320 6.000 10.745.505,0 10.733.888,0 10.710.848 26.107.520 342.831,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.471.905.728 6.000 10.745.317,0 10.732.576,0 10.709.856 26.110.208 346.089,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.485.636.384 6.000 10.747.606,0 10.734.144,0 10.707.744 26.111.296 347.946,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.456.358.528 6.000 10.742.726,0 10.731.392,0 10.708.064 26.115.648 331.833,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.474.239.616 6.000 10.745.706,0 10.733.120,0 10.710.208 26.108.512 349.633,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.439.583.488 6.000 10.739.930,0 10.728.928,0 10.704.096 30.852.288 363.762,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.457.537.024 6.000 10.742.922,0 10.733.312,0 10.711.392 28.092.192 315.110,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.487.769.984 6.000 10.747.961,0 10.728.752,0 10.705.664 26.114.304 432.312,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.441.575.904 6.000 10.740.262,0 10.730.528,0 10.704.000 26.112.192 319.084,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.443.379.520 6.000 10.740.563,0 10.730.864,0 10.705.728 26.103.808 303.693,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.474.933.952 6.000 10.745.822,0 10.736.128,0 10.707.008 26.115.936 295.533,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.633.704.320 6.000 10.605.617,0 10.593.344,0 10.561.376 26.107.328 357.125,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.638.919.552 6.000 10.606.486,0 10.592.864,0 10.562.272 26.113.664 318.282,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.449.971.584 6.000 10.741.661,0 10.730.400,0 10.703.680 26.120.896 329.818,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.458.821.312 6.000 10.743.136,0 10.733.440,0 10.709.056 26.117.056 297.935,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.463.305.792 6.000 10.743.884,0 10.730.720,0 10.705.312 31.855.232 410.278,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.470.680.896 6.000 10.745.113,0 10.732.704,0 10.705.952 26.110.016 348.628,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.429.006.048 6.000 10.738.167,0 10.727.296,0 10.704.832 28.076.448 338.030,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.454.091.456 6.000 10.742.348,0 10.731.456,0 10.709.376 28.673.632 353.456,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.475.820.064 6.000 10.745.970,0 10.732.736,0 10.709.248 30.112.928 392.773,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.369.848.384 6.000 10.728.308,0 10.725.856,0 10.560.736 26.220.800 413.430,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.653.218.944 6.000 10.608.869,0 10.593.984,0 10.562.720 26.109.216 355.989,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.445.959.456 6.000 10.740.993,0 10.728.688,0 10.706.432 27.081.728 371.684,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.477.744.256 6.000 10.746.290,0 10.734.272,0 10.711.072 26.111.232 334.130,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.781.842.944 6.000 10.630.307,0 10.596.064,0 10.560.512 26.107.456 342.711,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.461.111.712 6.000 10.743.518,0 10.731.936,0 10.709.664 26.118.496 332.546,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.687.350.752 6.000 10.614.558,0 10.594.496,0 10.561.088 26.261.216 444.735,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.456.732.864 6.000 10.742.788,0 10.730.048,0 10.701.312 26.120.768 330.930,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.602.843.072 6.000 10.767.140,0 10.734.432,0 10.711.296 26.105.824 578.965,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.439.149.760 6.000 10.739.858,0 10.728.576,0 10.706.208 32.442.112 374.827,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.698.092.320 6.000 10.616.348,0 10.595.008,0 10.561.344 26.397.376 477.466,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.465.734.560 6.000 10.744.289,0 10.729.184,0 10.707.200 26.115.648 375.116,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.482.321.504 6.000 10.747.053,0 10.728.768,0 10.700.928 27.068.352 456.127,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.531.678.880 6.000 10.755.279,0 10.733.440,0 10.708.736 27.069.760 481.929,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.473.816.960 6.000 10.745.636,0 10.731.616,0 10.709.280 28.402.080 404.601,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.670.751.552 6.000 10.611.791,0 10.595.424,0 10.560.320 28.075.040 350.062,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.674.900.544 6.000 10.612.483,0 10.600.864,0 10.561.024 28.050.208 338.266,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.555.039.680 6.000 10.759.173,0 10.732.512,0 10.707.392 26.349.760 540.154,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.499.888.544 6.000 10.749.981,0 10.738.528,0 10.714.784 26.107.936 330.148,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.508.111.808 6.000 10.751.352,0 10.734.896,0 10.711.136 26.112.896 406.850,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.476.462.816 6.000 10.746.077,0 10.734.912,0 10.708.768 26.108.992 325.456,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.510.421.056 6.000 10.751.736,0 10.737.248,0 10.713.280 26.109.760 344.242,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.477.004.000 6.000 10.746.167,0 10.734.080,0 10.710.336 26.115.360 355.280,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.818.878.624 6.000 10.636.479,0 10.601.632,0 10.559.712 26.118.560 364.506,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.460.945.728 6.000 10.743.491,0 10.728.000,0 10.706.144 26.123.168 393.586,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.484.012.352 6.000 10.747.335,0 10.737.632,0 10.713.952 26.114.592 305.719,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.709.235.584 6.000 10.618.205,0 10.603.392,0 10.563.488 26.107.104 391.624,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.484.050.496 6.000 10.747.341,0 10.735.760,0 10.711.616 26.122.144 327.000,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.740.058.816 6.000 10.623.343,0 10.604.320,0 10.562.272 26.259.552 455.669,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.509.662.432 6.000 10.751.610,0 10.737.824,0 10.708.512 26.109.152 378.629,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
