8,0 799.870.688 6.000 133.311,0 128.928,0 127.552 2.642.976 61.153,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.926.656 6.000 132.987,0 129.920,0 128.448 1.542.848 25.698,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.270.624 6.000 132.878,0 129.344,0 127.872 2.119.328 32.001,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.805.088 6.000 133.800,0 129.792,0 128.416 905.504 25.425,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.487.136 6.000 133.247,0 129.504,0 128.096 959.008 23.697,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.211.552 6.000 134.701,0 129.728,0 128.480 1.962.656 37.913,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 792.569.152 6.000 132.094,0 129.536,0 128.032 355.776 16.773,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 811.557.568 6.000 135.259,0 129.760,0 128.448 356.256 27.723,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.793.216 6.000 133.132,0 129.920,0 128.320 345.888 15.808,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 814.561.280 6.000 135.760,0 129.824,0 128.224 2.316.640 44.114,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.184.256 6.000 133.197,0 128.800,0 127.616 1.960.960 33.684,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.976.832 6.000 133.496,0 129.760,0 128.480 355.008 21.569,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.313.920 6.000 133.552,0 130.016,0 128.640 1.120.352 23.978,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.891.168 6.000 132.981,0 129.696,0 128.288 1.622.496 27.518,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.123.904 6.000 133.687,0 129.312,0 128.032 348.640 25.764,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 807.637.952 6.000 134.606,0 129.984,0 128.384 2.402.848 45.994,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.687.584 6.000 132.947,0 128.416,0 126.592 348.544 23.513,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.500.832 6.000 134.083,0 129.472,0 128.128 2.095.616 41.548,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.293.248 6.000 132.382,0 129.056,0 127.680 351.520 20.316,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.295.584 6.000 132.715,0 129.760,0 128.448 341.312 17.859,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.972.128 6.000 132.662,0 129.408,0 128.096 1.437.888 27.115,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.214.560 6.000 132.369,0 129.120,0 127.936 1.985.760 35.118,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.778.208 6.000 132.463,0 129.472,0 128.128 352.064 19.923,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.366.720 6.000 133.061,0 129.536,0 128.288 1.109.280 21.652,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.701.280 6.000 134.116,0 129.056,0 127.872 1.980.960 42.275,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.707.264 6.000 133.451,0 129.920,0 128.480 342.112 17.849,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.176.928 6.000 132.862,0 129.376,0 127.968 925.952 23.244,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.629.536 6.000 132.938,0 129.792,0 128.448 354.464 20.206,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.026.688 6.000 132.337,0 129.184,0 127.712 1.105.984 22.991,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.472.448 6.000 132.912,0 129.952,0 128.544 852.224 19.817,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.243.584 6.000 133.040,0 130.176,0 128.832 1.129.600 22.576,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.896.960 6.000 132.816,0 129.216,0 127.968 1.116.256 26.035,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 814.604.704 6.000 135.767,0 129.344,0 127.968 353.056 32.342,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.668.672 6.000 133.611,0 130.128,0 128.768 1.972.864 37.959,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.530.912 6.000 134.755,0 129.472,0 128.128 1.015.360 30.747,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.910.848 6.000 132.651,0 129.760,0 128.384 922.624 19.856,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.196.832 6.000 133.532,0 130.048,0 128.800 351.808 20.707,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.334.528 6.000 132.722,0 129.824,0 128.512 1.765.792 32.000,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.458.880 6.000 133.576,0 129.632,0 128.224 2.030.880 31.561,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.440.960 6.000 133.073,0 129.760,0 128.480 2.021.568 37.118,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 826.002.528 6.000 137.667,0 129.920,0 128.352 2.211.744 50.102,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 791.512.576 6.000 131.918,0 129.408,0 127.840 1.118.688 19.648,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.535.520 6.000 133.755,0 129.536,0 128.160 1.965.056 35.698,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.620.928 6.000 134.103,0 129.632,0 128.352 2.023.360 39.629,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 809.703.520 6.000 134.950,0 129.440,0 128.160 1.611.232 34.852,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.500.832 6.000 133.083,0 130.048,0 128.768 1.108.800 21.556,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.088.064 6.000 133.014,0 129.504,0 128.288 1.791.232 29.487,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.483.296 6.000 132.580,0 129.824,0 128.512 344.032 15.922,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.486.752 6.000 132.581,0 129.568,0 128.224 1.129.024 19.975,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.392.064 6.000 134.065,0 129.920,0 128.576 344.992 20.000,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 815.374.048 6.000 135.895,0 129.792,0 128.416 2.026.688 39.788,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.772.864 6.000 132.962,0 128.672,0 127.296 1.241.376 28.642,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 793.577.888 6.000 132.263,0 129.184,0 127.936 1.657.600 27.200,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 792.959.232 6.000 132.159,0 129.184,0 128.000 340.832 16.332,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 821.878.304 6.000 136.979,0 129.920,0 128.288 1.484.000 37.788,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.814.528 6.000 133.135,0 129.280,0 127.744 2.151.808 33.540,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 807.119.872 6.000 134.520,0 130.304,0 128.416 348.416 24.372,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 820.686.592 6.000 136.781,0 129.824,0 128.480 925.632 34.768,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.569.408 6.000 134.094,0 130.432,0 129.120 2.001.728 33.174,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.406.368 6.000 133.567,0 129.632,0 128.256 2.515.008 40.998,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.602.688 6.000 132.933,0 129.408,0 127.872 2.018.912 37.394,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.474.624 6.000 133.412,0 129.952,0 128.512 354.208 20.544,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 790.949.696 6.000 131.824,0 129.056,0 127.680 341.376 17.862,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 805.161.504 6.000 134.193,0 129.952,0 128.768 353.920 24.738,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.891.008 6.000 133.648,0 129.728,0 128.416 2.140.736 34.394,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.209.344 6.000 132.534,0 129.760,0 128.256 344.864 15.455,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.185.280 6.000 134.030,0 130.304,0 128.960 1.980.128 30.710,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 807.312.448 6.000 134.552,0 129.888,0 128.704 350.624 21.753,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.260.704 6.000 133.376,0 129.440,0 127.744 1.972.416 35.505,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 812.349.184 6.000 135.391,0 130.112,0 128.832 2.133.664 37.860,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.007.232 6.000 132.834,0 129.696,0 128.384 921.440 19.705,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.654.304 6.000 133.109,0 130.272,0 128.896 345.504 16.682,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.300.224 6.000 133.383,0 129.696,0 128.352 1.984.064 31.474,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.349.376 6.000 134.724,0 130.176,0 128.736 1.422.144 30.540,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 793.904.736 6.000 132.317,0 130.240,0 128.800 191.328 8.551,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 793.252.224 6.000 132.208,0 129.152,0 127.680 343.232 17.520,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.909.632 6.000 132.818,0 129.952,0 128.288 343.040 15.563,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.720.640 6.000 133.453,0 129.952,0 128.512 1.667.392 30.209,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 793.294.432 6.000 132.215,0 128.928,0 127.712 1.997.952 30.238,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.391.008 6.000 132.398,0 129.184,0 127.840 1.649.088 27.341,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 805.698.880 6.000 134.283,0 129.952,0 128.608 2.418.432 45.219,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.973.152 6.000 132.828,0 129.664,0 128.384 1.139.744 21.112,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.178.720 6.000 133.196,0 129.760,0 128.288 350.080 20.532,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.856.960 6.000 133.642,0 129.568,0 128.320 909.920 26.371,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 805.300.480 6.000 134.216,0 130.048,0 128.544 352.096 24.387,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.417.056 6.000 132.736,0 130.080,0 128.864 368.960 17.505,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 792.612.416 6.000 132.102,0 129.856,0 128.480 344.000 15.246,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.210.656 6.000 132.868,0 129.568,0 128.288 348.928 17.162,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 812.034.048 6.000 135.339,0 129.728,0 127.712 1.900.736 37.457,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 809.957.568 6.000 134.992,0 129.536,0 128.224 1.972.320 37.421,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.247.840 6.000 134.041,0 129.728,0 128.064 350.496 25.281,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.460.960 6.000 133.576,0 130.208,0 128.832 1.628.288 27.057,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 803.694.688 6.000 133.949,0 129.728,0 128.448 1.219.296 28.039,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.414.688 6.000 133.069,0 129.984,0 128.512 2.924.064 39.939,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 790.800.864 6.000 131.800,0 129.472,0 128.192 342.240 14.444,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.734.976 6.000 134.122,0 129.888,0 128.672 2.022.016 33.200,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.368.256 6.000 132.394,0 128.736,0 127.424 1.659.392 28.268,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.593.920 6.000 132.599,0 129.056,0 127.712 343.328 22.776,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 787.742.176 6.000 131.290,0 129.152,0 127.840 1.447.904 18.798,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.883.008 6.000 133.147,0 129.536,0 128.160 1.647.328 28.133,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.653.760 6.000 132.442,0 128.896,0 127.616 2.052.032 32.811,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.093.728 6.000 133.515,0 130.432,0 128.896 2.017.632 32.175,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.199.712 6.000 133.533,0 129.472,0 128.096 3.586.144 50.016,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.252.416 6.000 133.708,0 128.832,0 127.456 1.100.832 29.770,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 810.971.936 6.000 135.162,0 130.560,0 129.088 352.640 26.682,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 816.780.896 6.000 136.130,0 129.376,0 128.128 372.320 33.254,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.974.208 6.000 133.329,0 129.568,0 128.448 354.848 23.961,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 818.397.600 6.000 136.399,0 128.928,0 127.712 1.768.128 40.768,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 788.183.200 6.000 131.363,0 128.640,0 127.360 342.528 16.471,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.556.928 6.000 132.926,0 129.856,0 128.256 1.987.904 29.048,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.917.792 6.000 133.653,0 129.696,0 128.288 1.118.144 24.964,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.278.880 6.000 133.379,0 129.472,0 127.872 2.001.280 32.396,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.561.824 6.000 133.427,0 129.504,0 128.160 2.141.152 38.467,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.521.696 6.000 133.086,0 129.952,0 128.544 346.496 17.817,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 807.385.888 6.000 134.564,0 129.696,0 128.288 1.999.584 34.342,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.843.200 6.000 132.807,0 129.184,0 127.840 1.637.184 30.256,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 803.250.528 6.000 133.875,0 129.952,0 128.544 1.993.632 40.041,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 790.431.264 6.000 131.738,0 128.832,0 127.584 2.622.080 36.102,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.956.544 6.000 132.992,0 128.992,0 127.648 1.117.952 27.042,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 806.628.128 6.000 134.438,0 129.856,0 128.672 1.349.216 29.573,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.214.624 6.000 132.535,0 129.248,0 127.936 344.992 20.775,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 803.758.144 6.000 133.959,0 129.728,0 128.288 924.768 26.287,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.541.088 6.000 133.256,0 129.760,0 128.480 1.131.296 24.026,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 794.516.672 6.000 132.419,0 128.992,0 127.648 347.072 20.648,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.739.680 6.000 132.956,0 129.984,0 128.736 883.808 19.797,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 810.446.688 6.000 135.074,0 129.536,0 128.416 2.013.824 40.636,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.368.448 6.000 132.894,0 129.536,0 128.128 348.384 20.342,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.404.800 6.000 132.567,0 128.960,0 127.712 2.102.592 32.188,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.001.920 6.000 133.667,0 129.120,0 127.776 2.005.216 43.047,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.720.704 6.000 134.786,0 129.664,0 128.128 2.127.616 37.505,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.112.384 6.000 132.852,0 129.312,0 128.032 1.680.320 31.656,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 813.403.712 6.000 135.567,0 129.696,0 128.160 352.640 30.055,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 823.696.352 6.000 137.282,0 129.920,0 128.320 3.236.480 52.201,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.180.768 6.000 134.030,0 130.048,0 128.672 2.067.648 39.147,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.066.656 6.000 134.677,0 130.144,0 128.864 352.960 25.231,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.360.448 6.000 133.226,0 130.048,0 128.608 2.008.416 28.782,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.726.016 6.000 133.121,0 129.760,0 128.416 1.997.536 31.200,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.190.688 6.000 133.198,0 129.536,0 128.192 2.020.320 37.880,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.844.800 6.000 133.140,0 129.408,0 128.224 1.174.240 26.634,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.832.800 6.000 132.638,0 130.080,0 128.704 1.687.456 24.780,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.517.312 6.000 133.586,0 129.664,0 128.352 1.128.768 28.489,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.387.648 6.000 133.564,0 129.312,0 127.904 2.165.376 35.294,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.432.352 6.000 133.572,0 129.792,0 128.320 1.244.320 27.132,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.358.560 6.000 133.559,0 129.824,0 128.384 1.908.224 30.690,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 817.101.696 6.000 136.183,0 130.048,0 128.672 2.900.192 46.286,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.085.664 6.000 132.680,0 129.568,0 128.256 1.286.816 25.727,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.772.320 6.000 133.295,0 129.760,0 128.512 1.984.256 34.420,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.089.280 6.000 133.014,0 129.888,0 128.800 343.552 17.551,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 820.424.704 6.000 136.737,0 130.112,0 128.800 355.392 32.827,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.010.816 6.000 132.668,0 129.568,0 128.224 351.136 20.351,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 810.876.416 6.000 135.146,0 129.792,0 128.512 2.057.472 37.561,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.313.120 6.000 133.385,0 129.856,0 128.512 1.662.272 30.203,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 795.073.440 6.000 132.512,0 128.928,0 127.680 357.728 20.612,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.643.008 6.000 133.440,0 130.144,0 128.800 358.272 20.528,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.187.136 6.000 133.531,0 129.344,0 127.936 348.512 24.548,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 808.001.472 6.000 134.666,0 130.048,0 128.640 2.007.840 36.880,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.785.344 6.000 133.797,0 128.768,0 127.328 922.624 28.730,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 809.149.120 6.000 134.858,0 130.400,0 129.152 2.054.272 34.641,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 814.888.768 6.000 135.814,0 130.048,0 128.704 921.984 31.591,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 803.199.200 6.000 133.866,0 129.824,0 128.416 1.231.392 26.444,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 809.560.096 6.000 134.926,0 129.664,0 128.256 353.952 28.866,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.692.896 6.000 132.948,0 129.920,0 128.512 345.216 16.445,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 820.034.976 6.000 136.672,0 129.536,0 128.160 1.119.808 36.207,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.769.600 6.000 133.628,0 130.016,0 128.864 2.000.800 28.995,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.221.312 6.000 132.703,0 129.280,0 128.032 2.009.760 34.888,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
