46,0 33.793.339.104 6.000 5.632.223,0 5.543.424,0 5.528.640 13.438.304 619.957,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.321.258.368 6.000 5.553.543,0 5.546.016,0 5.532.064 13.434.336 181.380,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.400.320 6.000 5.556.566,0 5.547.456,0 5.531.040 13.445.408 191.412,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.359.521.536 6.000 5.559.920,0 5.545.824,0 5.531.232 13.435.616 262.181,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.319.739.456 6.000 5.553.289,0 5.544.672,0 5.532.608 13.437.312 191.934,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.329.777.344 6.000 5.554.962,0 5.545.408,0 5.532.352 14.064.544 226.899,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.376.465.216 6.000 5.562.744,0 5.547.360,0 5.533.952 13.434.656 237.435,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.360.225.888 6.000 5.560.037,0 5.544.224,0 5.527.232 13.437.568 255.169,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.324.374.848 6.000 5.554.062,0 5.544.960,0 5.532.672 13.433.600 212.140,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.343.162.528 6.000 5.557.193,0 5.547.392,0 5.528.256 13.436.224 212.594,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.445.034.048 6.000 5.574.172,0 5.548.032,0 5.533.664 13.434.368 366.877,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.353.926.752 6.000 5.558.987,0 5.547.744,0 5.533.824 13.435.424 227.460,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.340.939.520 6.000 5.556.823,0 5.546.976,0 5.531.104 13.432.032 199.492,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.322.715.616 6.000 5.553.785,0 5.545.120,0 5.531.072 13.437.760 197.602,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.337.075.872 6.000 5.556.179,0 5.544.928,0 5.531.840 13.437.280 198.878,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.342.306.016 6.000 5.557.051,0 5.545.568,0 5.529.280 13.434.048 220.306,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.351.348.672 6.000 5.558.558,0 5.543.280,0 5.529.184 13.436.352 234.132,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.885.197.696 6.000 5.480.866,0 5.473.920,0 5.458.592 13.437.312 172.737,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.332.382.976 6.000 5.555.397,0 5.544.416,0 5.531.072 13.439.168 233.071,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.365.276.480 6.000 5.560.879,0 5.543.552,0 5.526.752 13.436.096 280.474,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.312.916.768 6.000 5.552.152,0 5.543.168,0 5.531.360 13.434.848 192.573,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.336.171.200 6.000 5.556.028,0 5.543.264,0 5.532.704 13.442.240 193.559,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.892.416 6.000 5.551.815,0 5.543.104,0 5.532.704 13.442.176 194.885,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.958.360.768 6.000 5.493.060,0 5.473.120,0 5.458.432 13.437.600 186.535,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.031.917.088 6.000 5.505.319,0 5.475.200,0 5.458.144 13.430.976 263.014,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.308.142.080 6.000 5.551.357,0 5.544.096,0 5.532.544 14.033.696 199.966,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.328.967.456 6.000 5.554.827,0 5.545.184,0 5.530.720 13.433.920 203.421,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.314.666.496 6.000 5.552.444,0 5.545.824,0 5.519.712 13.438.080 172.398,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.333.043.648 6.000 5.555.507,0 5.545.312,0 5.533.504 13.435.072 217.135,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.333.867.456 6.000 5.555.644,0 5.544.512,0 5.531.648 13.433.280 227.114,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.337.631.808 6.000 5.556.272,0 5.546.208,0 5.532.160 13.438.176 217.358,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.340.967.552 6.000 5.556.827,0 5.543.744,0 5.531.808 13.426.624 209.356,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.891.799.200 6.000 5.481.966,0 5.472.512,0 5.458.112 13.438.592 191.578,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.392.511.840 6.000 5.565.418,0 5.545.440,0 5.531.840 13.432.832 317.684,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.353.369.472 6.000 5.558.894,0 5.548.512,0 5.535.296 13.433.536 222.178,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.404.395.520 6.000 5.567.399,0 5.545.504,0 5.526.432 13.435.424 328.239,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.329.330.400 6.000 5.554.888,0 5.547.136,0 5.531.840 13.443.904 181.895,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.318.490.528 6.000 5.553.081,0 5.545.664,0 5.530.848 13.435.104 180.829,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.318.147.872 6.000 5.553.024,0 5.545.984,0 5.530.656 13.434.592 177.811,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.327.060.544 6.000 5.554.510,0 5.545.824,0 5.533.280 13.434.720 189.548,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.035.008 6.000 5.556.505,0 5.548.896,0 5.535.520 13.436.032 184.395,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.335.467.840 6.000 5.555.911,0 5.547.392,0 5.532.960 13.439.424 192.531,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.321.483.136 6.000 5.553.580,0 5.544.352,0 5.532.064 13.440.864 206.162,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.379.139.808 6.000 5.563.190,0 5.545.632,0 5.532.736 13.438.464 294.627,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.350.499.136 6.000 5.558.416,0 5.545.984,0 5.531.680 13.436.928 243.260,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.311.315.488 6.000 5.551.885,0 5.544.192,0 5.530.944 13.431.232 183.854,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.305.935.424 6.000 5.550.989,0 5.542.656,0 5.529.280 13.432.416 184.019,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.333.697.824 6.000 5.555.616,0 5.543.104,0 5.528.576 13.430.304 197.540,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.309.533.312 6.000 5.551.588,0 5.544.352,0 5.532.352 13.438.272 175.828,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.697.218.912 6.000 5.616.203,0 5.545.568,0 5.530.336 13.434.880 606.378,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.313.058.368 6.000 5.552.176,0 5.542.976,0 5.530.112 13.436.288 204.225,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.341.488.640 6.000 5.556.914,0 5.544.928,0 5.530.400 13.432.064 223.605,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.331.197.504 6.000 5.555.199,0 5.544.480,0 5.531.456 13.430.976 222.924,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.315.005.568 6.000 5.552.500,0 5.544.032,0 5.532.576 13.437.280 190.492,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.314.889.344 6.000 5.552.481,0 5.544.288,0 5.532.576 16.571.808 212.571,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.312.153.184 6.000 5.552.025,0 5.545.152,0 5.530.816 13.441.600 178.997,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.324.378.912 6.000 5.554.063,0 5.544.832,0 5.531.808 13.435.136 213.206,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.372.572.928 6.000 5.562.095,0 5.544.384,0 5.531.168 13.434.848 273.525,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.321.560.448 6.000 5.553.593,0 5.544.784,0 5.530.976 13.440.384 204.328,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.413.408 6.000 5.551.735,0 5.544.288,0 5.530.368 13.438.208 174.315,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.320.105.760 6.000 5.553.351,0 5.543.520,0 5.529.888 13.435.680 187.082,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.314.655.008 6.000 5.552.442,0 5.545.184,0 5.531.840 13.437.088 177.018,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.306.722.784 6.000 5.551.120,0 5.543.712,0 5.531.296 13.436.928 181.090,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.325.288.544 6.000 5.554.214,0 5.543.968,0 5.526.208 13.432.864 220.901,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.354.699.712 6.000 5.559.116,0 5.547.872,0 5.534.752 13.433.376 221.524,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.332.001.088 6.000 5.555.333,0 5.545.024,0 5.530.400 13.440.480 217.217,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.224.768 6.000 5.556.537,0 5.547.488,0 5.531.488 13.430.720 200.902,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.017.504 6.000 5.551.669,0 5.545.184,0 5.527.776 13.433.632 178.501,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.323.298.496 6.000 5.553.883,0 5.544.368,0 5.530.912 13.434.752 212.436,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.326.515.328 6.000 5.554.419,0 5.545.984,0 5.533.184 13.440.896 191.543,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.668.800 6.000 5.556.611,0 5.547.680,0 5.526.144 13.430.592 197.931,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.335.368.000 6.000 5.555.894,0 5.547.920,0 5.535.744 13.437.312 189.635,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.309.365.792 6.000 5.551.561,0 5.543.488,0 5.529.696 13.433.504 180.647,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.327.150.464 6.000 5.554.525,0 5.545.120,0 5.530.624 13.430.560 204.576,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.326.363.040 6.000 5.554.393,0 5.546.176,0 5.530.400 13.431.488 198.173,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.134.944 6.000 5.556.522,0 5.546.592,0 5.531.456 13.436.864 216.929,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.316.631.392 6.000 5.552.771,0 5.545.376,0 5.533.280 13.437.664 181.370,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.348.862.912 6.000 5.558.143,0 5.547.168,0 5.533.344 13.440.096 220.545,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.321.337.088 6.000 5.553.556,0 5.546.144,0 5.531.808 13.437.984 175.080,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.311.246.080 6.000 5.551.874,0 5.544.224,0 5.531.136 13.431.168 182.998,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.298.935.904 6.000 5.549.822,0 5.543.232,0 5.530.624 13.439.168 171.126,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.297.203.168 6.000 5.549.533,0 5.542.272,0 5.530.528 13.441.152 176.771,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.299.587.168 6.000 5.549.931,0 5.542.784,0 5.529.408 13.432.128 180.336,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.051.246.560 6.000 5.508.541,0 5.475.872,0 5.458.432 13.428.448 298.184,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.280.104.896 6.000 5.546.684,0 5.540.768,0 5.526.528 13.435.296 165.416,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.295.844.416 6.000 5.549.307,0 5.540.416,0 5.528.160 13.436.032 207.382,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.279.872.960 6.000 5.546.645,0 5.539.648,0 5.522.656 13.437.600 176.266,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.504.576 6.000 5.551.750,0 5.543.424,0 5.531.200 13.432.416 200.078,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.346.893.600 6.000 5.557.815,0 5.543.488,0 5.529.728 13.434.368 239.230,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.318.386.112 6.000 5.553.064,0 5.544.320,0 5.530.816 13.431.392 186.748,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.302.506.528 6.000 5.550.417,0 5.543.424,0 5.530.656 13.440.640 174.586,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.306.956.672 6.000 5.551.159,0 5.541.984,0 5.529.984 13.433.408 188.745,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.304.861.344 6.000 5.550.810,0 5.543.808,0 5.531.072 13.435.808 174.265,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.326.966.656 6.000 5.554.494,0 5.547.168,0 5.534.176 13.433.440 180.972,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.302.838.720 6.000 5.550.473,0 5.544.160,0 5.525.344 13.436.064 168.246,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.301.984.576 6.000 5.550.330,0 5.541.920,0 5.530.208 13.432.352 203.334,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.306.254.048 6.000 5.551.042,0 5.543.456,0 5.528.512 13.431.360 189.776,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.297.939.392 6.000 5.549.656,0 5.542.752,0 5.527.040 13.436.384 172.662,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.340.032.352 6.000 5.556.672,0 5.543.584,0 5.530.432 13.431.296 247.169,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.313.931.904 6.000 5.552.322,0 5.543.488,0 5.530.304 13.448.608 200.806,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.326.005.088 6.000 5.554.334,0 5.546.272,0 5.528.832 13.432.096 188.974,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.303.716.256 6.000 5.550.619,0 5.543.104,0 5.531.456 13.438.496 178.556,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.296.144.992 6.000 5.549.357,0 5.539.296,0 5.528.800 13.432.768 216.226,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.303.225.824 6.000 5.550.537,0 5.542.592,0 5.528.320 13.437.696 184.269,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.327.433.952 6.000 5.554.572,0 5.541.312,0 5.529.248 13.434.688 224.963,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.285.417.568 6.000 5.547.569,0 5.541.472,0 5.527.936 13.433.536 167.554,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.606.286.336 6.000 5.601.047,0 5.541.888,0 5.528.096 13.434.912 559.882,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
