5,0 31.175.488 200 155.877,0 129.248,0 53.504 243.904 82.046,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.502.368 200 82.511,0 82.464,0 41.152 124.768 41.029,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.479.488 200 82.397,0 82.192,0 41.120 124.416 40.965,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.526.592 200 82.633,0 82.448,0 41.504 124.320 40.847,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.487.904 200 82.439,0 82.192,0 41.152 124.352 40.971,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.393.856 200 146.969,0 130.256,0 54.272 244.064 79.306,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.611.072 200 148.055,0 130.480,0 54.368 244.032 79.306,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 32.007.296 200 160.036,0 160.832,0 77.024 243.744 82.465,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 31.897.600 200 159.488,0 159.504,0 76.064 243.904 82.863,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.630.112 200 133.150,0 129.840,0 54.048 244.032 73.172,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.216.544 200 141.082,0 129.184,0 53.536 243.776 77.564,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.171.904 200 140.859,0 129.696,0 54.400 243.904 76.824,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 29.761.472 200 148.807,0 130.704,0 54.208 244.224 79.303,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.837.344 200 129.186,0 129.760,0 54.144 243.968 71.066,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.708.064 200 153.540,0 137.168,0 54.208 243.872 81.024,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.902.688 200 144.513,0 129.376,0 54.016 244.288 78.734,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.411.808 200 152.059,0 130.128,0 54.208 243.520 80.146,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.710.944 200 148.554,0 129.264,0 53.408 243.680 80.261,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.076.384 200 135.381,0 130.096,0 54.272 244.128 74.276,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.968.288 200 149.841,0 129.184,0 53.984 244.384 80.428,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 31.639.776 200 158.198,0 129.696,0 54.080 244.480 82.564,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.348.320 200 131.741,0 129.856,0 54.336 243.424 72.394,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.269.056 200 136.345,0 130.000,0 54.304 244.096 74.556,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.054.016 200 140.270,0 129.840,0 54.944 243.968 76.371,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 29.324.768 200 146.623,0 129.824,0 54.080 244.736 79.209,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.381.280 200 131.906,0 130.192,0 54.496 244.160 72.441,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.746.752 200 133.733,0 128.992,0 53.088 243.680 74.443,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.765.760 200 143.828,0 129.472,0 53.920 244.000 78.491,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 32.054.720 200 160.273,0 160.912,0 77.184 243.776 82.351,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.334.016 200 151.670,0 130.272,0 54.432 244.320 80.342,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.258.112 200 131.290,0 129.776,0 54.112 243.776 72.252,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.459.200 200 142.296,0 129.744,0 54.240 243.584 77.543,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 32.080.128 200 160.400,0 160.960,0 77.344 243.776 82.214,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.717.248 200 138.586,0 129.632,0 54.080 244.000 76.017,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 32.090.912 200 160.454,0 161.024,0 76.768 244.128 82.374,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.880.480 200 144.402,0 130.384,0 54.528 244.192 78.072,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.895.776 200 134.478,0 118.592,0 49.280 243.712 74.079,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.960.672 200 134.803,0 129.936,0 54.304 244.096 74.135,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.015.680 200 135.078,0 129.264,0 53.312 244.224 75.133,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.565.728 200 152.828,0 130.336,0 54.368 243.904 80.705,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.985.472 200 134.927,0 118.560,0 48.384 244.352 74.926,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.177.280 200 140.886,0 129.872,0 54.208 244.160 76.906,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.441.504 200 137.207,0 129.536,0 53.728 244.000 75.542,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.398.912 200 141.994,0 129.888,0 53.888 244.064 77.471,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.697.728 200 133.488,0 129.696,0 54.144 243.680 73.441,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 31.024.416 200 155.122,0 129.632,0 53.984 244.448 81.582,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.235.872 200 126.179,0 129.968,0 54.400 244.160 69.028,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.947.008 200 144.735,0 130.128,0 54.272 244.224 78.199,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 31.990.016 200 159.950,0 132.000,0 65.504 244.288 82.192,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.821.664 200 154.108,0 129.152,0 53.632 244.192 81.500,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 31.707.808 200 158.539,0 131.360,0 63.040 243.872 82.690,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.612.384 200 138.061,0 117.984,0 47.872 243.744 76.475,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.396.448 200 141.982,0 129.696,0 54.400 243.968 77.415,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.198.624 200 135.993,0 129.440,0 53.664 243.616 75.314,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.499.296 200 82.496,0 82.960,0 41.152 124.736 41.036,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 17.829.568 200 89.147,0 89.408,0 50.016 129.248 38.539,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.085.568 200 130.427,0 118.608,0 48.064 243.424 72.262,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.739.296 200 148.696,0 129.664,0 54.144 244.064 79.866,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.022.592 200 140.113,0 129.488,0 53.664 243.968 76.934,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.031.136 200 135.155,0 129.744,0 54.208 244.160 74.477,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.385.824 200 136.929,0 129.072,0 53.152 244.480 76.256,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.998.592 200 139.993,0 129.680,0 53.984 244.160 76.809,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.325.216 200 136.626,0 119.936,0 48.896 244.128 74.971,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.518.080 200 82.590,0 82.736,0 41.344 124.800 40.923,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.497.056 200 82.485,0 82.688,0 41.216 124.544 40.918,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.298.656 200 81.493,0 81.744,0 40.960 122.560 40.257,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 19.406.272 200 97.031,0 96.976,0 46.304 149.120 50.218,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 28.094.720 200 140.473,0 130.176,0 54.336 244.224 76.143,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.300.704 200 141.503,0 129.008,0 53.440 243.840 78.043,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.482.752 200 147.413,0 129.584,0 53.536 244.000 79.968,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.048.032 200 140.240,0 129.744,0 54.048 244.032 76.842,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 25.970.656 200 129.853,0 118.112,0 48.480 244.320 71.421,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.721.120 200 133.605,0 118.688,0 48.640 243.872 73.517,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 21.315.840 200 106.579,0 103.360,0 41.088 243.616 64.688,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 23.394.272 200 116.971,0 117.440,0 53.536 181.056 63.009,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 21.179.200 200 105.896,0 96.880,0 54.080 183.776 49.703,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.489.504 200 82.447,0 82.704,0 41.024 124.928 41.055,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.371.104 200 121.855,0 129.920,0 54.368 243.584 66.021,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 19.217.568 200 96.087,0 90.032,0 42.304 161.472 50.310,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.461.760 200 82.308,0 81.968,0 40.864 124.448 41.143,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.457.184 200 82.285,0 81.968,0 40.864 124.544 41.157,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.472.864 200 82.364,0 82.496,0 41.120 124.416 40.969,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.484.448 200 82.422,0 82.224,0 41.184 124.384 40.898,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.500.256 200 82.501,0 82.288,0 41.344 124.224 40.860,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 22.323.200 200 111.616,0 100.256,0 40.160 243.680 68.895,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.593.440 200 117.967,0 100.544,0 41.216 243.424 71.455,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.418.336 200 112.091,0 103.024,0 46.816 180.960 60.320,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.686.752 200 123.433,0 113.024,0 45.984 244.288 69.214,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.361.344 200 136.806,0 129.728,0 53.664 243.904 75.339,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.776.320 200 128.881,0 113.232,0 46.368 243.904 72.696,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.557.920 200 127.789,0 119.264,0 48.768 243.680 70.216,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.639.232 200 133.196,0 130.080,0 54.336 244.384 73.147,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.943.520 200 139.717,0 129.728,0 54.176 244.000 76.611,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.898.784 200 134.493,0 105.488,0 42.496 243.872 75.062,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.729.376 200 83.646,0 85.904,0 41.216 158.816 41.782,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.495.264 200 82.476,0 82.704,0 41.216 125.248 40.864,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.519.392 200 82.597,0 82.736,0 41.088 124.800 41.040,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.491.488 200 82.457,0 82.576,0 40.896 125.024 41.130,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.467.936 200 82.339,0 82.272,0 40.992 125.024 41.063,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.722.496 200 153.612,0 129.824,0 54.272 244.864 81.048,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.455.168 200 82.275,0 82.224,0 40.672 124.672 41.255,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 23.450.176 200 117.250,0 117.680,0 54.208 180.832 62.630,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.437.216 200 132.186,0 129.328,0 53.312 244.064 73.432,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 32.085.856 200 160.429,0 160.864,0 76.512 244.640 82.366,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 31.925.152 200 159.625,0 155.696,0 65.792 244.320 82.795,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.511.840 200 152.559,0 129.872,0 53.920 244.352 80.876,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.682.432 200 143.412,0 129.712,0 54.048 244.000 78.307,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.473.824 200 82.369,0 82.464,0 40.928 124.384 40.994,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.500.736 200 82.503,0 82.672,0 41.088 125.024 41.075,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.490.080 200 82.450,0 82.752,0 40.640 125.600 41.258,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.476.224 200 82.381,0 82.672,0 41.024 124.512 41.069,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.509.184 200 82.545,0 82.720,0 41.024 124.768 41.149,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.551.424 200 82.757,0 82.800,0 41.440 125.024 40.952,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.457.376 200 82.286,0 82.464,0 40.608 124.608 41.296,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.020.768 200 130.103,0 119.872,0 49.120 244.000 71.187,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.807.424 200 129.037,0 117.696,0 48.320 244.128 71.688,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.163.904 200 120.819,0 113.504,0 46.432 243.904 67.931,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.333.568 200 131.667,0 114.048,0 46.976 244.320 72.527,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.542.176 200 82.710,0 82.816,0 41.216 127.936 40.986,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.473.856 200 82.369,0 82.816,0 40.800 124.576 41.202,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 16.576.224 200 82.881,0 83.008,0 41.120 125.152 40.934,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.469.952 200 82.349,0 82.688,0 40.608 124.672 41.292,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.476.576 200 82.382,0 82.416,0 40.864 124.608 41.100,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.531.488 200 82.657,0 82.928,0 41.088 125.120 41.204,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.942.368 200 139.711,0 129.696,0 54.048 244.192 76.716,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.480.416 200 82.402,0 82.704,0 41.088 124.544 41.013,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.472.928 200 82.364,0 82.032,0 40.704 125.280 41.204,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.262.016 200 81.310,0 81.520,0 40.320 122.752 40.669,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.505.152 200 82.525,0 82.512,0 41.184 125.184 41.005,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 18.018.400 200 90.092,0 90.416,0 51.008 129.984 38.241,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.274.272 200 81.371,0 81.520,0 40.704 123.104 40.428,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.506.624 200 82.533,0 82.528,0 41.312 124.672 40.938,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 28.302.240 200 141.511,0 129.904,0 54.112 244.064 77.324,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 26.111.296 200 130.556,0 118.448,0 48.160 244.064 72.208,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.511.776 200 82.558,0 82.864,0 41.056 124.800 41.067,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.488.736 200 82.443,0 82.528,0 40.960 124.992 41.129,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.252.512 200 81.262,0 81.456,0 40.352 122.656 40.557,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.436.192 200 82.181,0 82.096,0 40.608 124.864 41.295,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 25.265.792 200 126.329,0 113.440,0 46.528 244.096 71.110,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.724.000 200 133.620,0 129.376,0 54.080 243.520 73.972,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 25.596.672 200 127.983,0 102.608,0 42.496 244.032 76.593,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
2,0 20.164.832 200 100.824,0 101.008,0 40.896 244.160 62.076,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.290.080 200 81.450,0 81.232,0 40.864 122.976 40.285,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.464.992 200 82.325,0 81.936,0 40.896 124.800 41.158,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 19.293.696 200 96.468,0 89.408,0 42.336 160.896 50.287,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 17.467.168 200 87.335,0 84.768,0 41.152 147.744 44.674,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.480.096 200 82.400,0 82.176,0 40.992 124.576 41.094,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.488.096 200 82.440,0 82.448,0 41.088 124.736 41.028,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 19.336.384 200 96.681,0 96.720,0 45.760 148.608 50.531,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.024.064 200 150.120,0 129.648,0 54.336 244.032 79.914,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 17.712.768 200 88.563,0 89.968,0 49.952 128.096 37.875,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.461.696 200 82.308,0 82.608,0 40.800 124.544 41.168,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.289.888 200 81.449,0 81.648,0 40.544 122.624 40.489,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 19.724.928 200 98.624,0 97.312,0 46.272 153.920 51.270,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.436.320 200 82.181,0 82.288,0 40.512 125.120 41.359,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.468.928 200 117.344,0 104.400,0 41.856 243.808 69.298,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.482.432 200 82.412,0 82.400,0 40.832 124.640 41.099,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 16.559.008 200 82.795,0 82.944,0 41.408 125.216 40.905,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.443.360 200 137.216,0 119.392,0 49.216 244.128 75.039,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.329.376 200 131.646,0 129.424,0 53.632 244.128 72.701,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.938.848 200 124.694,0 130.224,0 54.368 244.544 67.867,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.530.336 200 127.651,0 113.600,0 46.336 244.128 71.591,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.355.648 200 131.778,0 115.424,0 47.552 243.968 73.207,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.965.536 200 134.827,0 129.776,0 54.240 244.032 74.113,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 26.608.320 200 133.041,0 129.440,0 53.600 243.904 73.446,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.241.120 200 126.205,0 115.952,0 47.488 244.288 70.271,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.851.072 200 139.255,0 129.520,0 54.144 244.000 76.352,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.053.888 200 140.269,0 129.744,0 53.408 243.840 77.270,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.467.488 200 117.337,0 117.664,0 54.144 181.056 62.718,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 21.678.720 200 108.393,0 101.952,0 40.768 244.064 67.132,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
2,0 18.555.072 200 92.775,0 101.104,0 40.704 243.648 54.007,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.470.880 200 82.354,0 82.656,0 40.736 124.800 41.151,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.282.272 200 81.411,0 81.648,0 40.640 122.976 40.536,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.485.696 200 82.428,0 82.800,0 40.800 125.216 41.068,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 20.774.496 200 103.872,0 100.288,0 46.176 181.120 55.325,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 19.856.800 200 99.284,0 97.584,0 45.792 154.272 52.363,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.400.992 200 137.005,0 129.568,0 54.016 244.256 75.664,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.674.400 200 133.372,0 129.152,0 53.280 243.488 73.967,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.633.056 200 143.165,0 130.240,0 54.496 243.840 77.461,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 27.913.312 200 139.566,0 129.712,0 54.112 243.552 76.196,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.891.168 200 129.455,0 105.264,0 42.368 244.224 72.271,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 21.442.176 200 107.210,0 101.888,0 42.688 239.936 59.995,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.811.936 200 129.059,0 129.968,0 54.304 244.640 70.715,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.322.240 200 96.611,0 97.088,0 60.224 133.792 35.459,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 26.238.720 200 131.193,0 101.600,0 41.120 244.224 75.882,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 16.775.360 200 83.876,0 86.368,0 40.928 159.840 41.891,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.529.280 200 82.646,0 82.656,0 41.312 124.672 40.945,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 19.348.384 200 96.741,0 96.384,0 45.888 149.088 50.409,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.492.256 200 82.461,0 82.608,0 40.800 124.768 41.122,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.473.696 200 82.368,0 82.496,0 40.928 124.512 41.092,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
