14,0 65.663.936 100 656.639,0 577.920,0 469.472 892.928 174.215,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.574.720 100 665.747,0 668.096,0 471.776 892.704 136.968,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.128.160 100 891.281,0 891.200,0 889.568 893.184 820,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 70.731.744 100 707.317,0 583.040,0 473.760 892.320 163.822,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.136.544 100 661.365,0 582.192,0 469.920 893.120 166.920,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 64.586.240 100 645.862,0 574.816,0 451.744 893.696 208.879,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 77.891.232 100 778.912,0 745.840,0 666.592 893.024 111.342,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.960.416 100 729.604,0 589.616,0 572.256 893.312 155.466,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 88.517.728 100 885.177,0 891.280,0 584.288 893.248 43.019,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 54.744.512 100 547.445,0 480.752,0 472.768 669.024 91.291,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.403.616 100 684.036,0 585.072,0 470.176 893.056 170.597,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 61.037.824 100 610.378,0 576.432,0 469.824 892.192 157.441,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.898.240 100 668.982,0 581.552,0 534.784 892.448 154.094,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.185.984 100 651.859,0 580.096,0 470.976 893.440 170.399,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 63.054.752 100 630.547,0 667.568,0 469.984 892.480 159.690,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.284.032 100 642.840,0 579.296,0 472.864 892.416 168.909,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.267.296 100 662.673,0 579.552,0 471.968 893.152 157.536,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 63.305.344 100 633.053,0 667.232,0 470.016 892.928 161.520,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.515.008 100 715.150,0 668.416,0 469.984 893.152 164.202,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 76.477.952 100 764.779,0 669.248,0 580.384 892.832 119.069,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 61.759.680 100 617.596,0 579.616,0 472.832 892.832 156.706,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.132.640 100 891.326,0 891.296,0 889.312 893.312 773,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.832.928 100 698.329,0 668.336,0 473.728 892.864 152.158,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 63.804.000 100 638.040,0 667.744,0 473.696 892.640 151.242,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.135.392 100 891.353,0 891.424,0 889.568 893.184 747,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 63.244.512 100 632.445,0 576.688,0 469.472 892.960 167.755,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.258.336 100 652.583,0 580.656,0 471.040 893.696 173.669,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 61.166.176 100 611.661,0 577.632,0 470.144 896.064 157.475,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 76.730.592 100 767.305,0 890.416,0 572.064 893.472 151.680,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 77.113.888 100 771.138,0 890.448,0 571.648 893.152 151.248,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.333.120 100 723.331,0 586.480,0 570.208 893.856 155.952,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.778.304 100 717.783,0 585.984,0 476.288 892.928 169.226,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 76.722.752 100 767.227,0 890.336,0 534.496 893.184 153.802,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.696.192 100 726.961,0 588.480,0 572.032 892.672 155.233,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 78.210.400 100 782.104,0 890.832,0 572.416 893.152 148.832,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.951.936 100 729.519,0 589.936,0 572.416 893.088 155.963,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 82.023.904 100 820.239,0 891.264,0 572.512 893.984 131.162,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.113.440 100 891.134,0 891.040,0 889.472 893.184 718,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.105.376 100 891.053,0 891.072,0 888.352 894.016 972,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 70.393.920 100 703.939,0 583.488,0 474.048 893.856 173.873,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.120.544 100 891.205,0 891.232,0 889.184 893.536 913,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.543.168 100 665.431,0 582.960,0 473.024 893.536 172.235,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 62.981.920 100 629.819,0 579.840,0 472.768 893.184 164.554,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 82.335.328 100 823.353,0 891.216,0 575.168 892.896 128.711,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.115.712 100 891.157,0 890.976,0 889.504 893.088 755,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 82.012.032 100 820.120,0 890.752,0 574.848 894.848 130.460,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 78.694.464 100 786.944,0 890.400,0 575.104 893.376 146.335,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 75.127.616 100 751.276,0 890.240,0 571.264 895.424 155.759,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 78.639.232 100 786.392,0 890.608,0 571.456 893.664 146.538,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 79.685.888 100 796.858,0 890.752,0 575.424 893.760 141.975,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.117.856 100 891.178,0 891.216,0 889.536 892.800 768,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.785.088 100 667.850,0 581.120,0 471.488 893.152 172.885,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 63.981.344 100 639.813,0 578.368,0 536.416 892.960 143.198,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.656.224 100 686.562,0 584.784,0 534.304 892.608 147.820,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.759.072 100 677.590,0 580.464,0 549.856 893.056 150.989,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 64.874.144 100 648.741,0 562.464,0 549.184 893.664 146.346,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 63.454.880 100 634.548,0 579.696,0 470.944 893.216 150.032,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 83.027.072 100 830.270,0 891.120,0 573.536 893.280 122.994,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.662.400 100 696.624,0 581.504,0 548.640 892.704 155.462,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 64.540.256 100 645.402,0 579.216,0 471.392 893.120 170.996,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 65.703.840 100 657.038,0 579.888,0 473.216 892.704 145.089,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 81.716.512 100 817.165,0 890.928,0 574.240 893.376 132.540,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.125.408 100 891.254,0 891.200,0 889.632 893.216 822,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 73.832.736 100 738.327,0 668.832,0 474.336 893.312 124.171,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 74.887.104 100 748.871,0 889.984,0 571.296 893.728 155.071,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.135.968 100 891.359,0 891.296,0 889.312 893.376 874,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.007.168 100 660.071,0 581.808,0 476.128 892.640 141.351,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 76.553.312 100 765.533,0 890.256,0 572.384 893.312 152.173,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.142.080 100 891.420,0 891.456,0 889.280 893.984 857,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 77.520.928 100 775.209,0 890.016,0 576.416 893.408 137.138,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 79.256.960 100 792.569,0 890.864,0 575.296 893.408 144.616,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 62.811.936 100 628.119,0 580.832,0 471.968 893.152 159.064,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 86.988.256 100 869.882,0 891.216,0 576.480 893.056 78.301,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 85.945.312 100 859.453,0 891.328,0 578.848 893.632 92.705,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.851.264 100 668.512,0 581.264,0 549.600 892.704 140.077,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 77.564.032 100 775.640,0 669.712,0 667.264 894.304 112.066,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.051.648 100 650.516,0 581.136,0 479.424 892.896 146.941,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.129.664 100 891.296,0 891.280,0 889.440 893.376 781,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.834.272 100 698.342,0 581.728,0 465.760 893.600 159.894,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 79.553.248 100 795.532,0 890.688,0 570.912 893.600 143.615,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.518.688 100 715.186,0 589.824,0 474.016 892.480 169.559,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 83.772.000 100 837.720,0 891.088,0 572.032 893.248 116.572,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 60.170.432 100 601.704,0 577.120,0 470.496 892.672 151.315,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.711.168 100 717.111,0 585.856,0 575.040 892.672 155.192,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.195.072 100 661.950,0 580.768,0 472.992 892.544 159.280,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.129.088 100 891.290,0 891.232,0 889.824 893.248 774,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 70.100.736 100 701.007,0 589.552,0 476.480 893.024 177.400,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 79.473.824 100 794.738,0 890.528,0 472.608 893.568 124.647,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.827.200 100 698.272,0 585.024,0 540.416 892.544 151.712,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 76.106.048 100 761.060,0 890.400,0 571.072 893.088 153.742,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.643.712 100 686.437,0 587.584,0 474.720 892.672 172.017,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 61.756.480 100 617.564,0 579.712,0 471.616 892.384 161.048,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.333.952 100 713.339,0 582.512,0 574.240 892.992 155.217,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 78.032.416 100 780.324,0 890.560,0 572.128 893.504 148.581,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.240.960 100 682.409,0 581.280,0 475.232 894.624 175.460,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 74.196.800 100 741.968,0 889.488,0 572.288 893.920 156.417,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 63.987.072 100 639.870,0 578.992,0 471.616 893.024 164.741,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 79.274.624 100 792.746,0 891.040,0 573.984 893.600 144.743,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.471.584 100 694.715,0 583.920,0 471.072 892.960 171.809,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.461.760 100 654.617,0 580.672,0 470.752 893.408 164.438,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.100.992 100 671.009,0 581.344,0 534.880 893.024 152.610,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.153.120 100 891.531,0 891.616,0 889.600 893.248 802,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 69.811.520 100 698.115,0 582.112,0 470.848 892.896 171.925,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.774.816 100 687.748,0 583.072,0 535.840 892.576 150.232,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.748.320 100 647.483,0 580.976,0 471.872 892.736 169.537,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 62.839.328 100 628.393,0 580.320,0 472.032 893.088 164.115,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.065.696 100 670.657,0 583.552,0 471.456 892.992 170.341,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.879.040 100 658.790,0 582.320,0 472.768 894.368 171.123,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 79.822.560 100 798.225,0 890.736,0 573.888 893.024 142.850,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 77.359.936 100 773.599,0 890.368,0 573.152 892.704 150.701,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.784.960 100 727.849,0 592.544,0 574.656 892.960 154.924,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.669.440 100 666.694,0 580.544,0 472.480 893.472 173.985,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.630.752 100 646.307,0 582.576,0 464.320 893.088 160.124,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 85.739.424 100 857.394,0 891.120,0 576.896 893.152 96.808,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 74.197.024 100 741.970,0 889.904,0 533.600 893.280 160.042,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 86.379.328 100 863.793,0 891.408,0 577.280 894.592 89.007,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 75.735.232 100 757.352,0 890.496,0 572.160 893.568 155.066,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.135.904 100 891.359,0 891.328,0 889.792 893.248 772,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.160.800 100 891.608,0 891.616,0 889.280 894.272 869,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 81.023.936 100 810.239,0 890.768,0 572.864 895.424 136.672,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 66.785.856 100 667.858,0 579.360,0 471.744 893.600 172.704,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.137.504 100 891.375,0 891.408,0 889.504 893.792 848,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.749.312 100 647.493,0 580.448,0 471.008 893.120 170.455,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 89.116.928 100 891.169,0 891.248,0 889.824 893.056 732,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.030.720 100 650.307,0 577.888,0 534.528 894.752 148.334,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 73.920.064 100 739.200,0 888.944,0 574.656 893.056 156.042,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 78.757.056 100 787.570,0 890.800,0 573.728 892.960 146.731,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 62.599.392 100 625.993,0 579.056,0 470.272 893.728 164.088,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.281.280 100 652.812,0 578.752,0 470.624 893.120 146.816,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.319.936 100 643.199,0 579.008,0 469.760 893.248 148.943,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 73.838.368 100 738.383,0 889.488,0 569.088 892.416 156.693,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 73.211.872 100 732.118,0 600.240,0 540.992 893.088 156.250,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.142.912 100 891.429,0 891.376,0 889.600 893.344 875,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12,0 45.409.888 100 454.098,0 453.904,0 452.384 458.272 1.013,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 75.781.504 100 757.815,0 890.320,0 573.376 893.696 154.476,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.009.600 100 650.096,0 579.808,0 545.152 892.544 136.697,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 72.670.208 100 726.702,0 588.144,0 570.656 893.824 155.893,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 82.526.464 100 825.264,0 890.848,0 554.336 893.856 132.263,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.894.080 100 648.940,0 579.600,0 470.496 892.800 156.162,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.315.392 100 713.153,0 586.720,0 536.384 892.864 157.020,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 74.372.224 100 743.722,0 889.920,0 572.768 892.992 155.672,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 68.953.952 100 689.539,0 584.000,0 571.296 893.216 148.928,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 86.060.128 100 860.601,0 891.152,0 574.464 893.184 92.334,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
