6,0 28.960.288 2 14.480.144,0 14.480.144,0 13.098.304 15.861.984 1.954.216,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.120 2 15.856.560,0 15.856.560,0 15.853.408 15.859.712 4.457,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.576 2 15.860.288,0 15.860.288,0 15.855.936 15.864.640 6.154,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.778.464 2 13.889.232,0 13.889.232,0 11.921.088 15.857.376 2.783.375,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.920 2 15.856.960,0 15.856.960,0 15.855.168 15.858.752 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.272 2 15.859.136,0 15.859.136,0 15.858.752 15.859.520 543,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.120 2 15.858.560,0 15.858.560,0 15.857.888 15.859.232 950,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.786.496 2 11.893.248,0 11.893.248,0 11.891.872 11.894.624 1.946,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.708.256 2 15.854.128,0 15.854.128,0 15.849.536 15.858.720 6.494,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.716.544 2 15.858.272,0 15.858.272,0 15.857.312 15.859.232 1.357,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.781.824 2 11.890.912,0 11.890.912,0 11.890.880 11.890.944 45,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.288 2 15.860.144,0 15.860.144,0 15.857.856 15.862.432 3.235,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.400 2 15.859.200,0 15.859.200,0 15.857.408 15.860.992 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.716.512 2 15.858.256,0 15.858.256,0 15.857.632 15.858.880 882,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.792.768 2 13.896.384,0 13.896.384,0 11.927.200 15.865.568 2.784.846,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.782.048 2 11.891.024,0 11.891.024,0 11.889.888 11.892.160 1.606,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.711.424 2 15.855.712,0 15.855.712,0 15.855.296 15.856.128 588,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.760 2 15.856.880,0 15.856.880,0 15.856.736 15.857.024 203,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.721.568 2 15.860.784,0 15.860.784,0 15.858.304 15.863.264 3.507,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.864 2 15.860.432,0 15.860.432,0 15.855.936 15.864.928 6.358,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.712.768 2 15.856.384,0 15.856.384,0 15.853.248 15.859.520 4.435,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
8,0 23.785.728 2 11.892.864,0 11.892.864,0 11.892.576 11.893.152 407,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.714.816 2 15.857.408,0 15.857.408,0 15.855.072 15.859.744 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.720.576 2 15.860.288,0 15.860.288,0 15.856.480 15.864.096 5.385,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.336 2 15.857.168,0 15.857.168,0 15.856.352 15.857.984 1.154,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.128 2 15.858.064,0 15.858.064,0 15.856.352 15.859.776 2.421,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.779.328 2 13.889.664,0 13.889.664,0 11.922.336 15.856.992 2.782.221,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.720 2 15.857.360,0 15.857.360,0 15.855.200 15.859.520 3.054,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.725.472 2 15.862.736,0 15.862.736,0 15.857.920 15.867.552 6.810,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 25.706.592 2 12.853.296,0 12.853.296,0 11.894.400 13.812.192 1.356.083,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.791.520 2 11.895.760,0 11.895.760,0 11.894.848 11.896.672 1.289,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.264 2 15.857.632,0 15.857.632,0 15.854.592 15.860.672 4.299,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.720 2 15.857.360,0 15.857.360,0 15.855.328 15.859.392 2.873,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 37.690.304 2 18.845.152,0 18.845.152,0 15.853.760 21.836.544 4.230.467,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.912 2 15.859.456,0 15.859.456,0 15.857.216 15.861.696 3.167,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.728 2 15.856.864,0 15.856.864,0 15.855.808 15.857.920 1.493,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.144 2 15.859.072,0 15.859.072,0 15.858.432 15.859.712 905,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.376 2 15.858.688,0 15.858.688,0 15.857.440 15.859.936 1.764,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.168 2 15.857.584,0 15.857.584,0 15.855.488 15.859.680 2.964,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.723.072 2 15.861.536,0 15.861.536,0 15.858.944 15.864.128 3.665,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.432 2 15.859.216,0 15.859.216,0 15.856.288 15.862.144 4.140,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.328 2 15.857.664,0 15.857.664,0 15.856.032 15.859.296 2.308,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.722.656 2 15.861.328,0 15.861.328,0 15.860.864 15.861.792 656,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.787.808 2 11.893.904,0 11.893.904,0 11.891.072 11.896.736 4.005,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.723.584 2 15.861.792,0 15.861.792,0 15.857.760 15.865.824 5.702,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.872 2 15.859.936,0 15.859.936,0 15.858.144 15.861.728 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.725.024 2 15.862.512,0 15.862.512,0 15.859.040 15.865.984 4.910,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.721.152 2 15.860.576,0 15.860.576,0 15.856.992 15.864.160 5.068,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.272 2 15.859.136,0 15.859.136,0 15.858.304 15.859.968 1.176,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.296 2 15.857.648,0 15.857.648,0 15.855.808 15.859.488 2.602,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 34.631.488 2 17.315.744,0 17.315.744,0 15.863.232 18.768.256 2.054.162,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.456 2 15.859.728,0 15.859.728,0 15.858.208 15.861.248 2.149,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.723.488 2 15.861.744,0 15.861.744,0 15.861.088 15.862.400 927,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.712.128 2 15.856.064,0 15.856.064,0 15.854.080 15.858.048 2.805,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.722.368 2 15.861.184,0 15.861.184,0 15.860.352 15.862.016 1.176,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.296 2 15.859.648,0 15.859.648,0 15.857.856 15.861.440 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.096 2 15.858.048,0 15.858.048,0 15.857.536 15.858.560 724,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.224 2 15.858.112,0 15.858.112,0 15.855.136 15.861.088 4.208,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.656 2 15.857.328,0 15.857.328,0 15.856.192 15.858.464 1.606,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.032 2 15.860.016,0 15.860.016,0 15.858.080 15.861.952 2.737,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.896 2 15.860.448,0 15.860.448,0 15.859.232 15.861.664 1.719,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 33.756.384 2 16.878.192,0 16.878.192,0 15.859.520 17.896.864 1.440.619,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.064 2 15.860.032,0 15.860.032,0 15.859.040 15.861.024 1.402,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.696 2 15.856.848,0 15.856.848,0 15.856.544 15.857.152 429,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.360 2 15.857.680,0 15.857.680,0 15.853.312 15.862.048 6.177,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.723.744 2 15.861.872,0 15.861.872,0 15.857.248 15.866.496 6.539,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.896 2 15.858.448,0 15.858.448,0 15.856.608 15.860.288 2.602,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.790.848 2 11.895.424,0 11.895.424,0 11.893.856 11.896.992 2.217,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.719.392 2 15.859.696,0 15.859.696,0 15.859.360 15.860.032 475,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.152 2 15.858.576,0 15.858.576,0 15.855.264 15.861.888 4.683,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.288 2 15.858.144,0 15.858.144,0 15.856.480 15.859.808 2.353,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.232 2 15.857.616,0 15.857.616,0 15.856.128 15.859.104 2.104,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.728 2 15.856.864,0 15.856.864,0 15.853.728 15.860.000 4.435,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.718.336 2 15.859.168,0 15.859.168,0 15.856.704 15.861.632 3.484,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.360 2 15.859.680,0 15.859.680,0 15.858.624 15.860.736 1.493,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.728 2 15.856.864,0 15.856.864,0 15.855.648 15.858.080 1.719,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.724.832 2 15.862.416,0 15.862.416,0 15.861.856 15.862.976 792,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.680 2 15.859.840,0 15.859.840,0 15.858.048 15.861.632 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.824 2 15.858.912,0 15.858.912,0 15.856.640 15.861.184 3.213,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.208 2 15.857.104,0 15.857.104,0 15.855.776 15.858.432 1.878,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.416 2 15.858.208,0 15.858.208,0 15.855.040 15.861.376 4.480,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.712.704 2 15.856.352,0 15.856.352,0 15.854.016 15.858.688 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.472 2 15.856.736,0 15.856.736,0 15.851.232 15.862.240 7.783,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.080 2 15.859.040,0 15.859.040,0 15.857.824 15.860.256 1.719,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.708.736 2 15.854.368,0 15.854.368,0 15.853.792 15.854.944 814,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.720.960 2 15.860.480,0 15.860.480,0 15.859.936 15.861.024 769,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.712.096 2 15.856.048,0 15.856.048,0 15.855.232 15.856.864 1.154,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.784 2 15.857.392,0 15.857.392,0 15.856.160 15.858.624 1.742,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.152 2 15.856.576,0 15.856.576,0 15.854.368 15.858.784 3.122,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.888 2 15.856.944,0 15.856.944,0 15.855.712 15.858.176 1.742,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.721.824 2 15.860.912,0 15.860.912,0 15.860.640 15.861.184 384,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 23.781.152 2 11.890.576,0 11.890.576,0 11.889.536 11.891.616 1.470,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.272 2 15.859.136,0 15.859.136,0 15.858.112 15.860.160 1.448,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.992 2 15.858.496,0 15.858.496,0 15.858.272 15.858.720 316,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.856 2 15.858.928,0 15.858.928,0 15.855.424 15.862.432 4.955,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.104 2 15.859.552,0 15.859.552,0 15.859.008 15.860.096 769,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.008 2 15.859.504,0 15.859.504,0 15.854.944 15.864.064 6.448,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.725.248 2 15.862.624,0 15.862.624,0 15.859.648 15.865.600 4.208,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.056 2 15.856.528,0 15.856.528,0 15.853.056 15.860.000 4.910,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.656 2 15.859.328,0 15.859.328,0 15.857.248 15.861.408 2.941,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.232 2 15.859.616,0 15.859.616,0 15.858.848 15.860.384 1.086,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.808 2 15.859.904,0 15.859.904,0 15.859.584 15.860.224 452,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.710.656 2 15.855.328,0 15.855.328,0 15.853.152 15.857.504 3.077,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.708.448 2 15.854.224,0 15.854.224,0 15.851.616 15.856.832 3.688,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.722.592 2 15.861.296,0 15.861.296,0 15.856.736 15.865.856 6.448,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.656 2 15.859.328,0 15.859.328,0 15.857.728 15.860.928 2.262,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.712.736 2 15.856.368,0 15.856.368,0 15.853.952 15.858.784 3.416,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.724.288 2 15.862.144,0 15.862.144,0 15.860.384 15.863.904 2.489,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.160 2 15.858.080,0 15.858.080,0 15.855.936 15.860.224 3.032,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.560 2 15.859.280,0 15.859.280,0 15.857.376 15.861.184 2.692,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.504 2 15.858.752,0 15.858.752,0 15.856.768 15.860.736 2.805,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.224 2 15.858.112,0 15.858.112,0 15.854.720 15.861.504 4.797,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.984 2 15.858.992,0 15.858.992,0 15.858.272 15.859.712 1.018,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.408 2 15.858.704,0 15.858.704,0 15.855.456 15.861.952 4.593,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.728 2 15.856.864,0 15.856.864,0 15.854.528 15.859.200 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.520 2 15.859.760,0 15.859.760,0 15.858.496 15.861.024 1.787,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.912 2 15.857.456,0 15.857.456,0 15.855.680 15.859.232 2.511,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.768 2 15.858.384,0 15.858.384,0 15.854.080 15.862.688 6.086,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.840 2 15.859.920,0 15.859.920,0 15.857.088 15.862.752 4.005,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.710.784 2 15.855.392,0 15.855.392,0 15.851.744 15.859.040 5.159,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.056 2 15.858.528,0 15.858.528,0 15.856.640 15.860.416 2.670,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.976 2 15.859.488,0 15.859.488,0 15.856.000 15.862.976 4.932,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.056 2 15.858.528,0 15.858.528,0 15.856.288 15.860.768 3.167,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.216 2 15.856.608,0 15.856.608,0 15.854.080 15.859.136 3.575,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.984 2 15.858.992,0 15.858.992,0 15.855.904 15.862.080 4.367,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.719.584 2 15.859.792,0 15.859.792,0 15.858.208 15.861.376 2.240,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.719.392 2 15.859.696,0 15.859.696,0 15.859.584 15.859.808 158,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.816 2 15.859.408,0 15.859.408,0 15.859.296 15.859.520 158,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
8,0 23.919.264 2 11.959.632,0 11.959.632,0 8.062.272 15.856.992 5.511.699,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.600 2 15.856.800,0 15.856.800,0 15.855.936 15.857.664 1.221,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
5,0 16.101.504 2 8.050.752,0 8.050.752,0 8.050.176 8.051.328 814,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.640 2 15.858.320,0 15.858.320,0 15.857.216 15.859.424 1.561,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.936 2 15.857.968,0 15.857.968,0 15.856.096 15.859.840 2.647,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.718.080 2 15.859.040,0 15.859.040,0 15.856.000 15.862.080 4.299,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.717.024 2 15.858.512,0 15.858.512,0 15.855.072 15.861.952 4.864,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.264 2 15.857.632,0 15.857.632,0 15.857.344 15.857.920 407,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.716.064 2 15.858.032,0 15.858.032,0 15.857.792 15.858.272 339,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.016 2 15.857.008,0 15.857.008,0 15.853.856 15.860.160 4.457,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.723.744 2 15.861.872,0 15.861.872,0 15.859.392 15.864.352 3.507,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
