3,0 14.184.576 2 7.092.288,0 7.092.288,0 6.045.248 8.139.328 1.480.738,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.255.488 2 8.127.744,0 8.127.744,0 8.111.040 8.144.448 23.623,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.275.776 2 8.137.888,0 8.137.888,0 8.115.680 8.160.096 31.406,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 13.989.120 2 6.994.560,0 6.994.560,0 5.849.760 8.139.360 1.618.991,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.693.728 2 5.846.864,0 5.846.864,0 5.843.360 5.850.368 4.955,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.241.344 2 8.120.672,0 8.120.672,0 8.114.176 8.127.168 9.186,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.313.600 2 8.156.800,0 8.156.800,0 8.131.392 8.182.208 35.932,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.289.568 2 8.144.784,0 8.144.784,0 8.122.240 8.167.328 31.882,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.298.592 2 8.149.296,0 8.149.296,0 8.124.640 8.173.952 34.868,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.292.096 2 8.146.048,0 8.146.048,0 8.133.408 8.158.688 17.875,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.704.544 2 5.852.272,0 5.852.272,0 5.851.104 5.853.440 1.651,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.281.120 2 8.140.560,0 8.140.560,0 8.121.728 8.159.392 26.632,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.253.088 2 8.126.544,0 8.126.544,0 8.115.712 8.137.376 15.318,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.303.328 2 8.151.664,0 8.151.664,0 8.131.360 8.171.968 28.714,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.267.904 2 8.133.952,0 8.133.952,0 8.132.192 8.135.712 2.489,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 13.985.696 2 6.992.848,0 6.992.848,0 5.855.968 8.129.728 1.607.791,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.287.264 2 8.143.632,0 8.143.632,0 8.129.248 8.158.016 20.342,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.237.888 2 8.118.944,0 8.118.944,0 8.109.408 8.128.480 13.485,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 13.749.280 2 6.874.640,0 6.874.640,0 5.847.232 7.902.048 1.452.974,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.707.904 2 5.853.952,0 5.853.952,0 5.853.152 5.854.752 1.131,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.247.296 2 8.123.648,0 8.123.648,0 8.122.720 8.124.576 1.312,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.220.576 2 8.110.288,0 8.110.288,0 8.110.112 8.110.464 248,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 16.307.488 2 8.153.744,0 8.153.744,0 8.124.352 8.183.136 41.566,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.275.168 2 8.137.584,0 8.137.584,0 8.131.648 8.143.520 8.394,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.273.152 2 8.136.576,0 8.136.576,0 8.118.848 8.154.304 25.071,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.236.384 2 8.118.192,0 8.118.192,0 8.115.840 8.120.544 3.326,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.263.296 2 8.131.648,0 8.131.648,0 8.123.456 8.139.840 11.585,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.245.696 2 8.122.848,0 8.122.848,0 8.114.528 8.131.168 11.766,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.260.544 2 8.130.272,0 8.130.272,0 8.118.816 8.141.728 16.201,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.234.144 2 8.117.072,0 8.117.072,0 8.114.400 8.119.744 3.778,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.255.712 2 8.127.856,0 8.127.856,0 8.127.616 8.128.096 339,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 16.256.320 2 8.128.160,0 8.128.160,0 8.104.384 8.151.936 33.624,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.694.400 2 5.847.200,0 5.847.200,0 5.841.952 5.852.448 7.421,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.252.640 2 8.126.320,0 8.126.320,0 8.116.480 8.136.160 13.915,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.247.008 2 8.123.504,0 8.123.504,0 8.111.776 8.135.232 16.585,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.262.944 2 8.131.472,0 8.131.472,0 8.118.944 8.144.000 17.717,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.312.032 2 8.156.016,0 8.156.016,0 8.134.432 8.177.600 30.524,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.239.872 2 8.119.936,0 8.119.936,0 8.107.648 8.132.224 17.377,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.255.872 2 8.127.936,0 8.127.936,0 8.116.992 8.138.880 15.477,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 22.943.296 2 11.471.648,0 11.471.648,0 8.119.264 14.824.032 4.740.986,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.300.832 2 8.150.416,0 8.150.416,0 8.122.624 8.178.208 39.303,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.240.736 2 8.120.368,0 8.120.368,0 8.108.864 8.131.872 16.269,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.271.744 2 8.135.872,0 8.135.872,0 8.122.816 8.148.928 18.464,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.270.048 2 8.135.024,0 8.135.024,0 8.127.808 8.142.240 10.205,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.281.760 2 8.140.880,0 8.140.880,0 8.120.288 8.161.472 29.121,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.232.992 2 8.116.496,0 8.116.496,0 8.111.680 8.121.312 6.810,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.288.992 2 8.144.496,0 8.144.496,0 8.133.376 8.155.616 15.726,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.245.984 2 8.122.992,0 8.122.992,0 8.120.512 8.125.472 3.507,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.275.456 2 8.137.728,0 8.137.728,0 8.129.728 8.145.728 11.313,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.277.792 2 8.138.896,0 8.138.896,0 8.122.048 8.155.744 23.826,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.259.872 2 8.129.936,0 8.129.936,0 8.111.648 8.148.224 25.863,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.267.744 2 8.133.872,0 8.133.872,0 8.110.560 8.157.184 32.968,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.285.568 2 8.142.784,0 8.142.784,0 8.124.896 8.160.672 25.297,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.288.576 2 8.144.288,0 8.144.288,0 8.129.728 8.158.848 20.590,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.271.616 2 8.135.808,0 8.135.808,0 8.123.648 8.147.968 17.196,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.278.656 2 8.139.328,0 8.139.328,0 8.117.440 8.161.216 30.954,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.688.640 2 5.844.320,0 5.844.320,0 5.842.144 5.846.496 3.077,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.254.944 2 8.127.472,0 8.127.472,0 8.120.224 8.134.720 10.250,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.251.008 2 8.125.504,0 8.125.504,0 8.123.200 8.127.808 3.258,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.276.416 2 8.138.208,0 8.138.208,0 8.123.968 8.152.448 20.138,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.256.832 2 8.128.416,0 8.128.416,0 8.098.144 8.158.688 42.811,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.242.496 2 8.121.248,0 8.121.248,0 8.098.720 8.143.776 31.859,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.257.856 2 8.128.928,0 8.128.928,0 8.114.592 8.143.264 20.274,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.257.760 2 8.128.880,0 8.128.880,0 8.108.896 8.148.864 28.261,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.253.088 2 8.126.544,0 8.126.544,0 8.122.016 8.131.072 6.403,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.274.944 2 8.137.472,0 8.137.472,0 8.107.200 8.167.744 42.811,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.269.056 2 8.134.528,0 8.134.528,0 8.125.792 8.143.264 12.354,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.274.272 2 8.137.136,0 8.137.136,0 8.134.272 8.140.000 4.050,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.253.856 2 8.126.928,0 8.126.928,0 8.124.960 8.128.896 2.783,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.249.632 2 8.124.816,0 8.124.816,0 8.106.432 8.143.200 25.998,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.310.784 2 8.155.392,0 8.155.392,0 8.120.448 8.190.336 49.418,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.239.040 2 8.119.520,0 8.119.520,0 8.109.152 8.129.888 14.662,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.312.544 2 8.156.272,0 8.156.272,0 8.149.088 8.163.456 10.159,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.269.280 2 8.134.640,0 8.134.640,0 8.131.808 8.137.472 4.005,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.259.808 2 8.129.904,0 8.129.904,0 8.110.176 8.149.632 27.899,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.279.904 2 8.139.952,0 8.139.952,0 8.120.128 8.159.776 28.035,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.267.040 2 8.133.520,0 8.133.520,0 8.110.656 8.156.384 32.334,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.288.032 2 8.144.016,0 8.144.016,0 8.122.496 8.165.536 30.433,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.261.728 2 8.130.864,0 8.130.864,0 8.128.352 8.133.376 3.552,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.242.752 2 8.121.376,0 8.121.376,0 8.120.608 8.122.144 1.086,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.690.912 2 5.845.456,0 5.845.456,0 5.843.520 5.847.392 2.737,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.274.016 2 8.137.008,0 8.137.008,0 8.128.000 8.146.016 12.739,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.276.928 2 8.138.464,0 8.138.464,0 8.116.128 8.160.800 31.587,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.265.920 2 8.132.960,0 8.132.960,0 8.111.232 8.154.688 30.728,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.282.752 2 8.141.376,0 8.141.376,0 8.115.008 8.167.744 37.290,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.259.744 2 8.129.872,0 8.129.872,0 8.129.728 8.130.016 203,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.267.488 2 8.133.744,0 8.133.744,0 8.116.608 8.150.880 24.234,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.278.784 2 8.139.392,0 8.139.392,0 8.121.344 8.157.440 25.523,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 16.256.800 2 8.128.400,0 8.128.400,0 8.122.336 8.134.464 8.575,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.269.312 2 8.134.656,0 8.134.656,0 8.121.248 8.148.064 18.961,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.251.616 2 8.125.808,0 8.125.808,0 8.107.680 8.143.936 25.636,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.262.336 2 8.131.168,0 8.131.168,0 8.110.080 8.152.256 29.822,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.283.712 2 8.141.856,0 8.141.856,0 8.115.424 8.168.288 37.380,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.238.976 2 8.119.488,0 8.119.488,0 8.115.904 8.123.072 5.068,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.254.688 2 8.127.344,0 8.127.344,0 8.125.056 8.129.632 3.235,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.280.256 2 8.140.128,0 8.140.128,0 8.133.376 8.146.880 9.548,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 16.238.208 2 8.119.104,0 8.119.104,0 8.105.376 8.132.832 19.414,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.219.328 2 8.109.664,0 8.109.664,0 8.099.104 8.120.224 14.934,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.278.656 2 8.139.328,0 8.139.328,0 8.136.640 8.142.016 3.801,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.296.384 2 8.148.192,0 8.148.192,0 8.132.384 8.164.000 22.355,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.228.256 2 8.114.128,0 8.114.128,0 8.109.152 8.119.104 7.037,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.251.040 2 8.125.520,0 8.125.520,0 8.124.128 8.126.912 1.968,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.226.688 2 8.113.344,0 8.113.344,0 8.104.224 8.122.464 12.897,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.279.456 2 8.139.728,0 8.139.728,0 8.138.976 8.140.480 1.063,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.287.904 2 8.143.952,0 8.143.952,0 8.119.424 8.168.480 34.687,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.261.280 2 8.130.640,0 8.130.640,0 8.110.112 8.151.168 29.031,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.256.096 2 8.128.048,0 8.128.048,0 8.113.376 8.142.720 20.749,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.239.232 2 8.119.616,0 8.119.616,0 8.116.064 8.123.168 5.023,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.242.464 2 8.121.232,0 8.121.232,0 8.107.936 8.134.528 18.803,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.293.152 2 8.146.576,0 8.146.576,0 8.139.296 8.153.856 10.295,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.317.216 2 8.158.608,0 8.158.608,0 8.146.048 8.171.168 17.762,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.294.944 2 8.147.472,0 8.147.472,0 8.127.456 8.167.488 28.306,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.241.152 2 8.120.576,0 8.120.576,0 8.113.248 8.127.904 10.363,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.293.440 2 8.146.720,0 8.146.720,0 8.115.520 8.177.920 44.123,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.314.336 2 8.157.168,0 8.157.168,0 8.134.240 8.180.096 32.425,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.217.856 2 8.108.928,0 8.108.928,0 8.108.544 8.109.312 543,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.270.336 2 8.135.168,0 8.135.168,0 8.119.584 8.150.752 22.039,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 13.197.376 2 6.598.688,0 6.598.688,0 5.063.200 8.134.176 2.171.508,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.237.888 2 8.118.944,0 8.118.944,0 8.094.016 8.143.872 35.253,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
3,0 9.912.096 2 4.956.048,0 4.956.048,0 4.949.248 4.962.848 9.616,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.245.280 2 8.122.640,0 8.122.640,0 8.117.504 8.127.776 7.263,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.213.216 2 8.106.608,0 8.106.608,0 8.104.416 8.108.800 3.100,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.322.240 2 8.161.120,0 8.161.120,0 8.139.616 8.182.624 30.411,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.207.744 2 8.103.872,0 8.103.872,0 8.096.320 8.111.424 10.680,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.294.080 2 8.147.040,0 8.147.040,0 8.119.808 8.174.272 38.511,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
