16.0 88331584 100 883315.8 883392.0 881376 884704 630.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 81332352 100 813323.5 882992.0 445344 884992 160746.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88332032 100 883320.3 883296.0 881760 885504 747.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.1 44459648 100 444596.5 444592.0 442560 447264 889.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88324480 100 883244.8 883200.0 881696 885408 747.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88326752 100 883267.5 883360.0 881696 885184 629.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.8 82668800 100 826688.0 883328.0 472480 885056 141447.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88318336 100 883183.4 883104.0 881664 884704 633.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 86055520 100 860555.2 883072.0 473088 885504 91291.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88330880 100 883308.8 883280.0 882016 885696 710.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88322752 100 883227.5 883184.0 881120 884800 709.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88336160 100 883361.6 883456.0 881216 885152 772.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88331520 100 883315.2 883216.0 881056 886016 821.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.0 72832640 100 728326.4 881376.0 535104 887360 168879.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 45346080 100 453460.8 443024.0 441792 485632 16849.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 88339808 100 883398.1 883424.0 881248 884992 756.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88326048 100 883260.5 883328.0 881856 884608 714.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88333248 100 883332.5 883280.0 880896 884864 772.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88312640 100 883126.4 883072.0 881184 885088 684.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88279808 100 882798.1 882880.0 880672 884992 1060.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88342880 100 883428.8 883440.0 881952 885440 691.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88326464 100 883264.6 883248.0 881728 884992 686.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88329792 100 883297.9 883312.0 881792 884800 624.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.7 75579872 100 755798.7 882848.0 442272 885024 191410.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88322944 100 883229.4 883200.0 881696 885440 742.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88329568 100 883295.7 883328.0 881536 885152 727.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 80220288 100 802202.9 883040.0 445184 884800 169062.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88344992 100 883449.9 883440.0 881504 885376 823.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88317984 100 883179.8 883168.0 881504 884448 708.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88338624 100 883386.2 883472.0 881728 885088 632.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88329824 100 883298.2 883232.0 881024 885056 697.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88333440 100 883334.4 883440.0 881184 884864 719.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88313408 100 883134.1 883136.0 881440 885216 739.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88243840 100 882438.4 882688.0 880192 884992 1190.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 82255680 100 822556.8 883248.0 471552 884736 145573.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88280352 100 882803.5 882992.0 879744 884992 1203.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88340160 100 883401.6 883376.0 881568 884992 709.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.3 44276320 100 442763.2 442768.0 441760 444032 426.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 83455232 100 834552.3 883168.0 470624 884992 132630.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88327296 100 883273.0 883184.0 881152 885152 712.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88325984 100 883259.8 883312.0 881440 885024 713.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88316704 100 883167.0 883216.0 881056 884576 795.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88306944 100 883069.4 883072.0 881664 884544 634.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88346400 100 883464.0 883584.0 881728 884864 703.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 85239584 100 852395.8 883440.0 451104 885664 110606.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88337440 100 883374.4 883344.0 881984 885216 673.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 87925696 100 879257.0 883312.0 477760 884928 40560.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88334016 100 883340.2 883328.0 881952 885536 680.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88311680 100 883116.8 883072.0 881440 884800 739.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 81754688 100 817546.9 882880.0 444992 884640 156658.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88293600 100 882936.0 882880.0 881344 884992 732.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 45218048 100 452180.5 442944.0 441856 485440 15823.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88333856 100 883338.6 883296.0 881984 885120 711.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 80737792 100 807377.9 883104.0 457184 884896 162784.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88328064 100 883280.6 883264.0 881536 884896 692.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88314752 100 883147.5 883184.0 881184 884896 716.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.2 68798784 100 687987.8 882080.0 442336 884864 217075.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88323840 100 883238.4 883248.0 881728 885024 725.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.8 56488160 100 564881.6 475008.0 446880 884480 174858.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 44263872 100 442638.7 442624.0 441696 443776 415.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 83049184 100 830491.8 883088.0 472448 884704 136998.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 82685536 100 826855.4 882784.0 449920 884576 145646.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88327104 100 883271.0 883280.0 881600 885024 731.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88325536 100 883255.4 883232.0 881472 885184 763.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88334208 100 883342.1 883296.0 881664 885952 712.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88285120 100 882851.2 882752.0 881504 884576 656.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.0 81044192 100 810441.9 883296.0 472192 885536 156646.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88314848 100 883148.5 883008.0 880928 885088 794.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.2 50279008 100 502790.1 452224.0 441856 882208 128803.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.0 67987136 100 679871.4 881696.0 442912 884224 210370.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88339360 100 883393.6 883408.0 881440 885344 650.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88339008 100 883390.1 883440.0 881568 884736 700.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88341536 100 883415.4 883344.0 881920 885152 683.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88310912 100 883109.1 883152.0 881152 884608 753.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88304736 100 883047.4 883008.0 881728 884640 648.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88341312 100 883413.1 883376.0 882144 884992 628.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88335904 100 883359.0 883328.0 881888 885024 680.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.5 46017888 100 460178.9 451424.0 447808 481728 12328.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88339040 100 883390.4 883328.0 881408 884896 648.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88323488 100 883234.9 883280.0 881632 884640 718.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88337664 100 883376.6 883408.0 881920 885120 666.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.0 44286240 100 442862.4 442912.0 441760 443968 404.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 82234432 100 822344.3 882880.0 471456 884320 145182.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88323616 100 883236.2 883280.0 880704 884672 750.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88323552 100 883235.5 883248.0 881600 884992 714.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88334080 100 883340.8 883392.0 881088 885376 742.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88328672 100 883286.7 883200.0 880928 884768 692.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 81001728 100 810017.3 883088.0 457472 885376 158746.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 80734880 100 807348.8 883200.0 445440 885344 165036.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88332768 100 883327.7 883360.0 881184 885184 735.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88332224 100 883322.2 883360.0 882016 885408 681.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88326240 100 883262.4 883328.0 880704 885600 702.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 79997856 100 799978.6 883088.0 444288 884896 172762.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88340384 100 883403.8 883424.0 881632 885312 782.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88325376 100 883253.8 883280.0 881440 884960 722.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88305344 100 883053.4 883024.0 881248 884960 736.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88323104 100 883231.0 883264.0 881248 884736 744.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88325504 100 883255.0 883248.0 881376 884832 714.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 88320192 100 883201.9 883184.0 881312 885056 682.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88340608 100 883406.1 883456.0 881984 885184 723.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88327136 100 883271.4 883152.0 881760 884992 707.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88220896 100 882209.0 882016.0 879904 884800 1180.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88310944 100 883109.4 883120.0 881280 884768 657.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88338240 100 883382.4 883440.0 882112 885024 659.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88336256 100 883362.6 883312.0 881952 885056 667.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88324064 100 883240.6 883136.0 881120 884864 684.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88311168 100 883111.7 883072.0 881696 884704 661.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 82120128 100 821201.3 882848.0 471040 885632 145703.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88320800 100 883208.0 883168.0 882048 884928 618.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88339392 100 883393.9 883568.0 881792 884864 746.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 44476256 100 444762.6 444880.0 443008 446848 794.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88336800 100 883368.0 883504.0 881504 885024 702.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88307200 100 883072.0 883168.0 881248 884544 714.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.4 63274240 100 632742.4 476112.0 447968 884832 206844.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88331584 100 883315.8 883264.0 881664 885280 708.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 79587552 100 795875.5 882928.0 445184 884864 175515.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.3 44291392 100 442913.9 442992.0 441664 443872 436.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88331968 100 883319.7 883424.0 881792 884896 694.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88337408 100 883374.1 883440.0 881824 884864 741.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88305472 100 883054.7 883008.0 881216 884480 642.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 88341600 100 883416.0 883440.0 881760 884800 646.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88325312 100 883253.1 883312.0 881920 884864 656.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 84102368 100 841023.7 883200.0 471488 884672 123144.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 81059040 100 810590.4 883328.0 476096 885408 156078.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 82647328 100 826473.3 883232.0 471584 884960 141821.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88331712 100 883317.1 883328.0 881408 885152 720.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 88345184 100 883451.8 883328.0 881696 884896 685.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 86568992 100 865689.9 883152.0 445984 884672 86004.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88344480 100 883444.8 883456.0 881472 884928 720.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.5 63273184 100 632731.8 480176.0 441664 884192 210207.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88340384 100 883403.8 883376.0 881696 884832 715.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 80768544 100 807685.4 883008.0 459712 884800 161993.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88300480 100 883004.8 883024.0 881440 884704 635.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88327488 100 883274.9 883344.0 879872 884896 790.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88326048 100 883260.5 883248.0 881760 884864 738.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88330304 100 883303.0 883248.0 882176 884640 578.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88309120 100 883091.2 883040.0 881504 884576 622.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88355648 100 883556.5 883504.0 881920 885984 728.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88329440 100 883294.4 883248.0 881536 884864 752.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88323040 100 883230.4 883280.0 881568 884768 644.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88347104 100 883471.0 883440.0 882176 884960 630.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88306688 100 883066.9 883136.0 881024 884416 756.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88317728 100 883177.3 883200.0 881472 885056 673.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88352000 100 883520.0 883632.0 880928 885376 755.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88329664 100 883296.6 883200.0 881440 886656 1031.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88367584 100 883675.8 883744.0 881856 885568 734.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88266816 100 882668.2 882736.0 880256 884960 988.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88331744 100 883317.4 883392.0 881472 885024 725.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.4 63158816 100 631588.2 476272.0 445664 884288 202767.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88333472 100 883334.7 883344.0 881408 885024 747.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88308608 100 883086.1 883104.0 881728 884864 586.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.1 51028576 100 510285.8 471504.0 447840 882592 128503.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88342432 100 883424.3 883392.0 881504 885280 706.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88327584 100 883275.8 883216.0 882048 885152 620.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88337056 100 883370.6 883280.0 881408 885440 674.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88329248 100 883292.5 883200.0 881312 885568 684.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88341344 100 883413.4 883328.0 881696 885120 730.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88300736 100 883007.4 882912.0 881088 884736 762.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88316032 100 883160.3 883168.0 881376 885440 724.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88323584 100 883235.8 883280.0 881664 884640 664.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88325120 100 883251.2 883280.0 881216 885024 778.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
