5.0 27722944 200 138614.7 137888.0 42688 235680 95691.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27700640 200 138503.2 138432.0 42720 235232 95591.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27699744 200 138498.7 138080.0 42688 235392 95380.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27748640 200 138743.2 137568.0 43104 235392 95238.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27733408 200 138667.0 138192.0 42816 235584 95630.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27667872 200 138339.4 138048.0 42720 235296 95424.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27736800 200 138684.0 138320.0 42848 236288 95580.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.7 14600064 200 73000.3 71472.0 21600 129216 50719.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27759104 200 138795.5 137808.0 43104 235936 95361.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27729792 200 138649.0 138080.0 43264 235264 95151.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27756832 200 138784.2 138320.0 43264 235776 95303.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14118400 200 70592.0 71984.0 21600 121120 48681.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25849664 200 129248.3 86880.0 26656 235360 92482.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27756032 200 138780.2 139104.0 43168 235424 95355.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27765056 200 138825.3 138000.0 43168 235360 95382.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27720992 200 138605.0 137440.0 42752 235520 95622.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27729888 200 138649.4 138096.0 42688 235936 95622.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25503072 200 127515.4 85440.0 26176 235840 92218.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25475072 200 127375.4 83280.0 26176 236032 92197.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724608 200 138623.0 137696.0 42880 235776 95474.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27684864 200 138424.3 138192.0 42784 235328 95414.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27733120 200 138665.6 138704.0 42816 236384 95663.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25260000 200 126300.0 82880.0 25504 235808 92049.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27731168 200 138655.8 138304.0 42784 235616 95590.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27757312 200 138786.6 138064.0 43168 235584 95339.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27705952 200 138529.8 137440.0 42688 235264 95544.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27780096 200 138900.5 138096.0 43232 236224 95362.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27717760 200 138588.8 138032.0 42752 235616 95596.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27761824 200 138809.1 138928.0 43136 236384 95358.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27728224 200 138641.1 138096.0 42784 235840 95575.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27718176 200 138590.9 139152.0 42656 235488 95624.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27264928 200 136324.6 136208.0 38880 235168 95496.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27693888 200 138469.4 138080.0 42752 235552 95426.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27766752 200 138833.8 138016.0 43200 235648 95382.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27720544 200 138602.7 138576.0 42784 235520 95488.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27764832 200 138824.2 138992.0 43104 235744 95354.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27781984 200 138909.9 139088.0 43328 235488 95292.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25891072 200 129455.4 88080.0 27072 235840 92485.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27717152 200 138585.8 137632.0 42752 235872 95563.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27772864 200 138864.3 138272.0 43072 235968 95441.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14113376 200 70566.9 70720.0 21376 120384 48905.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27781952 200 138909.8 137888.0 43264 235520 95403.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27740032 200 138700.2 138384.0 43232 235360 95277.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.2 20008192 200 100041.0 82032.0 21728 235456 78751.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27766400 200 138832.0 138976.0 43168 235744 95369.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25047424 200 125237.1 82800.0 25728 235712 91625.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14068544 200 70342.7 70112.0 21632 119584 48427.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27770144 200 138850.7 138832.0 43200 235808 95369.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27730112 200 138650.6 137824.0 42720 236320 95675.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27727488 200 138637.4 138192.0 42816 236064 95674.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27728480 200 138642.4 139168.0 42752 235776 95597.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27766272 200 138831.4 138864.0 43168 235648 95362.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26467200 200 132336.0 87008.0 27072 235584 93445.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25581088 200 127905.4 88224.0 26592 236064 92276.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26131360 200 130656.8 87712.0 27200 235936 92926.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27684736 200 138423.7 137808.0 42656 235168 95442.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27769184 200 138845.9 139456.0 43232 235520 95299.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27235456 200 136177.3 82672.0 25856 235616 95019.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27758336 200 138791.7 137808.0 43296 235488 95297.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 20160160 200 100800.8 81088.0 21632 235968 78903.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27727840 200 138639.2 138432.0 42688 235776 95526.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25452832 200 127264.2 84944.0 26272 234880 91916.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27733344 200 138666.7 138624.0 42656 235936 95761.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27772704 200 138863.5 138528.0 43296 235456 95319.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27742624 200 138713.1 137744.0 42912 235360 95554.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27777056 200 138885.3 138192.0 43232 235552 95296.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27723072 200 138615.4 138192.0 42720 236064 95604.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27737088 200 138685.4 138672.0 42816 235840 95647.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27781696 200 138908.5 138080.0 43200 235424 95366.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27725248 200 138626.2 138496.0 43104 235232 95212.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 28169440 200 140847.2 140976.0 43264 238336 96135.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27779200 200 138896.0 139328.0 43168 235840 95452.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27715360 200 138576.8 137936.0 42848 235488 95504.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27909536 200 139547.7 140576.0 42656 236992 95312.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27789760 200 138948.8 139248.0 43168 238560 95540.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27935296 200 139676.5 139968.0 42624 237632 96706.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27570688 200 137853.4 136704.0 39392 234880 95253.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27766784 200 138833.9 138304.0 43264 236032 95362.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 20232512 200 101162.6 82688.0 21856 235392 78178.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27714304 200 138571.5 137632.0 42784 235456 95489.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27726272 200 138631.4 138304.0 42816 235520 95581.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.9 16311328 200 81556.6 79984.0 21824 231392 60762.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27764512 200 138822.6 139296.0 43200 235776 95389.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27760512 200 138802.6 139072.0 43200 235744 95371.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27712320 200 138561.6 138544.0 42752 235648 95602.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27773056 200 138865.3 139120.0 42848 236256 95633.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27746336 200 138731.7 138672.0 42944 235648 95498.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27780032 200 138900.2 138656.0 43168 235872 95338.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27767424 200 138837.1 138320.0 43072 236448 95396.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27773024 200 138865.1 138304.0 43296 235840 95308.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27771616 200 138858.1 138256.0 43168 235776 95388.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27726432 200 138632.2 137712.0 42624 235776 95678.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.2 20261152 200 101305.8 81808.0 21408 235744 80345.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 19945120 200 99725.6 84656.0 22816 234912 77209.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27748672 200 138743.4 137808.0 42880 235744 95593.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14344000 200 71720.0 71616.0 21888 122272 49528.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.5 22945344 200 114726.7 81840.0 21664 235776 87042.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27776832 200 138884.2 138272.0 43264 235680 95397.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27763552 200 138817.8 138032.0 43104 236256 95443.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26110752 200 130553.8 83680.0 26112 235616 93184.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25656864 200 128284.3 87968.0 27232 235904 92029.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27749888 200 138749.4 137760.0 43232 235648 95275.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27732480 200 138662.4 138640.0 42784 235616 95571.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27716448 200 138582.2 137936.0 42688 235904 95651.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27764832 200 138824.2 138640.0 43200 236512 95415.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27706400 200 138532.0 138880.0 42656 235936 95598.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27732928 200 138664.6 138368.0 42752 235872 95592.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.1 17965280 200 89826.4 81008.0 21600 234848 71097.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27688832 200 138444.2 137840.0 42752 235360 95493.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.5 21964800 200 109824.0 80720.0 21664 235584 84833.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26456512 200 132282.6 84368.0 25568 236032 94080.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 24936576 200 124682.9 87872.0 27104 235584 90515.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27743584 200 138717.9 138048.0 43072 235456 95248.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27769664 200 138848.3 138240.0 43200 236000 95437.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27743232 200 138716.2 138144.0 43168 235776 95300.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27690624 200 138453.1 137600.0 42784 234944 95390.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27704128 200 138520.6 137888.0 42848 235616 95529.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.1 18406272 200 92031.4 81376.0 21664 235264 72705.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27722528 200 138612.6 137904.0 43136 235072 95217.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25794240 200 128971.2 87088.0 26720 235904 92530.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 26967392 200 134837.0 135264.0 38848 232032 95750.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27713824 200 138569.1 138736.0 42720 235424 95655.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27721280 200 138606.4 138080.0 42784 235616 95499.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27783040 200 138915.2 138624.0 43296 236128 95314.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27531200 200 137656.0 85312.0 26752 236224 95108.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27777504 200 138887.5 137920.0 43232 235968 95409.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27715872 200 138579.4 138672.0 42656 235840 95628.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 26876608 200 134383.0 83328.0 26208 236224 94286.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27786880 200 138934.4 138944.0 43200 236000 95354.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27523072 200 137615.4 136320.0 39008 235584 95687.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27388352 200 136941.8 83008.0 26176 235904 94991.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27603072 200 138015.4 136016.0 39264 235168 95338.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 25990912 200 129954.6 84000.0 26208 235616 92913.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27715328 200 138576.6 138576.0 42752 235872 95507.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26250976 200 131254.9 85856.0 26304 235904 93551.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.5 21832224 200 109161.1 84864.0 22816 235392 83525.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27720128 200 138600.6 137872.0 42656 236448 95675.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27768064 200 138840.3 138080.0 43200 236160 95358.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27719648 200 138598.2 138144.0 42656 235968 95717.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27713504 200 138567.5 138176.0 42752 235712 95638.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27759040 200 138795.2 138336.0 43168 235936 95356.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27707936 200 138539.7 138224.0 42912 235296 95411.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25660512 200 128302.6 88096.0 27136 235840 91828.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27737408 200 138687.0 138368.0 43136 235488 95296.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25260096 200 126300.5 88016.0 26592 235744 91596.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.8 15905504 200 79527.5 79152.0 21408 231040 60493.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.0 17470720 200 87353.6 81904.0 21888 234528 68236.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27549568 200 137747.8 136384.0 39200 235104 95434.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.0 16928480 200 84642.4 80976.0 21440 235040 64968.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27736320 200 138681.6 138256.0 42784 235584 95639.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 20339680 200 101698.4 85056.0 22816 235488 79057.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14108384 200 70541.9 70592.0 21600 120384 48607.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14067040 200 70335.2 70144.0 21440 120032 48526.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26826624 200 134133.1 83424.0 25696 235552 94611.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27258528 200 136292.6 82128.0 21920 234656 95308.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27730784 200 138653.9 137584.0 42624 235264 95564.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
